Drug,Cell
681641,MDA_MB_435
132313,SK_MEL_5
681633,HOP_92
366140,U251
134033,NCI_H322M
296934,SF_295
295500,EKVX
728073,HL_60
63984,HT29
755841,SN12C
721517,SF_295
737518,NCI_H522
616348,786_0
224131,SK_OV_3
143095,OVCAR_8
637037,HOP_92
1390,HCC_2998
34462,NCI_ADR_RES
89201,SF_539
287459,A549
740645,SF_268
736201,SF_295
169780,MDA_MB_231
627168,T47D
681644,HOP_62
352122,TK_10
603071,UO_31
89201,NCI_H460
26271,UACC_257
182986,SW_620
295499,SK_MEL_28
681638,OVCAR_8
363812,786_0
241240,MDA_MB_435
756717,MDA_MB_435
126771,HOP_92
182986,PC_3
182986,OVCAR_4
681640,UACC_257
757098,NCI_ADR_RES
734294,IGROV1
409962,UO_31
368390,A498
32065,NCI_H226
374551,NCI_H522
338947,786_0
351710,LOXIMVI
603077,T47D
683555,UO_31
759155,SF_539
132483,HOP_92
757804,EKVX
627168,NCI_ADR_RES
638066,MDA_MB_435
352122,OVCAR_4
45388,SK_MEL_5
409962,SK_OV_3
757098,MDA_MB_231
295501,NCI_H460
176323,OVCAR_8
757087,UACC_257
728073,SR
308847,SR
740645,A498
736624,HCT_15
721517,HS578T
366140,HL_60
681636,T47D
603076,SW_620
1895,SF_539
6396,MDA_N
338947,MALME_3M
638066,HS578T
719627,786_0
758255,ACHN
107392,MDA_MB_435
681637,MOLT_4
95382,HOP_92
697912,786_0
721517,HCC_2998
755985,SW_620
279836,HCC_2998
139105,HCC_2998
24559,A549
218321,OVCAR_8
71261,M14
132313,NCI_H23
95382,MDA_MB_435
295501,786_0
27640,PC_3
56410,CCRF_CEM
637037,K_562
26980,HOP_92
85998,UACC_62
295499,MCF7
719276,OVCAR_3
681633,SF_295
759263,NCI_H460
89201,SN12C
755880,SNB_19
752,OVCAR_8
1895,CCRF_CEM
266046,SN12C
681641,MOLT_4
63984,MDA_N
105014,SF_295
725776,MCF7
603077,786_0
756717,MOLT_4
326231,KM12
681632,RXF_393
178248,HL_60
224131,MOLT_4
25154,SF_268
139105,MDA_MB_231
25154,SNB_19
606498,COLO205
134033,MOLT_4
8806,NCI_H322M
759614,HS578T
755841,MCF7
163501,ACHN
681645,NCI_H522
760419,BT_549
719627,MCF7
755880,OVCAR_4
281612,IGROV1
603071,MDA_N
337766,CAKI_1
682298,KM12
708298,TK_10
246131,SK_MEL_5
767125,SNB_19
526598,LOXIMVI
724998,TK_10
616348,MDA_N
276382,OVCAR_5
71795,BT_549
138783,BT_549
752840,UACC_257
681640,T47D
1390,SF_295
639174,A498
100880,KM12
268242,NCI_H322M
768112,SNB_19
135758,NCI_ADR_RES
264137,TK_10
134679,NCI_H522
603074,T47D
51143,NCI_H23
606498,SF_295
656889,M14
267469,LOXIMVI
740268,UO_31
606985,A498
337766,SF_539
754365,K_562
369395,EKVX
6396,SW_620
301739,HOP_62
759878,A498
374551,SF_268
218321,HCT_116
281612,SNB_75
153353,RPMI_8226
249910,IGROV1
721517,786_0
698037,786_0
338947,COLO205
765775,SW_620
82151,IGROV1
754365,T47D
719627,SW_620
34462,SR
85998,MDA_N
755985,NCI_ADR_RES
167780,KM12
752840,OVCAR_4
682298,OVCAR_4
606869,RXF_393
681637,SK_MEL_28
126771,SR
783107,SR
246131,NCI_H226
24559,SNB_19
172112,HS578T
132483,TK_10
95382,HCT_15
710270,M14
107392,A549
25154,NCI_H460
351710,HOP_62
767125,RXF_393
241240,EKVX
14229,SNB_19
683557,SW_620
634724,NCI_H322M
736493,TK_10
344007,SF_539
365798,NCI_H322M
526598,HOP_62
301739,SN12C
246131,COLO205
789797,UACC_62
736493,ACHN
721517,OVCAR_5
706744,HOP_92
268242,SK_MEL_2
758423,MDA_MB_435
603077,HOP_62
368390,COLO205
762,OVCAR_4
127716,HCC_2998
759614,MDA_MB_435
758255,HOP_92
789797,UACC_257
756717,T47D
343499,A498
756660,SR
606986,UACC_257
629971,MDA_N
728073,U251
754771,RXF_393
295500,HCC_2998
791785,CAKI_1
6396,CAKI_1
264137,COLO205
348948,OVCAR_3
754366,CCRF_CEM
719627,A549
303812,UACC_62
224131,NCI_H23
606172,EKVX
329680,SNB_19
1390,U251
737518,MDA_MB_435
107124,OVCAR_5
758251,NCI_H23
145668,OVCAR_5
109724,NCI_H522
351710,SK_MEL_2
141540,NCI_H23
95382,NCI_H322M
153353,OVCAR_8
365798,SW_620
627505,A498
754771,SF_539
683558,SN12C
634724,SR
683556,SF_268
681645,SK_OV_3
681634,SNB_75
627505,DU_145
85998,SW_620
111533,OVCAR_5
783107,EKVX
266046,IGROV1
681636,SW_620
118218,SK_MEL_2
610457,K_562
1390,CAKI_1
759155,MDA_MB_231
348948,SN12C
681632,UACC_257
709237,HOP_92
610457,EKVX
26980,T47D
296934,SK_MEL_28
249992,A549
148958,CCRF_CEM
708298,RPMI_8226
264137,NCI_H322M
1895,HCT_15
295501,SK_MEL_2
83142,T47D
178248,SW_620
759857,NCI_H23
754771,BT_549
343499,OVCAR_3
38721,MCF7
765396,A498
627168,SK_MEL_28
606498,K_562
343499,NCI_ADR_RES
353451,BT_549
758667,786_0
753686,NCI_H322M
281612,ACHN
710270,RXF_393
312887,SF_295
681639,KM12
63878,UO_31
296934,EKVX
349174,SF_295
343499,NCI_H460
724998,SK_MEL_2
56410,HS578T
633782,UACC_257
354258,CAKI_1
328410,SK_OV_3
224131,T47D
697887,SN12C
85998,NCI_H322M
756660,SK_MEL_5
643833,MOLT_4
681635,SF_268
77213,HOP_92
111533,MDA_MB_435
757098,U251
153353,MOLT_4
132313,MCF7
613327,SN12C
752,MDA_N
38721,RXF_393
167780,DU_145
681632,KM12
374028,SNB_19
740645,UACC_257
610458,DU_145
610459,RXF_393
287459,NCI_H226
683555,NCI_H23
184692,OVCAR_5
89201,SF_295
126771,UO_31
357704,SK_MEL_5
85998,U251
357704,NCI_H522
357704,BT_549
709237,KM12
606498,DU_145
51143,SN12C
702294,TK_10
344007,SW_620
681643,NCI_H522
111533,SK_MEL_28
681644,BT_549
102627,EKVX
740645,KM12
295499,HCT_15
694501,SK_MEL_5
758230,HL_60
95382,SN12C
736201,U251
111533,IGROV1
124463,NCI_H23
100880,HCT_116
312887,CAKI_1
163501,RPMI_8226
709237,RXF_393
301739,BT_549
267469,ACHN
308847,KM12
758671,OVCAR_4
125066,NCI_H460
606985,NCI_H322M
702294,SF_295
616348,TK_10
629971,OVCAR_8
681636,HCT_15
143020,MDA_MB_231
758251,SR
681642,SF_539
71795,786_0
758671,A498
638066,MOLT_4
681635,TK_10
82151,HL_60
681639,OVCAR_8
26980,HCT_116
352122,U251
95466,NCI_H460
681641,SR
639186,CAKI_1
1390,ACHN
789797,PC_3
224131,ACHN
719276,CAKI_1
754230,HS578T
182986,SK_OV_3
26980,HCT_15
85998,IGROV1
735037,IGROV1
143020,T47D
26980,NCI_ADR_RES
249910,SNB_75
681644,OVCAR_4
344007,SNB_19
634724,U251
603076,T47D
295499,IGROV1
51143,CCRF_CEM
118994,TK_10
526598,OVCAR_8
353451,MDA_MB_435
107392,NCI_H522
95678,SK_MEL_5
182986,M14
178248,CCRF_CEM
754230,KM12
141540,NCI_H522
132313,SF_295
348948,RXF_393
218321,786_0
606497,EKVX
38721,HT29
753686,MALME_3M
681645,HOP_62
682298,SF_295
366140,OVCAR_3
349174,SNB_19
772992,HCT_116
301739,MDA_N
268242,NCI_H522
606172,NCI_H23
656889,SK_MEL_5
616348,SF_539
143020,HOP_92
148958,SK_MEL_5
755,HL_60
736493,T47D
102627,A549
320846,SW_620
681639,HCT_15
176323,SK_MEL_28
24559,KM12
295499,NCI_ADR_RES
639186,MDA_MB_231
374028,K_562
118994,BT_549
111533,ACHN
366140,KM12
721517,HL_60
85998,BT_549
269148,RXF_393
141549,MDA_MB_435
681632,CAKI_1
224131,OVCAR_5
681640,BT_549
368390,NCI_H522
143095,SN12C
719627,SF_268
174121,NCI_H322M
249992,SF_539
143020,SF_539
639174,RXF_393
123127,NCI_H226
27640,EKVX
329680,TK_10
100880,UO_31
759263,HOP_92
256927,SNB_75
249910,UO_31
681632,K_562
683558,OVCAR_3
320846,SR
603076,U251
353451,SW_620
63878,SNB_75
176323,SNB_19
256439,COLO205
100880,NCI_H322M
357704,MDA_MB_231
276382,T47D
618939,MDA_MB_231
241240,HL_60
697887,MALME_3M
26271,OVCAR_8
95441,IGROV1
740521,NCI_H23
603071,UACC_62
736198,BT_549
145668,HCC_2998
783107,IGROV1
656889,IGROV1
618939,TK_10
736201,SK_MEL_5
296934,MDA_MB_435
758255,MOLT_4
709237,HT29
105014,K_562
256439,SK_MEL_28
638066,HCC_2998
365798,SK_MEL_28
1895,KM12
736198,NCI_H226
105132,HT29
783107,HS578T
708298,SF_268
698037,BT_549
618939,SN12C
682298,LOXIMVI
740521,UO_31
719276,A549
107392,U251
369395,OVCAR_4
789797,M14
759263,CCRF_CEM
303812,HS578T
301739,HOP_92
637651,U251
364830,CCRF_CEM
374551,OVCAR_4
295500,ACHN
725776,SR
754771,EKVX
26980,MDA_MB_435
19893,HS578T
366140,MALME_3M
25154,OVCAR_4
344007,786_0
756717,K_562
8806,DU_145
606170,EKVX
724998,MCF7
755985,PC_3
138783,A549
609699,SR
627505,SF_295
757098,IGROV1
107124,HCT_116
767125,NCI_H322M
256942,SF_268
264137,SNB_75
673596,U251
24559,SNB_75
702294,CCRF_CEM
295500,MALME_3M
736493,SW_620
633782,IGROV1
73754,HOP_92
1895,OVCAR_8
301739,NCI_ADR_RES
34462,LOXIMVI
757036,T47D
740268,RXF_393
83142,SK_MEL_28
681646,EKVX
728073,HCT_15
138783,M14
19893,MCF7
71261,SK_MEL_28
14229,BT_549
264137,U251
71795,OVCAR_3
32065,786_0
681637,MDA_MB_231
757804,BT_549
107124,TK_10
102627,SF_295
754365,HCC_2998
308847,CAKI_1
606499,786_0
95382,OVCAR_8
123127,786_0
71851,HL_60
736202,U251
697912,ACHN
364830,BT_549
765396,SK_MEL_28
768112,MDA_N
3053,UO_31
143020,OVCAR_5
369395,NCI_H23
320846,NCI_H226
354258,NCI_H23
264137,NCI_H226
134679,SW_620
95466,MDA_N
153353,SK_MEL_5
606869,SK_MEL_2
125066,SF_268
757036,NCI_H226
77213,MCF7
643833,SR
148958,SR
314622,A498
681633,HCT_116
681634,OVCAR_5
365798,HS578T
224131,NCI_ADR_RES
51143,UACC_62
182986,SK_MEL_2
111533,SN12C
224131,K_562
26980,TK_10
683556,SK_MEL_28
736624,EKVX
82151,T47D
757087,OVCAR_4
758612,ACHN
752,HCC_2998
606869,UACC_62
754771,HOP_92
709237,MDA_MB_435
256439,HCC_2998
107392,NCI_H322M
681639,MOLT_4
51143,KM12
172112,TK_10
610459,MDA_MB_435
768593,OVCAR_5
363812,SNB_75
698037,SW_620
279836,SK_MEL_2
783107,SNB_75
736624,DU_145
755841,OVCAR_3
736202,SF_268
683556,DU_145
27640,HS578T
312887,COLO205
681642,OVCAR_5
279836,PC_3
634724,KM12
94600,UACC_62
369100,OVCAR_8
698037,OVCAR_3
25154,CCRF_CEM
610456,HL_60
618939,U251
633782,OVCAR_4
343499,SN12C
3088,M14
681639,OVCAR_4
603071,NCI_H522
708298,NCI_ADR_RES
409962,NCI_H23
111533,MDA_N
71851,SW_620
141549,786_0
132313,786_0
351710,CAKI_1
134679,SNB_19
241240,CCRF_CEM
706744,IGROV1
762,OVCAR_3
95466,786_0
736201,SK_MEL_28
754230,SF_539
143095,DU_145
606498,MDA_MB_435
634724,SK_MEL_28
606869,ACHN
19893,MDA_MB_435
758255,EKVX
606172,MDA_N
89201,EKVX
526598,KM12
295499,ACHN
338947,A498
287459,OVCAR_8
756717,UACC_62
681637,CCRF_CEM
71851,MCF7
757087,RXF_393
124463,SK_OV_3
758612,NCI_H322M
105014,NCI_H322M
224131,MDA_MB_231
184692,SF_268
276382,OVCAR_3
683557,M14
256942,M14
303812,NCI_H522
295501,IGROV1
109724,NCI_ADR_RES
736198,SK_MEL_28
135758,MDA_MB_231
768593,K_562
374551,MALME_3M
348948,SK_OV_3
681638,MDA_MB_435
719276,A498
772992,M14
681642,HT29
610456,BT_549
365798,IGROV1
63878,MALME_3M
343499,MCF7
143095,MALME_3M
246131,CCRF_CEM
767125,SK_MEL_2
694501,K_562
118994,MDA_N
132483,MDA_MB_231
369100,SW_620
123127,HCC_2998
736202,SNB_19
526598,K_562
349174,SNB_75
25154,OVCAR_8
105014,HOP_92
683555,U251
134679,NCI_H322M
134033,OVCAR_3
71261,SNB_19
754365,EKVX
126771,CCRF_CEM
102627,HL_60
364830,T47D
132483,HL_60
241240,TK_10
606499,NCI_H322M
758230,OVCAR_3
1390,NCI_H322M
619232,COLO205
100880,SK_OV_3
694501,SF_268
681645,786_0
100880,SN12C
24559,IGROV1
353451,HOP_62
694501,A498
606498,NCI_H226
369100,NCI_H322M
725776,ACHN
369395,BT_549
758667,NCI_H522
758423,KM12
681644,A498
369395,CAKI_1
163501,OVCAR_5
697912,OVCAR_3
156303,DU_145
123127,SN12C
134679,SF_295
702294,HOP_92
736198,SF_268
353451,OVCAR_5
606497,SK_MEL_2
758251,SN12C
639174,UACC_62
71261,SR
38721,MDA_MB_435
352299,RPMI_8226
756717,KM12
629971,SF_295
656889,UACC_257
357704,TK_10
758667,A498
34462,T47D
3088,NCI_H23
698037,NCI_H522
759263,TK_10
132483,HCC_2998
627505,CAKI_1
374028,HS578T
3053,SR
681637,SNB_75
603077,OVCAR_3
107392,SF_268
737518,NCI_H226
8806,786_0
734294,HS578T
268242,SF_295
757098,HCT_116
789797,UO_31
681643,TK_10
269148,DU_145
759878,COLO205
765396,HS578T
760764,MDA_MB_435
618939,SF_295
169780,HT29
609699,SF_295
683558,ACHN
719627,MALME_3M
107392,NCI_ADR_RES
139105,DU_145
759857,HOP_62
747856,SR
135758,COLO205
681639,CAKI_1
681646,HT29
184692,CAKI_1
123127,COLO205
757804,ACHN
606497,MALME_3M
736493,NCI_H226
326231,MOLT_4
768593,UO_31
107124,SW_620
24559,786_0
71261,A498
753686,CAKI_1
724998,NCI_H23
760764,MDA_MB_231
268242,MDA_MB_231
681633,RPMI_8226
124463,CAKI_1
754365,HT29
753686,HT29
683558,HOP_92
276382,MALME_3M
94600,SF_539
759878,M14
618939,HS578T
759195,RPMI_8226
755985,NCI_H522
681637,HOP_92
643833,CCRF_CEM
603076,MALME_3M
735037,SK_MEL_28
338947,KM12
368390,OVCAR_8
369100,MALME_3M
139105,CAKI_1
71261,CCRF_CEM
740268,T47D
329680,OVCAR_5
681633,SK_MEL_2
337766,A498
3088,SF_268
756660,U251
107392,OVCAR_8
656889,OVCAR_5
724998,T47D
34462,NCI_H226
603077,TK_10
122819,NCI_ADR_RES
107124,KM12
710270,A549
697887,HCT_116
355644,SF_539
104800,NCI_H322M
143095,KM12
122819,HOP_62
71851,MOLT_4
351710,SK_MEL_5
9706,A549
772992,SF_539
710270,MDA_N
26271,U251
125066,NCI_H23
256942,K_562
721517,UO_31
606173,SNB_75
354646,NCI_H322M
154948,SK_MEL_5
681645,NCI_H226
79037,NCI_H322M
627505,U251
34462,RXF_393
758612,IGROV1
762,BT_549
709237,HL_60
89201,MOLT_4
354646,RXF_393
138783,DU_145
104800,MDA_MB_231
681643,SF_539
706744,NCI_H460
132313,OVCAR_4
19893,OVCAR_3
169780,BT_549
363812,SF_268
643833,SF_295
681636,COLO205
681632,786_0
107124,RXF_393
246131,MDA_N
352122,SF_539
752840,HCC_2998
603074,HS578T
354646,HCT_15
352122,SK_OV_3
141540,EKVX
754366,MALME_3M
697912,SK_MEL_28
127716,MCF7
364830,SK_MEL_28
164011,ACHN
606172,OVCAR_4
758612,SNB_19
719276,MDA_N
736493,SN12C
256439,HT29
681632,EKVX
267469,EKVX
138783,OVCAR_4
349174,SF_268
312887,MOLT_4
148958,SF_268
697912,MDA_MB_231
709237,SNB_19
82151,U251
301739,UACC_257
613327,MALME_3M
673596,UACC_257
164011,DU_145
783107,PC_3
163501,CAKI_1
737518,KM12
95382,SW_620
708298,786_0
326231,SK_OV_3
349174,RPMI_8226
302991,OVCAR_5
287459,HCT_15
354258,EKVX
616348,SN12C
734294,DU_145
134679,MALME_3M
681638,SK_MEL_28
271674,OVCAR_8
172112,NCI_H522
138783,OVCAR_8
279836,SW_620
681646,SK_MEL_2
758667,BT_549
354646,SNB_19
24559,SK_OV_3
633782,OVCAR_3
610458,HOP_62
118994,MOLT_4
8806,SK_MEL_28
100880,SF_539
681645,SR
616348,EKVX
139105,CCRF_CEM
89201,OVCAR_4
268242,ACHN
791785,BT_549
95466,T47D
634724,HCT_15
94600,HCT_116
606986,HOP_62
353451,UACC_62
681644,MDA_MB_231
264137,CAKI_1
126771,IGROV1
154948,COLO205
637651,HT29
760419,LOXIMVI
759614,UO_31
724998,SR
681636,OVCAR_5
681645,MOLT_4
613327,HOP_92
296934,SF_268
784722,SF_539
118218,MDA_MB_231
353451,CCRF_CEM
326231,UACC_62
105014,MALME_3M
95466,SF_539
656889,NCI_H460
348948,A498
633782,NCI_H226
706744,PC_3
143095,TK_10
167780,UACC_62
753686,A498
683556,RXF_393
758423,SF_539
736198,SR
352299,UACC_257
51143,LOXIMVI
314622,SR
682298,A549
609699,A498
349174,EKVX
107392,SK_MEL_2
271674,NCI_ADR_RES
246131,SNB_75
32065,SK_MEL_2
758255,BT_549
326231,MALME_3M
755880,RPMI_8226
141549,SF_295
127716,NCI_H460
82151,HT29
681635,CCRF_CEM
308847,SF_268
765775,MDA_MB_435
256927,MDA_MB_231
694501,A549
610457,SN12C
8806,HOP_62
127716,UO_31
681639,COLO205
772992,A498
164011,A549
756660,MDA_MB_231
702294,NCI_H460
757804,MDA_N
610457,A498
364830,NCI_H460
3053,NCI_H460
681642,SN12C
755,HS578T
697887,HT29
353451,K_562
758671,PC_3
312887,EKVX
737518,IGROV1
603071,NCI_ADR_RES
184692,ACHN
736198,HS578T
681633,MDA_MB_435
343499,SF_539
246131,OVCAR_8
344007,SNB_75
606986,RPMI_8226
754230,U251
148958,UACC_62
296934,HL_60
218321,ACHN
132483,M14
756717,MCF7
756660,HT29
752840,MOLT_4
269148,UACC_257
276382,MCF7
697912,MDA_MB_435
683556,OVCAR_8
281612,NCI_H226
754230,RXF_393
759155,HL_60
681646,SW_620
765396,UACC_62
757098,SK_MEL_2
95441,CCRF_CEM
606986,HOP_92
135758,HS578T
366140,A498
681632,A498
772992,RPMI_8226
156303,UACC_257
765775,UO_31
9706,SNB_75
125066,A549
756717,BT_549
368390,OVCAR_5
725776,SF_268
627505,CCRF_CEM
526598,SF_268
344007,LOXIMVI
279836,SK_MEL_28
45388,NCI_H522
218321,CAKI_1
606869,EKVX
755384,SF_539
603077,MOLT_4
329680,A498
249910,UACC_257
326231,HOP_62
308847,K_562
132483,NCI_H522
174121,HS578T
83142,HCT_15
353451,MDA_N
681644,UACC_62
681644,TK_10
629971,HCC_2998
759857,SF_268
708298,UO_31
783107,NCI_H460
752,SF_295
369395,SF_295
757348,A549
610456,SF_539
697887,SF_539
734294,SK_MEL_2
1390,HOP_62
6396,HS578T
19893,SR
73754,IGROV1
267469,NCI_H226
124463,OVCAR_4
94600,HL_60
681634,OVCAR_8
369100,HS578T
772992,SK_MEL_28
351710,SNB_75
141549,KM12
6396,PC_3
755841,HCT_15
26980,SN12C
267469,RPMI_8226
759614,CCRF_CEM
639186,M14
610458,IGROV1
639186,MCF7
132313,SN12C
126771,SNB_19
312887,HCT_116
3088,OVCAR_8
3088,786_0
45388,HCT_15
369395,PC_3
26271,OVCAR_5
755,LOXIMVI
328410,M14
8806,MDA_N
154948,SNB_19
249992,COLO205
71795,MDA_MB_231
118218,T47D
603074,TK_10
118218,SN12C
757087,IGROV1
38721,SNB_75
681636,DU_145
56410,SK_OV_3
756717,ACHN
758423,T47D
760764,SF_268
639186,HT29
706744,OVCAR_5
736198,DU_145
135758,NCI_H226
77213,HT29
681632,MALME_3M
736202,T47D
623017,CCRF_CEM
681634,NCI_ADR_RES
606498,RPMI_8226
694501,SR
123127,RXF_393
610456,NCI_H522
45388,SN12C
94600,HT29
616348,SF_268
118218,NCI_H460
734294,SF_268
681642,EKVX
683557,K_562
697887,NCI_H23
616348,SNB_75
182986,RXF_393
759857,UACC_62
740268,SF_295
754771,K_562
606985,OVCAR_5
256942,NCI_H522
740645,HL_60
8806,SF_268
736201,SN12C
295501,HT29
123127,HOP_62
762,EKVX
63878,A498
755,CCRF_CEM
606497,SW_620
154948,SR
757348,A498
681634,MALME_3M
122819,HCC_2998
784722,HCT_15
772992,LOXIMVI
610458,T47D
365798,786_0
681639,786_0
791785,UO_31
634724,SK_OV_3
754366,A498
760764,IGROV1
271674,SNB_19
736202,BT_549
708298,OVCAR_5
107124,CAKI_1
681646,LOXIMVI
153353,SN12C
634724,MDA_MB_435
629971,SK_OV_3
633782,HCC_2998
105014,MDA_MB_231
269148,HS578T
754771,RPMI_8226
603071,OVCAR_4
681638,SK_OV_3
268242,NCI_H226
754366,NCI_ADR_RES
754366,SK_MEL_5
681636,OVCAR_8
681641,OVCAR_8
132483,HOP_62
164011,T47D
14229,COLO205
752,A549
287459,HOP_62
618939,SNB_75
633782,A549
338947,HCT_15
681643,SN12C
683555,A498
153353,NCI_H522
683558,SW_620
721517,ACHN
767125,A498
757348,LOXIMVI
719276,MDA_MB_435
629971,T47D
8806,NCI_ADR_RES
736624,A549
758423,OVCAR_5
369100,M14
374551,RPMI_8226
752840,SF_295
681636,ACHN
736493,SF_268
643833,HCT_116
606499,MDA_MB_435
56410,786_0
352122,SW_620
753686,UO_31
256927,HCC_2998
176323,HL_60
374551,SK_MEL_28
343499,SNB_19
353451,RXF_393
757087,RPMI_8226
736493,HT29
697887,SW_620
338947,LOXIMVI
606170,NCI_H322M
368390,SW_620
95678,BT_549
673596,ACHN
759195,OVCAR_5
619232,K_562
603077,K_562
79037,BT_549
176323,K_562
694501,IGROV1
755,SK_OV_3
740,SK_MEL_28
760419,M14
326231,TK_10
753686,SK_MEL_28
63878,SW_620
789797,MOLT_4
153353,SF_268
368390,MOLT_4
757348,SK_MEL_28
354258,MDA_MB_435
178248,HCT_15
141540,HS578T
369100,HOP_92
141540,ACHN
683555,SF_539
758671,NCI_H226
754771,M14
610458,SNB_19
268242,HOP_62
95466,KM12
352299,SF_268
