"NAME_SET","nci60","ctrp","gdscDec15","ccle","nciSclc","almanac","sarcoma","lantern","lantnci","ncats","uniSarcoma","tncats","ukhyun","ancats","acc","nob","prism","gdsc1","gdsc2","accorg","pdxEwing"
"1316214-52-4|ACY-1215|RICOLINOSTAT|ROCILINOSTAT|205808|767952","767952","NA","NA","NA","767952","NA","767952","NA","NA","NA","767952","ricolinostat","NA","ricolinostat","NA","NA","ACY-1215","ACY-1215","NA","NA","NA"
"475488-23-4|475489-15-7|ADW-742|ADW742, NVP-ADW742|CHEMBL399021|NVP-ADW742|GSK-552602-A|S1088|767746","767746","NA","NA","NA","767746","NA","767746","NA","NA","NA","767746","adw-742","NA","adw-742","NA","NA","NA","NA","NVP-ADW742","NA","NA"
"425637-18-9|AEB-071|AEB071|SOTRASTAURIN|UNII-7I279E1NZ8","NA","sotrastaurin","NA","NA","766819","NA","NA","NA","NA","NA","NA","sotrastaurin","NA","sotrastaurin","NA","NA","NA","NA","NA","NA","NA"
"497839-62-0|AEE 788|AEE-788|AEE788|GNF-PF-5343|A-1105|6-[4-(4-ETHYLPIPERAZIN-1-YLMETHYL)PHENYL]-N-[1(R)-PHENYL...|NVP-AEE-788|765949","765949","NA","NA","NA","765949","NA","765949","NA","NA","NA","765949","aee-788","NA","aee-788","NA","NA","AEE788","NA","NA","NA","NA"
"AEG-40730","NA","NA","NA","NA","754359","NA","754359","NA","NA","NA","754359","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"475488-34-7|475489-16-8|AEW-541|AEW541|NVP-AEW541|767006","767006","NA","NA","AEW541","767006","NA","767006","NA","767006","NA","767006","aew-541","NA","aew-541","NA","NA","NVP-AEW541","NA","NA","NA","NA"
"439081-18-2|850140-72-6|AFATINIB|BIBW 2992|TOVOK|750691|AFATINIB DIMALEATE","750691","afatinib","Afatinib_1377|Afatinib_1032","NA","750691","NA","750691","NA","750691","NA","750691","afatinib","NA","afatinib","NA","NA","NA","Afatinib_1032|Afatinib_1377","Afatinib","NA","NA"
"468719-52-0|468719-53-1|AC1L9IUY|AFP 464|AFP-464|AFP464|NSC710464|UNII-73JNH95XPX|710464","710464","NA","NA","NA","710464","NA","710464","NA","710464","NA","710464","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"459868-92-9|AG-014699|PF-01367338|RUCAPARIB (PHOSPHATE)|RUCAPARIB PHOSPHATE|RUCAPARIB","NA","NA","AG-014699","NA","756644","NA","756644","NA","NA","NA","756644","rucaparib","NA","rucaparib","NA","NA","NA","Rucaparib","Rucaparib","NA","NA"
"446022-33-9|AG 2037|AG-2037|PELITREXOL|UNII-DHT6E8M4KP","NA","NA","NA","NA","767745","NA","767745","NA","NA","NA","767745","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AGIOS CMP 301","NA","NA","NA","NA","768539","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AICAR|ACADESINE","NA","NA","AICAR","NA","NA","NA","NA","NA","NA","NA","NA","acadesine","NA","acadesine","NA","NA","NA","NA","NA","NA","NA"
"AKT INHIBITOR VIII","NA","NA","AKT inhibitor VIII","NA","NA","NA","NA","NA","NA","NA","NA","akt inhibitor viii","NA","akt inhibitor viii","NA","NA","NA","AKT inhibitor VIII_171|AKT inhibitor VIII_228","NA","NA","NA"
"1028486-01-2|ALISERTIB|MLN 8237|MLN-8237|MLN8237|CS-0106|S1133|SODIUM 4-{[9-CHLORO-7-(2-FLUORO-6-METHOXYPHENYL)-5H-PYRI...|759677","759677","alisertib","NA","NA","759677","NA","759677","NA","NA","NA","759677","alisertib","NA","alisertib","NA","NA","alisertib","Alisertib","Alisertib","NA","NA"
"315-30-0|ALLOPURINOL|LOPURIN|ZYLOPRIM|1390","1390","NA","NA","NA","1390","NA","NA","NA","1390","NA","NA","allopurinol","NA","allopurinol","NA","NA","NA","NA","NA","NA","NA"
"645-05-6|ALTRETAMINE|HEXALEN|HEXAMETHYLMELAMINE|HEXASTAT","NA","NA","NA","NA","13875","NA","NA","NA","NA","NA","NA","altretamine","NA","altretamine","NA","NA","altretamine","NA","NA","NA","NA"
"146426-40-6|ALVOCIDIB|FLAVO|FLAVOPIRIDOL|FLAVOPIRIDOL HYDROCHLORIDE|649890","649890","alvocidib","NA","NA","649890","NA","649890","NA","649890","NA","649890","alvocidib","NA","alvocidib","NA","NA","alvocidib","Flavopiridol","NA","NA","NA"
"(+)-STAUROSPORINE|AM-2282|ANTIBIOTIC 230|ANTIBIOTIC AM 2282|STAUROSPORIN|STAUROSPORINE|618487","618487","NA","NA","NA","755774","NA","755774","NA","618487","NA","755774","staurosporine","NA","staurosporine","NA","NA","NA","NA","Staurosporine","NA","NA"
"AMD 473|AMD-473|JM-473|PICOPLATIN|ZD0473","NA","NA","NA","NA","758490","NA","758490","NA","NA","NA","758490","picoplatin","NA","picoplatin","NA","NA","NA","NA","NA","NA","NA"
"1002304-34-8|AMG 208|AMG-208|UNII-Y2SR66P7VM","NA","NA","NA","NA","766288","NA","NA","NA","NA","NA","NA","amg-208","NA","amg-208","NA","NA","AMG-208","NA","NA","NA","NA"
"913376-83-7|AMG 458|AMG-458|AMG458|UNII-4535RW5Y3A|AMG-458 (C-MET)|1-(2-HYDROXY-2-METHYLPROPYL)-N-(5-(7-METHOXYQUINOLIN-4-Y...|1 1H-PYRAZOLE-4-CARBOXAMIDE, 2,3-DIHYDRO-1-(2-HYDROXY-2-...|754346","754346","NA","NA","NA","754346","NA","NA","NA","NA","NA","NA","amg-458","NA","amg-458","NA","NA","AMG458","NA","NA","NA","NA"
"453562-69-1|AMG 706|AMG-706|MOTESANIB|UNII-U1JK633AYI|760843|MOTESANIB DIPHOSPHATE","760843","NA","AMG-706","NA","760843","NA","760843","NA","760843","NA","760843","motesanib","NA","motesanib","NA","NA","motesanib","Motesanib","Motesanib","NA","NA"
"AMG-900|AMG900|N-[4-[[3-(2-AMINO-4-PYRIMIDINYL)-2-PYRIDINYL]OXY]PHENYL]...|761069","761069","NA","NA","NA","761069","NA","761069","NA","NA","NA","761069","amg-900","NA","amg-900","NA","NA","AMG900","NA","NA","NA","NA"
"20537-88-6|AMIFOSTINE|ETHIOFOS|ETHYOL|GAMMAPHOS","NA","NA","NA","NA","296961","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"165179-35-1|2EXS38428U|AMINOFLAVONE|NSC-686288|UNII-2EXS38428U|686288","686288","NA","NA","NA","686288","NA","686288","NA","686288","NA","686288","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AMINOLEVULINIC ACID","NA","NA","NA","NA","18509","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5-AMINOMITONAFIDE|69408-81-7|AMONAFIDE|BENZISOQUINOLINEDIONE|CGX-571|NAFIDIMIDE|308847|AMONAFIDE, AMONAFIDE|QUINAMED|AS1413|S1367|AS-1413|BIDA|M-FA-142|AMONAFIDE/QUINAMED|NAFIDIMIDE, BENZISOQUINOLINEDIONE|1H-BENZ[DE]ISOQUINOLINE-1,3(2H)-DIONE, 5-AMINO-2-[2-(DIM...|758251| 308847","758251|308847","NA","NA","NA","758251","NA","758251","NA","308847","NA","758251","amonafide","NA","amonafide","NA","NA","amonafide","NA","NA","NA","NA"
"17321-77-6|ANAFRANIL|CLOMIPRAMINE HCL|CLOMIPRAMINE HYDROCHLORIDE","NA","NA","NA","NA","759323","NA","NA","NA","NA","NA","NA","clomipramine hydrochloride","NA","clomipramine hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"ANALOG OF S-49076","NA","NA","NA","NA","765672","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"120511-73-1|ANASTRAZOLE|ANASTROZOL|ANASTROZOLE|ARIMIDEX","NA","NA","NA","NA","719344","NA","NA","NA","NA","NA","NA","anastrozole","NA","anastrozole","NA","NA","anastrozole","NA","NA","NA","NA"
"943319-70-8|AP 24534|AP-24534|AP24534|ICLUSIG|PONATINIB|758487","758487","NA","AP-24534","NA","758487","NA","758487","NA","758487","NA","758487","ponatinib","NA","ponatinib","NA","NA","ponatinib","Ponatinib","NA","NA","NA"
"AP0-866","NA","NA","NA","NA","760442","NA","760442","NA","NA","NA","760442","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"935881-37-1|AR 42|AR-42|OSU-HDAC42","NA","NA","AR-42","NA","NA","NA","NA","NA","NA","NA","NA","ar-42","NA","ar-42","NA","NA","AR-42","AR-42","NA","NA","NA"
"24356-66-9|ARA-A|ARABINOSIDE|UNII-FA2DM6879K|VIDARABINE|VIDARABINE MONOHYDRATE","NA","NA","NA","NA","686673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vidarabine","NA","NA","NA","NA"
"ARIAD ALK/EGFR INHIBITOR RELATED TO AP-26113","NA","NA","NA","NA","761191","NA","761191","NA","NA","NA","761191","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"956104-40-8|ARN 509|ARN-509|ARN509|UNII-4T36H88UA7|APALUTAMIDE","NA","NA","NA","NA","771649","NA","NA","NA","NA","NA","NA","apalutamide","NA","apalutamide","NA","NA","NA","NA","NA","NA","NA"
"905854-02-6|ARQ 197|ARQ-197|ARQ197|TIVANTINIB|A-1109|(-)-3(R)-(5,6-DIHYDRO-4H-PYRROLO[3,2,1-IJ]QUINOLIN-1-YL)...|758242","758242","tivantinib","NA","NA","758242","NA","758242","NA","NA","NA","758242","tivantinib","NA","tivantinib","NA","NA","tivantinib","NA","NA","NA","NA"
"ARQ-621|N-(3-AMINO-PROPYL)-3-CHLORO-2-FLUORO-N-[(R)-1-(7-CHLORO-...|771644","771644","NA","NA","NA","771644","NA","NA","NA","NA","NA","NA","arq-621","NA","arq-621","NA","NA","NA","NA","NA","NA","NA"
"ARQ-680","NA","NA","NA","NA","764765","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"606143-89-9|ARRY-162|ARRY-438162|BINIMETINIB|MEK-162|MEK162|CT-A162|764042","764042","NA","NA","NA","764042","NA","764042","NA","NA","NA","764042","binimetinib","NA","binimetinib","NA","NA","binimetinib","NA","NA","NA","NA"
"937265-83-3|ARRY-380|ARRY-380 (ANALOG )|ARRY380|UNII-H32S1659ED|TUCATINIB|N6-(4,4-DIMETHYL-4,5-DIHYDRO-OXAZOL-2-YL)-N4[3-METHYL-4-...|WA024-00|764581","764581","NA","NA","NA","764581","NA","NA","NA","NA","NA","NA","tucatinib","NA","tucatinib","NA","NA","tucatinib","NA","NA","NA","NA"
"ARRY-520 (ISOMER A)|ARRY-520 (ISOMER B)|FILANESIB HYDROCHLORIDE|FILANESIB|ARRY-520","NA","NA","NA","NA","772254|772255","NA","NA","NA","NA","NA","NA","filanesib","NA","filanesib","NA","NA","filanesib","ARRY-520","NA","NA","NA"
"ARSENIC TRIOXIDE|706363|92859|759274","706363|92859|759274","NA","NA","NA","92859","NA","NA","NA","706363|92859|759274","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1236699-92-5|AS-703026|AS703026|PIMASERTIB|UNII-6ON9RK82AL|4-PYRIDINECARBOXAMIDE, N-[(2S)-2,3-DIHYDROXYPROPYL]-3-[(...|A-1005|MSC-1936369|MSC1936369B|S1475|755763","755763","NA","NA","NA","755763","NA","755763","NA","NA","NA","755763","pimasertib","NA","pimasertib","NA","NA","AS-703026","NA","NA","NA","NA"
"AS 703569|AS-703569|AS703569|CENISERTIB|UNII-5277GPA358","NA","NA","NA","NA","763930","NA","763930","NA","NA","NA","763930","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"345987-15-7|AS601245|CHEMBL406703|SCHEMBL186278","NA","NA","AS601245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","AS601245","NA","NA","NA"
"648450-29-7|AS 605240|AS-605240|AS605240|PI 3-KGAMMA INHIBITOR|5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE","NA","NA","AS605240","NA","NA","NA","NA","NA","NA","NA","NA","as-605240","NA","as-605240","NA","NA","NA","AS605240","NA","NA","NA"
"ASORBIC ACID","NA","NA","NA","NA","33832","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ASP-3026|ASP-3026 TRIHYDROCHLORIDE|N-[2-METHOXY-4-(4-METHYLPIPERAZIN-1-YL)PIPERIDIN-1-YL]PH...|;ASP-3026 TRIHYDROCHLORIDE;N-[2-METHOXY-4-(4-METHYLPIPER...|765865","765865","NA","NA","NA","765865","NA","765865","NA","NA","NA","765865","asp-3026","NA","asp-3026","NA","NA","NA","NA","NA","NA","NA"
"475108-18-0|ASP-4130|AV 951|AV-951|KRN-951|TIVOZANIB|758007","758007","tivozanib","AV-951","NA","758007","NA","758007","NA","758007","NA","758007","tivozanib","NA","tivozanib","NA","NA","tivozanib","Tivozanib","NA","NA","NA"
"867160-71-2|ASP-7487|LINSITINIB|OSI 906|OSI-906|OSI906|756652","756652","linsitinib","OSI-906_185","NA","756652","NA","756652","NA","756652","NA","756652","linsitinib","NA","linsitinib","756652","NA","linsitinib","Linsitinib","Linsitinib","756652","NA"
"ASPARAGINASE|109229","109229","NA","NA","NA","NA","NA","NA","NA","109229","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ASTEX FGF INHIBITOR","NA","NA","NA","NA","754361","NA","754361","NA","NA","NA","754361","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT-101; BL-193|(-)-GOSSYPOL|(+)-GOSSYPOL|303-45-7|GOSSYPOL|POGOSIN","NA","gossypol","NA","NA","727859","NA","727859","NA","NA","NA","727859","(-)-gossypol","NA","(-)-gossypol","NA","NA","gossypol","NA","NA","NA","NA"
"AT-13148|NA, AT-13148|(S)-2-AMINO-1-(4-CHLOROPHENYL)-1-[4-(1H-PYRAZOL-4-YL)-PH...|TCRS-191|799337|771650|AT13148","799337|771650","NA","NA","NA","771650","NA","NA","NA","NA","NA","NA","at-13148","NA","at-13148","NA","NA","NA","NA","AT13148","NA","NA"
"912999-49-6|AT-13387|AT13387|ONALESPIB|UNII-Q7Y33N57ZZ|749712|ONALESPIB LACTATE|API0007159|A-1247|(2,4-DIHYDROXY-5-ISOPROPYLPHENYL)-[5-(4-METHYLPIPERAZIN-...|AT13387, AT13387AU, AT013387|763579","749712|763579","AT13387","NA","NA","763579","NA","763579","NA","749712","NA","763579","onalespib","NA","onalespib","NA","NA","AT13387","NA","NA","NA","NA"
"1071992-99-8|AT 406|AT-406|AT406|SM 406|SM-406|S2754|764757","764757","NA","NA","NA","764757","NA","NA","NA","NA","NA","NA","at-406","NA","at-406","NA","NA","NA","NA","NA","NA","NA"
"844442-38-2|AT 7519|AT-7519|AT7519|UNII-X1BF92PW9T|773394","773394","NA","AT-7519","NA","773394","NA","NA","NA","773394","NA","NA","at-7519","NA","at-7519","NA","NA","AT-7519","AT-7519","NA","NA","NA"
"896466-04-9|AT-9283|AT9283|C19H23N7O2|UNII-XAV9KYN9WL|UREA, N-CYCLOPROPYL-N'-[3-[6-(4-MORPHOLINYLMETHYL)-1H-BE...|S1134|760144","760144","NA","NA","NA","760144","NA","760144","NA","NA","NA","760144","at-9283","NA","at-9283","NA","NA","AT-9283","NA","NA","NA","NA"
"302-79-4|ATRA|RETINOIC ACID|TRANS-RETINOIC ACID|TRETINOIN|VITAMIN A ACID|13-CIS-RETINOIC ACID|ACCUTANE|CLARAVIS|ISOTRETINOIN|ROACCUTANE|122758","122758","tretinoin","ATRA","NA","122758","NA","NA","NA","122758","NA","NA","isotretinoin","NA","isotretinoin","NA","NA","NA","Tretinoin","Tretinoin","NA","NA"
"747412-49-3|AUY-922|AUY922|LUMINESPIB|NVP-AUY922|UNII-C6V1DAR5EB|VER-52296|755762","755762","NA","AUY922","NA","755762","NA","755762","NA","755762","NA","755762","luminespib","NA","luminespib","NA","NA","NVP-AUY922","Luminespib","Luminespib","NA","NA"
"297730-17-7|AVN 944|AVN-944|AVN944|UNII-I3NPL1V48Q|VX-944|CT-AVN944|767601","767601","NA","NA","NA","767601","NA","767601","NA","NA","NA","767601","avn-944","NA","avn-944","NA","NA","AVN-944","NA","NA","NA","NA"
"319460-85-0|AG 013736|AG-013736|AXITINIB|INLYTA|757441","757441","axitinib","Axitinib","NA","757441","NA","757441","NA","757441","NA","757441","axitinib","NA","axitinib","NA","NA","axitinib","Axitinib","Axitinib","NA","NA"
"878739-06-1|AZ 628|AZ-628|AZ628|UNII-560S6B5D79|A-9011|;A-9011;AZ-628;AZ 628;AZ628|782007","782007","NA","AZ628","NA","NA","NA","NA","NA","NA","NA","NA","az-628","NA","az-628","NA","NA","NA","AZ628","NA","NA","NA"
"320-67-2|5-AZACYTIDINE|AZACITIDINE|LADAKAMYCIN|VIDAZA|102816|758186|5-AZACITIDINE","102816|758186","azacitidine","NA","NA","102816","NA","NA","NA","102816|758186","NA","NA","azacitidine","NA","azacitidine","758186","NA","azacitidine","NA","5-azacytidine","758186","NA"
"379231-04-6|AZD-0530|AZD0530|NCHEMBIO866-COMP19|SARACATINIB|758872","758872","saracatinib","AZD-0530","AZD0530","758872","NA","758872","NA","758872","NA","758872","saracatinib","NA","saracatinib","NA","NA","saracatinib","Saracatinib","NA","NA","NA"
"935666-88-9|AZD-1480|AZD1480|UNII-KL2Z2TLF01|S2162|756648","756648","AZD1480","NA","NA","756648","NA","NA","NA","NA","NA","NA","azd-1480","NA","azd-1480","NA","NA","AZD1480","AZD1480","NA","NA","NA"
"288383-20-0|AZD 2171|AZD-2171|AZD2171|CEDIRANIB|RECENTIN|CEDIRANIB MALEATE|S1017|755606","755606","cediranib","NA","NA","755606","NA","755606","NA","NA","NA","755606","cediranib","NA","cediranib","NA","NA","cediranib","NA","Cediranib","NA","NA"
"1174043-16-3|AZD 2461|AZD-2461|AZD2461","NA","NA","NA","NA","773230","NA","NA","NA","NA","NA","NA","azd-2461","NA","azd-2461","NA","NA","AZD2461","NA","NA","NA","NA"
"486424-20-8|AZD 2858|AZD-2858|AZD2858|CHEMBL2177161","NA","NA","NA","NA","774901","NA","774901","NA","NA","NA","774901","NA","NA","NA","NA","NA","AZD2858","NA","NA","NA","NA"
