,NSC,NAME,FDA_STATUS,MOA,PUBCHEM_ID,SMILES,TOTAL_EXPS,TOTAL_EXPS_AFTER_QC
138,5031,"D-Glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd...",,,16129878.0,Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OCC3OC(OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)C(OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)C(OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)C3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10,1,1
139,5048,magneson ii,,,79174.0,Oc1ccc(N=Nc2ccc(cc2)[N+](=O)[O-])c3ccccc13,1,1
140,5053,tptz,,,9283.0,c1ccc(cc1)c2n[n+](c3ccccc3)n(n2)c4ccccc4,2,2
141,5062,allyliodourotropine,,,,C=CC[N+]12CN3CN(CN(C3)C1)C2,1,1
142,5066,"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene",,,69095.0,Cc1cc(O)cc(O)c1N=Nc2ccc(cc2)[N+](=O)[O-],1,1
143,5113,POMIFERIN,,,4871.0,CC(=CCc1c(O)c2C(=O)C(=COc2c3C=CC(C)(C)Oc13)c4ccc(O)c(O)c4)C,2,2
144,5159,chartreusin,,,,COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5C(=O)Oc6ccc(C)c7C(=O)Oc(c5c67)c34)OC(C)C(O)C2O)C1O,8,5
145,5192,"5,6-Chrysenedione",,,16317.0,O=C1C(=O)c2c(ccc3ccccc23)c4ccccc14,1,1
146,5200,py 40,,,135403411.0,NC1=NC(=O)C(=C(N)N1)N=Nc2ccccc2,1,1
147,5206,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride",,,24181145.0,CCCCCCCCCCCC1N=C(N)N=C(N)N1c2cccc(Br)c2,2,2
148,5278,olpizan,,,17584.0,[O-][N+](=O)c1cc(Cl)c(Cl)c(c1Cl)[N+](=O)[O-],1,1
149,5283,chlorotriethyltin,,,13820.0,CC[Sn](Cl)(CC)CC,1,1
150,5332,pan (van),,,6825.0,Oc1ccc2ccccc2c1N=Nc3ccccn3,2,2
151,5337,vancide 26,,,79411.0,CCCCCCCCCCCC[n+]1ccccc1.Clc2ccc3SC(=S)[N-]c3c2,2,2
152,5347,(o-carboxyphenylthio)acetic acid,,,,OC(=O)CSc1ccccc1C(=O)O,1,1
153,5355,Berberal,,,,COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC,2,2
154,5364,cinchonidine,FDA approved,,,OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34,1,1
155,5366,Noscapine,FDA approved,,,COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34,1,1
156,5417,"1-Naphthalenol, 4-nitroso- (9CI)",,,,Oc1ccc(N=O)c2ccccc12,1,1
157,5418,"p-Nitroso-N,N-diethylaniline",,,67115.0,CCN(CC)c1ccc(cc1)N=O,1,1
158,5425,"9,10-Phenanthrenedione, 2-nitro- (9CI)",,,,[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23,1,1
159,5485,"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol",,,221231.0,OC(CNc1ccnc2cc(Cl)ccc12)CNc3ccnc4cc(Cl)ccc34,1,1
160,5491,Ethyl red,,,,CCN1C=C\C(=C/c2ccc3ccccc3[n+]2CC)\c4ccccc14,1,1
161,5550,Malachite green oxalate,,,407450.0,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3.CN(C)c4ccc(cc4)C(=C5C=CC(=[N+](C)C)C=C5)c6ccccc6.OC(=O)C(=O)O.[O-]C(=O)C(=O)[O-],4,2
162,5551,wln: t b566 ck esj c1 d1u1r dn1&1 &i,,,6433478.0,CN(C)c1ccc(\C=C\c2sc3ccc4ccccc4c3[n+]2C)cc1,2,1
163,5620,"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid",,,221258.0,OC(=O)CC1(CC(=O)O)Nc2ccccc2SC1=O,1,1
164,5639,phenylbenzophenone,,,407452.0,O=C(c1ccccc1)c2ccccc2c3ccccc3,1,1
165,5648,thonzide,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2,2,1
166,5703,"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline",,,221307.0,COc1cc(cc(OC)c1OC)c2nccc3cc4OCOc4cc23,1,1
167,5705,"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate",,,221309.0,COC(=O)c1cc(O)c2cc3OCOc3cc2c1c4cc(OC)c(OC)c(OC)c4,1,1
168,5816,wln: gr dmyus&mvr,,,701011.0,Clc1ccc(NC(=S)NC(=O)c2ccccc2)cc1,2,1
169,5889,l-Usnic acid,,,,CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O,5,2
170,5890,D-Usnic acid,,,,CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O,5,2
171,5896,Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol,,,135436503.0,COc1cc(N=Nc2ccc(O)c3ncccc23)c4ncccc4c1,1,1
172,5907,Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline,,,16682406.0,COc1ccc2nccc(\C=C\c3ccnc4ccc(OC)cc34)c2c1,2,1
173,5908,"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine",,,221375.0,COc1ccc2N(CCCc2c1)c3c4ccccc4nc5ccccc35,1,1
174,5920,"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine",,,407487.0,COc1cc(N=Nc2cc(Cc3ccc(cc3)N(C)C)c(N)cc2N(C)C)c4ncccc4c1,1,1
175,6145,"1,2-Dibenzoylbenzene",,,70875.0,O=C(c1ccccc1)c2ccccc2C(=O)c3ccccc3,1,1
176,6152,Chrysarobin,,,,Cc1cc(O)c2cc3c(O)c(O)ccc3cc2c1,2,2
177,6171,cineol,,,,CC12CCC(CC1)C(C)(C)O2,6,3
178,6176,cinchonine,,,,O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,1,1
179,6266,dibenzoylmethane,,,8433.0,O=C(CC(=O)c1ccccc1)c2ccccc2,1,1
180,6278,2-aminonaphthiazole,,,94880.0,Nc1nc2c(ccc3ccccc23)s1,1,1
181,6386,bialamicol,,,,CCN(CC)Cc1cc(cc(CC=C)c1O)c2cc(CC=C)c(O)c(CN(CC)CC)c2,4,2
182,6396,Thiotepa,FDA approved,A7|AlkAg,,S=P(N1CC1)(N2CC2)N3CC3,136,114
183,6477,nf 23,,,899314.0,CCOC(=O)\C=C\c1oc(cc1)[N+](=O)[O-],1,1
184,6777,ALBB-024793,,,221765.0,[O-][N+](=O)c1cc(Br)cc2c3cc(Br)ccc3[nH]c12,1,1
185,6814,erucic acid,,,,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O,5,1
186,6883,72I9A2I712,,,221812.0,[O-][N+](=O)c1cccc(Oc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c1,1,1
187,6891,"N-(4-Bromophenyl)-3,4-dichlorobenzamide",,,221819.0,Clc1ccc(cc1Cl)C(=O)Nc2ccc(Br)cc2,2,1
188,6926,,,,,O=C(NNc1ccccc1)C(=O)NNc2ccccc2,1,1
189,7215,tetraaminoditolylmethane,,,,Cc1cc(Cc2cc(C)c(N)cc2N)c(N)cc1N,1,1
190,7223,chrome black t,,,,[Na+].Oc1cc(c2cc(ccc2c1N=Nc3ccc4ccccc4c3O)[N+](=O)[O-])S(=O)(=O)O,4,2
191,7233,"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione",,,222032.0,Brc1ccc2c(c1)C(=O)c3ccc4c5ccc6C(=O)c7cc(Br)ccc7c8ccc(c9ccc2c3c49)c5c68,1,1
192,7354,6-hydrazinopurine,,,94902.0,N\N=C\1/N=CNc2nc[nH]c12,2,2
193,7359,xylosyl a,,,,Nc1ncnc2c1ncn2C3OC(CO)C(O)C3O,2,2
194,7364,ddmp,,,,Cc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2,3,2
195,7365,Diazooxonorleucine,,,,NC(CCC(=O)C=[N+]=[N-])C(=O)O,12,4
196,7376,,,,,COc1cc(\C=C\[N+](=O)[O-])ccc1O,1,1
197,7389,phenanthraquinone,,,,O=C1C(=O)c2ccccc2c3ccccc13,1,1
198,7390,,,,,COc1ccc(\C=C\[N+](=O)[O-])cc1OC,1,1
199,7420,5-Bromo-3-cyclohexyl-2-hydroxybenzamide,,,222105.0,NC(=O)c1cc(Br)cc(C2CCCCC2)c1O,1,1
