Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Gene,NSC
"Antihemophilic factor, human recombinant",DB00025,,46506209.0,,MCFD2,
Anakinra,DB00026,,46507944.0,,IL1R1,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR1A,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR1BP,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR2A,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR2B,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR2C,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR3A,
Human immunoglobulin G,DB00028,,46508774.0,,FCGR3B,
Human immunoglobulin G,DB00028,,46508774.0,,C3,
Human immunoglobulin G,DB00028,,46508774.0,,C4A,
Human immunoglobulin G,DB00028,,46508774.0,,C4B,
Human immunoglobulin G,DB00028,,46508774.0,,C4B_2,
Human immunoglobulin G,DB00028,,46508774.0,,C5,
Anistreplase,DB00029,,46504487.0,,PLG,
Anistreplase,DB00029,,46504487.0,,FGA,
Anistreplase,DB00029,,46504487.0,,SERPINE1,
Insulin human,DB00030,,46506231.0,,INSR,
Insulin human,DB00030,,46506231.0,,IGF1R,
Insulin human,DB00030,,46506231.0,,CPE,
Insulin human,DB00030,,46506231.0,,CCN3,
Insulin human,DB00030,,46506231.0,,LRP2,
Insulin human,DB00030,,46506231.0,,IGFBP7,
Tenecteplase,DB00031,,46508657.0,,PLG,
Tenecteplase,DB00031,,46508657.0,,FGA,
Tenecteplase,DB00031,,46508657.0,,PLAUR,
Tenecteplase,DB00031,,46508657.0,,SERPINE1,
Tenecteplase,DB00031,,46508657.0,,SERPINB2,
Tenecteplase,DB00031,,46508657.0,,CLEC3B,
Tenecteplase,DB00031,,46508657.0,,KRT8,
Tenecteplase,DB00031,,46508657.0,,ANXA2,
Tenecteplase,DB00031,,46508657.0,,CALR,
Tenecteplase,DB00031,,46508657.0,,CANX,
Tenecteplase,DB00031,,46508657.0,,LRP1,
Menotropins,DB00032,,46504503.0,,FSHR,
Menotropins,DB00032,,46504503.0,,LHCGR,
Interferon gamma-1b,DB00033,,46507194.0,,IFNGR1,
Interferon gamma-1b,DB00033,,46507194.0,,IFNGR2,
Interferon alfa-2a,DB00034,,46506712.0,,IFNAR1,
Interferon alfa-2a,DB00034,,46506712.0,,IFNAR2,
Desmopressin,DB00035,,,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,AVPR2,
Desmopressin,DB00035,,,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,AVPR1A,
Desmopressin,DB00035,,,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,AVPR1B,
Coagulation factor VIIa Recombinant Human,DB00036,,46507544.0,,F10,
Coagulation factor VIIa Recombinant Human,DB00036,,46507544.0,,F3,
Coagulation factor VIIa Recombinant Human,DB00036,,46507544.0,,TFPI,
Coagulation factor VIIa Recombinant Human,DB00036,,46507544.0,,GGCX,
Coagulation factor VIIa Recombinant Human,DB00036,,46507544.0,,F7,
Oprelvekin,DB00038,,46506470.0,,IL11RA,
Palifermin,DB00039,,46506691.0,,FGFR2,
Palifermin,DB00039,,46506691.0,,FGFR1,
Palifermin,DB00039,,46506691.0,,HSPG2,
Glucagon,DB00040,,46504732.0,,GCGR,
Glucagon,DB00040,,46504732.0,,GLP2R,
Glucagon,DB00040,,46504732.0,,GLP1R,
Aldesleukin,DB00041,,46508054.0,,IL2RB,
Aldesleukin,DB00041,,46508054.0,,IL2RA,
Aldesleukin,DB00041,,46508054.0,,IL2RG,
Botulinum toxin type B,DB00042,,46504750.0,,VAMP2,
Botulinum toxin type B,DB00042,,46504750.0,,VAMP1,
Botulinum toxin type B,DB00042,,46504750.0,,SYT2,
Omalizumab,DB00043,,46507002.0,,FCER1A,
Omalizumab,DB00043,,46507002.0,,MS4A2,
Lutropin alfa,DB00044,,46507624.0,,LHCGR,
Lyme disease vaccine (recombinant OspA),DB00045,,46504444.0,,TLR2,
Insulin lispro,DB00046,,46507498.0,,INSR,
Insulin lispro,DB00046,,46507498.0,,IGF1R,
Insulin glargine,DB00047,,46507981.0,,INSR,
Insulin glargine,DB00047,,46507981.0,,IGF1R,
Collagenase clostridium histolyticum,DB00048,,46506485.0,,COL1A1,
Collagenase clostridium histolyticum,DB00048,,46506485.0,,COL2A1,
Collagenase clostridium histolyticum,DB00048,,46506485.0,,COL3A1,
Cetrorelix,DB00050,25074887.0,46505494.0,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,GNRHR,
Cetrorelix,DB00050,25074887.0,46505494.0,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,LHCGR,
Adalimumab,DB00051,,46504982.0,,TNF,
Somatotropin,DB00052,,46506010.0,,GHR,
Somatotropin,DB00052,,46506010.0,,PRLR,
Abciximab,DB00054,,46505910.0,,ITGB3,
Abciximab,DB00054,,46505910.0,,ITGA2B,
Abciximab,DB00054,,46505910.0,,FCGR2A,
Abciximab,DB00054,,46505910.0,,FCGR2B,
Abciximab,DB00054,,46505910.0,,VTN,
Drotrecogin alfa,DB00055,,46505655.0,,F8,
Drotrecogin alfa,DB00055,,46505655.0,,F5,
Drotrecogin alfa,DB00055,,46505655.0,,SERPINE1,
Drotrecogin alfa,DB00055,,46505655.0,,THBD,
Drotrecogin alfa,DB00055,,46505655.0,,PROS1,
Drotrecogin alfa,DB00055,,46505655.0,,F2,
Drotrecogin alfa,DB00055,,46505655.0,,PF4,
Drotrecogin alfa,DB00055,,46505655.0,,SERPINA5,
Drotrecogin alfa,DB00055,,46505655.0,,SERPINB6,
Drotrecogin alfa,DB00055,,46505655.0,,PROCR,
Gemtuzumab ozogamicin,DB00056,,46505767.0,,CD33,
Gemtuzumab ozogamicin,DB00056,,46505767.0,,FCGR3B,
Gemtuzumab ozogamicin,DB00056,,46505767.0,,FCGR3A,
Gemtuzumab ozogamicin,DB00056,,46505767.0,,FCGR1A,
Alpha-1-proteinase inhibitor,DB00058,,46506364.0,,ELANE,
Interferon beta-1a,DB00060,,46504899.0,,IFNAR1,
Interferon beta-1a,DB00060,,46504899.0,,IFNAR2,
Pegademase,DB00061,,46508490.0,,GRB2,
Eptifibatide,DB00063,,46505459.0,,ITGB3,
Infliximab,DB00065,,46505602.0,,TNF,
Follitropin,DB00066,,46508818.0,,FSHR,
Vasopressin,DB00067,,46505933.0,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,AVPR2,
Vasopressin,DB00067,,46505933.0,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,AVPR1A,
Vasopressin,DB00067,,46505933.0,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,AVPR1B,
Vasopressin,DB00067,,46505933.0,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,OXTR,
Interferon beta-1b,DB00068,,46504458.0,,IFNAR1,
Interferon beta-1b,DB00068,,46504458.0,,IFNAR2,
Interferon alfacon-1,DB00069,,46505985.0,,IFNAR1,
Interferon alfacon-1,DB00069,,46505985.0,,IFNAR2,
Hyaluronidase (ovine),DB00070,,46505087.0,,TGFB1,
Insulin pork,DB00071,,46508925.0,,INSR,
Insulin pork,DB00071,,46508925.0,,IGF1R,
Trastuzumab,DB00072,,46507516.0,,ERBB2,
Rituximab,DB00073,,46505820.0,,MS4A1,
Basiliximab,DB00074,,46505169.0,,IL2RA,
Basiliximab,DB00074,,46505169.0,,IL2RB,
Muromonab,DB00075,,46507837.0,,CD3D,
Muromonab,DB00075,,46507837.0,,CD3E,
Muromonab,DB00075,,46507837.0,,CD3G,
Muromonab,DB00075,,46507837.0,,CD247,
Muromonab,DB00075,,46507837.0,,FCGR3B,
Ibritumomab tiuxetan,DB00078,,46506112.0,,MS4A1,
Tositumomab,DB00081,,46506662.0,,MS4A1,
Tositumomab,DB00081,,46506662.0,,FCGR2B,
Pegvisomant,DB00082,,46505507.0,,GHR,
Botulinum toxin type A,DB00083,,46505347.0,,SNAP25,
Botulinum toxin type A,DB00083,,46505347.0,,RHOB,
Streptokinase,DB00086,,46505625.0,,PLG,
Streptokinase,DB00086,,46505625.0,,F2R,
Alemtuzumab,DB00087,,46507379.0,,CD52,
Alemtuzumab,DB00087,,46507379.0,,FCGR3B,
Alemtuzumab,DB00087,,46507379.0,,FCGR3A,
Alemtuzumab,DB00087,,46507379.0,,FCGR1A,
Alemtuzumab,DB00087,,46507379.0,,FCGR2A,
Alemtuzumab,DB00087,,46507379.0,,FCGR2B,
Alemtuzumab,DB00087,,46507379.0,,FCGR2C,
Capromab pendetide,DB00089,,46506263.0,,FOLH1,
Cyclosporine,DB00091,5284373.0,46508198.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,CAMLG,
Cyclosporine,DB00091,5284373.0,46508198.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PPP3R2,
Cyclosporine,DB00091,5284373.0,46508198.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PPIA,
Cyclosporine,DB00091,5284373.0,46508198.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PPIF,
Alefacept,DB00092,,46505772.0,,CD2,
Alefacept,DB00092,,46505772.0,,FCGR3A,
Alefacept,DB00092,,46505772.0,,FCGR3B,
Felypressin,DB00093,14257662.0,46507522.0,,AVPR1A,
Urofollitropin,DB00094,,46507385.0,,FSHR,
Efalizumab,DB00095,,46505252.0,,ITGAX,
Efalizumab,DB00095,,46505252.0,,ITGAL,
Choriogonadotropin alfa,DB00097,,46506863.0,,LHCGR,
Choriogonadotropin alfa,DB00097,,46506863.0,,FSHR,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,MR1,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,ITGAL,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,CD86,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,FCGR2B,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,CD4,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,ITGB1,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,ITGAV,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,ITGB3,
Antithymocyte immunoglobulin (rabbit),DB00098,,46506920.0,,CD1A,
Filgrastim,DB00099,,46505833.0,,CSF3R,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,F10,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,F11,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,F7,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,F8,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,F2,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,LRP1,
Coagulation Factor IX (Recombinant),DB00100,,46508858.0,,GGCX,
Becaplermin,DB00102,,46508246.0,,PDGFRB,
Becaplermin,DB00102,,46508246.0,,PDGFRA,
Becaplermin,DB00102,,46508246.0,,A2M,
Interferon alfa-2b,DB00105,,46507075.0,,IFNAR2,
Interferon alfa-2b,DB00105,,46507075.0,,IFNAR1,
Abarelix,DB00106,16131215.0,46508237.0,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,GNRHR,
Oxytocin,DB00107,,46506775.0,,OXTR,
Natalizumab,DB00108,,46505849.0,,ITGA4,
Natalizumab,DB00108,,46505849.0,,FCGR3B,
Natalizumab,DB00108,,46505849.0,,ICAM1,
Natalizumab,DB00108,,46505849.0,,FCGR1A,
Enfuvirtide,DB00109,,46506067.0,,gp41,
Palivizumab,DB00110,,46506637.0,,F,
Palivizumab,DB00110,,46506637.0,,FCGR3B,
Palivizumab,DB00110,,46506637.0,,C1R,
Palivizumab,DB00110,,46506637.0,,C1QA,
Palivizumab,DB00110,,46506637.0,,C1QB,
Palivizumab,DB00110,,46506637.0,,C1QC,
Palivizumab,DB00110,,46506637.0,,FCGR3A,
Palivizumab,DB00110,,46506637.0,,FCGR1A,
Palivizumab,DB00110,,46506637.0,,FCGR2B,
Daclizumab,DB00111,,46504469.0,,IL2RA,
Daclizumab,DB00111,,46504469.0,,IL2RB,
Daclizumab,DB00111,,46504469.0,,FCGR3B,
Daclizumab,DB00111,,46504469.0,,C1R,
Daclizumab,DB00111,,46504469.0,,C1QA,
Daclizumab,DB00111,,46504469.0,,C1QB,
Daclizumab,DB00111,,46504469.0,,C1QC,
Daclizumab,DB00111,,46504469.0,,FCGR3A,
Daclizumab,DB00111,,46504469.0,,FCGR1A,
Daclizumab,DB00111,,46504469.0,,FCGR2A,
Daclizumab,DB00111,,46504469.0,,FCGR2B,
Daclizumab,DB00111,,46504469.0,,FCGR2C,
Bevacizumab,DB00112,,46504473.0,,VEGFA,
Bevacizumab,DB00112,,46504473.0,,C1QA,
Bevacizumab,DB00112,,46504473.0,,C1QB,
Bevacizumab,DB00112,,46504473.0,,C1QC,
Bevacizumab,DB00112,,46504473.0,,FCGR3A,
Bevacizumab,DB00112,,46504473.0,,FCGR1A,
Bevacizumab,DB00112,,46504473.0,,FCGR2A,
Bevacizumab,DB00112,,46504473.0,,FCGR2B,
Bevacizumab,DB00112,,46504473.0,,FCGR2C,
Technetium Tc-99m arcitumomab,DB00113,,46507781.0,,CEACAM1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,AGXT2,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,GAD1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,CBS,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,KYNU,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,SHMT1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,NFS1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,GOT1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,OAT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,ODC1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,AADAT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,ABAT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,PNPO,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,SGPL1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,TAT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,KYAT1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,SPTLC2,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,CSAD,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,HDC,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,AZIN2,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,SDS,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,GCAT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,GLDC,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,GPT,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,PSAT1,
Pyridoxal phosphate,DB00114,1051.0,46506428.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,ALAS1,
