,Number of Datasets,Combination,Cell Line Count,Cell Line List
4,2,GDSC1 & CTRP,0,
5,2,GDSC1 & GDSC2,0,
6,2,GDSC2 & CTRP,0,
7,2,NCI & CTRP,3,"MK0752, bafilomycin A1, brefeldin A"
8,2,NCI & GDSC1,31,"Alectinib, Amuvatinib, Apitolisib, Belinostat, Cabozantinib, Capivasertib, Cyclopamine, Enzastaurin, Epothilone B, Fedratinib, Idelalisib, Imatinib, Masitinib, Midostaurin, Omipalisib, Panobinostat, Pazopanib, Pelitinib, Pemetrexed, Phenformin, Pilaralisib, Ponatinib, Pyrimethamine, Quizartinib, Saracatinib, Seliciclib, Sunitinib, Tipifarnib, Tivozanib, Voxtalisib, ZLLNleCHO"
9,2,NCI & GDSC2,31,"Afuresertib, Alpelisib, Bromosporine, Buparlisib, Camptothecin, Cediranib, Cyclophosphamide, Dihydrorotenone, Dinaciclib, Entospletinib, Gallibiscoquinazole, Ibrutinib, Ipatasertib, Irinotecan, Leflunomide, Mitoxantrone, Mycophenolic acid, Nelarabine, Osimertinib, Podophyllotoxin bromide, Ribociclib, Sabutoclax, Sapitinib, Savolitinib, Sinularin, Taselisib, Teniposide, Topotecan, Ulixertinib, Uprosertib, Venetoclax"
10,3,GDSC1 & GDSC2 & CTRP,0,
11,3,NCI & GDSC1 & CTRP,1,PI103
12,3,NCI & GDSC1 & GDSC2,41,"Afatinib, Alisertib, Avagacestat, Axitinib, Bortezomib, Bosutinib, Crizotinib, Dabrafenib, Dactolisib, Daporinad, Dasatinib, Docetaxel, Elesclomol, Entinostat, Foretinib, Fulvestrant, Gefitinib, Lapatinib, Lestaurtinib, Linsitinib, Luminespib, Methotrexate, Motesanib, Navitoclax, Nilotinib, Olaparib, Paclitaxel, Palbociclib, Pictilisib, Piperlongumine, Refametinib, Selumetinib, Talazoparib, Tanespimycin, Tozasertib, Trametinib, Tretinoin, Veliparib, Vinorelbine, Vismodegib, Vorinostat"
13,3,NCI & GDSC2 & CTRP,0,
14,4,ALL,1,MK2206
