,Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Targets Name,Targets
31,Coagulation factor VIIa Recombinant Human,DB00036,,46507544,,"['Coagulation factor X', 'Tissue factor', 'Tissue factor pathway inhibitor', 'Vitamin K-dependent gamma-carboxylase', 'Coagulation factor VII']","['P00742', 'P13726', 'P10646', 'P38435', 'P08709']"
32,Oprelvekin,DB00038,,46506470,,['Interleukin-11 receptor subunit alpha'],['Q14626']
33,Palifermin,DB00039,,46506691,,"['Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 1', 'Basement membrane-specific heparan sulfate proteoglycan core protein']","['P21802', 'P11362', 'P98160']"
34,Glucagon,DB00040,,46504732,,"['Glucagon receptor', 'Glucagon-like peptide 2 receptor', 'Glucagon-like peptide 1 receptor']","['P47871', 'O95838', 'P43220']"
35,Aldesleukin,DB00041,,46508054,,"['Interleukin-2 receptor subunit beta', 'Interleukin-2 receptor subunit alpha', 'Cytokine receptor common subunit gamma']","['P14784', 'P01589', 'P31785']"
36,Botulinum toxin type B,DB00042,,46504750,,"['Vesicle-associated membrane protein 2', 'Vesicle-associated membrane protein 1', 'Synaptotagmin-2']","['P63027', 'P23763', 'Q8N9I0']"
37,Omalizumab,DB00043,,46507002,,"['High affinity immunoglobulin epsilon receptor subunit alpha', 'High affinity immunoglobulin epsilon receptor subunit beta']","['P12319', 'Q01362']"
38,Lutropin alfa,DB00044,,46507624,,['Lutropin-choriogonadotropic hormone receptor'],['P22888']
39,Lyme disease vaccine (recombinant OspA),DB00045,,46504444,,['Toll-like receptor 2'],['O60603']
40,Insulin lispro,DB00046,,46507498,,"['Insulin receptor', 'Insulin-like growth factor 1 receptor']","['P06213', 'P08069']"
41,Insulin glargine,DB00047,,46507981,,"['Insulin receptor', 'Insulin-like growth factor 1 receptor']","['P06213', 'P08069']"
42,Collagenase clostridium histolyticum,DB00048,,46506485,,"['Collagen alpha-1(I) chain', 'Collagen alpha-1(II) chain', 'Collagen alpha-1(III) chain']","['P02452', 'P02458', 'P02461']"
43,Cetrorelix,DB00050,25074887,46505494,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,"['Gonadotropin-releasing hormone receptor', 'Lutropin-choriogonadotropic hormone receptor']","['P30968', 'P22888']"
44,Adalimumab,DB00051,,46504982,,['Tumor necrosis factor'],['P01375']
45,Somatotropin,DB00052,,46506010,,"['Growth hormone receptor', 'Prolactin receptor']","['P10912', 'P16471']"
46,Abciximab,DB00054,,46505910,,"['Integrin beta-3', 'Integrin alpha-IIb', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Vitronectin']","['P05106', 'P08514', 'P12318', 'P31994', 'P04004']"
47,Drotrecogin alfa,DB00055,,46505655,,"['Coagulation factor VIII', 'Coagulation factor V', 'Plasminogen activator inhibitor 1', 'Thrombomodulin', 'Vitamin K-dependent protein S', 'Prothrombin', 'Platelet factor 4', 'Plasma serine protease inhibitor', 'Serpin B6', 'Endothelial protein C receptor']","['P00451', 'P12259', 'P05121', 'P07204', 'P07225', 'P00734', 'P02776', 'P05154', 'P35237', 'Q9UNN8']"
48,Gemtuzumab ozogamicin,DB00056,,46505767,,"['Myeloid cell surface antigen CD33', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I']","['P20138', 'O75015', 'P08637', 'P12314']"
49,Alpha-1-proteinase inhibitor,DB00058,,46506364,,['Neutrophil elastase'],['P08246']
50,Interferon beta-1a,DB00060,,46504899,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
51,Pegademase,DB00061,,46508490,,"['Adenosine', 'Growth factor receptor-bound protein 2']",['P62993']
52,Eptifibatide,DB00063,,46505459,,"['Integrin beta-3', 'Voltage-dependent N-type calcium channel']","['P05106', 'A0A024R8I1']"
53,Infliximab,DB00065,,46505602,,['Tumor necrosis factor'],['P01375']
54,Follitropin,DB00066,,46508818,,['Follicle-stimulating hormone receptor'],['P23945']
55,Vasopressin,DB00067,,46505933,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,"['Vasopressin V2 receptor', 'Vasopressin V1a receptor', 'Vasopressin V1b receptor', 'Oxytocin receptor']","['P30518', 'P37288', 'P47901', 'P30559']"
56,Interferon beta-1b,DB00068,,46504458,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
57,Interferon alfacon-1,DB00069,,46505985,,"['Interferon alpha/beta receptor 1', 'Interferon alpha/beta receptor 2']","['P17181', 'P48551']"
58,Hyaluronidase (ovine),DB00070,,46505087,,"['Hyaluronan', 'Transforming growth factor beta-1']",['P01137']
59,Insulin pork,DB00071,,46508925,,"['Insulin receptor', 'Insulin-like growth factor 1 receptor']","['P06213', 'P08069']"
60,Trastuzumab,DB00072,,46507516,,['Receptor tyrosine-protein kinase erbB-2'],['P04626']
61,Rituximab,DB00073,,46505820,,['B-lymphocyte antigen CD20'],['P11836']
62,Basiliximab,DB00074,,46505169,,"['Interleukin-2 receptor subunit alpha', 'Interleukin-2 receptor subunit beta']","['P01589', 'P14784']"
63,Muromonab,DB00075,,46507837,,"['T-cell surface glycoprotein CD3 delta chain', 'T-cell surface glycoprotein CD3 epsilon chain', 'T-cell surface glycoprotein CD3 gamma chain', 'T-cell surface glycoprotein CD3 zeta chain', 'Low affinity immunoglobulin gamma Fc region receptor III-B']","['P04234', 'P07766', 'P09693', 'P20963', 'O75015']"
64,Ibritumomab tiuxetan,DB00078,,46506112,,['B-lymphocyte antigen CD20'],['P11836']
65,Tositumomab,DB00081,,46506662,,"['B-lymphocyte antigen CD20', 'Low affinity immunoglobulin gamma Fc region receptor II-b']","['P11836', 'P31994']"
66,Pegvisomant,DB00082,,46505507,,['Growth hormone receptor'],['P10912']
67,Botulinum toxin type A,DB00083,,46505347,,"['Synaptosomal-associated protein 25', 'Rho-related GTP-binding protein RhoB']","['P60880', 'P62745']"
68,Streptokinase,DB00086,,46505625,,"['Plasminogen', 'Proteinase-activated receptor 1']","['P00747', 'P25116']"
69,Alemtuzumab,DB00087,,46507379,,"['CAMPATH-1 antigen', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Low affinity immunoglobulin gamma Fc region receptor II-c']","['P31358', 'O75015', 'P08637', 'P12314', 'P12318', 'P31994', 'P31995']"
70,Capromab pendetide,DB00089,,46506263,,['Glutamate carboxypeptidase 2'],['Q04609']
71,Cyclosporine,DB00091,5284373,46508198,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"['Calcium signal-modulating cyclophilin ligand', 'Calcineurin subunit B type 2', 'Peptidyl-prolyl cis-trans isomerase A', 'Peptidyl-prolyl cis-trans isomerase F, mitochondrial']","['P49069', 'Q96LZ3', 'P62937', 'P30405']"
72,Alefacept,DB00092,,46505772,,"['T-cell surface antigen CD2', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'Low affinity immunoglobulin gamma Fc region receptor III-B']","['P06729', 'P08637', 'O75015']"
73,Felypressin,DB00093,14257662,46507522,,['Vasopressin V1a receptor'],['P37288']
74,Urofollitropin,DB00094,,46507385,,['Follicle-stimulating hormone receptor'],['P23945']
75,Efalizumab,DB00095,,46505252,,"['Integrin alpha-X', 'Integrin alpha-L']","['P20702', 'P20701']"
76,Choriogonadotropin alfa,DB00097,,46506863,,"['Lutropin-choriogonadotropic hormone receptor', 'Follicle-stimulating hormone receptor']","['P22888', 'P23945']"
77,Antithymocyte immunoglobulin (rabbit),DB00098,,46506920,,"['Major histocompatibility complex class I-related gene protein', 'Integrin alpha-L', 'T-lymphocyte activation antigen CD86', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'T-cell surface glycoprotein CD4', 'Integrin beta-1', 'Integrin alpha-V', 'Integrin beta-3', 'T-cell surface glycoprotein CD1a']","['Q95460', 'P20701', 'P42081', 'P31994', 'P01730', 'P05556', 'P06756', 'P05106', 'P06126']"
78,Filgrastim,DB00099,,46505833,,['Granulocyte colony-stimulating factor receptor'],['Q99062']
79,Coagulation Factor IX (Recombinant),DB00100,,46508858,,"['Coagulation factor X', 'Coagulation factor XI', 'Coagulation factor VII', 'Coagulation factor VIII', 'Prothrombin', 'Prolow-density lipoprotein receptor-related protein 1', 'Vitamin K-dependent gamma-carboxylase']","['P00742', 'P03951', 'P08709', 'P00451', 'P00734', 'Q07954', 'P38435']"
80,Becaplermin,DB00102,,46508246,,"['Platelet-derived growth factor receptor beta', 'Platelet-derived growth factor receptor alpha', 'Alpha-2-macroglobulin']","['P09619', 'P16234', 'P01023']"
81,Interferon alfa-2b,DB00105,,46507075,,"['Interferon alpha/beta receptor 2', 'Interferon alpha/beta receptor 1']","['P48551', 'P17181']"
82,Abarelix,DB00106,16131215,46508237,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,['Gonadotropin-releasing hormone receptor'],['P30968']
83,Oxytocin,DB00107,,46506775,,['Oxytocin receptor'],['P30559']
84,Natalizumab,DB00108,,46505849,,"['Integrin alpha-4', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Intercellular adhesion molecule 1', 'High affinity immunoglobulin gamma Fc receptor I']","['P13612', 'O75015', 'P05362', 'P12314']"
85,Enfuvirtide,DB00109,,46506067,,['Envelope glycoprotein'],['Q53I07']
86,Palivizumab,DB00110,,46506637,,"['Fusion glycoprotein F0', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Complement C1r subcomponent', 'Complement C1q subcomponent subunit A', 'Complement C1q subcomponent subunit B', 'Complement C1q subcomponent subunit C', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-b']","['P13843', 'O75015', 'P00736', 'P02745', 'P02746', 'P02747', 'P08637', 'P12314', 'P31994']"
87,Daclizumab,DB00111,,46504469,,"['Interleukin-2 receptor subunit alpha', 'Interleukin-2 receptor subunit beta', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'Complement C1r subcomponent', 'Complement C1q subcomponent subunit A', 'Complement C1q subcomponent subunit B', 'Complement C1q subcomponent subunit C', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Low affinity immunoglobulin gamma Fc region receptor II-c']","['P01589', 'P14784', 'O75015', 'P00736', 'P02745', 'P02746', 'P02747', 'P08637', 'P12314', 'P12318', 'P31994', 'P31995']"
88,Bevacizumab,DB00112,,46504473,,"['Vascular endothelial growth factor A', 'Complement C1q subcomponent subunit A', 'Complement C1q subcomponent subunit B', 'Complement C1q subcomponent subunit C', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'High affinity immunoglobulin gamma Fc receptor I', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Low affinity immunoglobulin gamma Fc region receptor II-c']","['P15692', 'P02745', 'P02746', 'P02747', 'P08637', 'P12314', 'P12318', 'P31994', 'P31995']"
89,Technetium Tc-99m arcitumomab,DB00113,,46507781,,['Carcinoembryonic antigen-related cell adhesion molecule 1'],['P13688']
90,Pyridoxal phosphate,DB00114,1051,46506428,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,"['Alanine--glyoxylate aminotransferase 2, mitochondrial', 'Glutamate decarboxylase 1', 'Cystathionine beta-synthase', 'Kynureninase', 'Serine hydroxymethyltransferase, cytosolic', 'Cysteine desulfurase, mitochondrial', 'Aspartate aminotransferase, cytoplasmic', 'Ornithine aminotransferase, mitochondrial', 'Ornithine decarboxylase', 'Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial', '4-aminobutyrate aminotransferase, mitochondrial', ""Pyridoxine-5'-phosphate oxidase"", 'Sphingosine-1-phosphate lyase 1', 'Tyrosine aminotransferase', 'Kynurenine--oxoglutarate transaminase 1', 'Glycogen phosphorylase, liver form', 'Serine palmitoyltransferase 2', 'Cysteine sulfinic acid decarboxylase', 'Histidine decarboxylase', 'Arginine decarboxylase', 'L-serine dehydratase/L-threonine deaminase', '2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial', 'Glycine dehydrogenase [decarboxylating], mitochondrial', 'Alanine aminotransferase 1', 'Phosphoserine aminotransferase', '5-aminolevulinate synthase, nonspecific, mitochondrial', 'Serine--pyruvate aminotransferase', 'Pyridoxal phosphate phosphatase', 'Serine palmitoyltransferase 1', 'Cystathionine gamma-lyase', 'Branched-chain-amino-acid aminotransferase, cytosolic', 'Branched-chain-amino-acid aminotransferase, mitochondrial', 'Proline synthase co-transcribed bacterial homolog protein', 'Aspartate aminotransferase, mitochondrial', 'Glycogen phosphorylase, brain form', 'Glycogen phosphorylase, muscle form', 'Aromatic-L-amino-acid decarboxylase', 'Aspartate aminotransferase', 'Serine hydroxymethyltransferase', 'Selenocysteine lyase variant', 'Phosphorylase', '5-aminolevulinate synthase', 'Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)', 'DDC protein', 'Kynurenine--oxoglutarate transaminase 3', 'Glutamate decarboxylase-like protein 1', 'Selenocysteine lyase', 'Immunoglobulin superfamily member 10', '5-phosphohydroxy-L-lysine phospho-lyase', 'Glutamate decarboxylase 1 (Brain, 67kDa)', 'Serine hydroxymethyltransferase, mitochondrial', '5-aminolevulinate synthase, erythroid-specific, mitochondrial', 'Alanine aminotransferase 2', 'Molybdenum cofactor sulfurase', 'Serine dehydratase-like', 'Hepatic peroxysomal alanine:glyoxylate aminotransferase', 'Serine racemase', 'O-phosphoseryl-tRNA(Sec) selenium transferase', 'Serine palmitoyltransferase 3', 'Glutamic acid decarboxylase', 'Alanine-glyoxylate aminotransferase homolog']","['Q9BYV1', 'Q99259', 'P35520', 'Q16719', 'P34896', 'Q9Y697', 'P17174', 'P04181', 'P11926', 'Q8N5Z0', 'P80404', 'Q9NVS9', 'O95470', 'P17735', 'Q16773', 'O15270', 'Q9Y600', 'P19113', 'Q96A70', 'P20132', 'O75600', 'P23378', 'P24298', 'Q9Y617', 'P13196', 'P21549', 'Q96GD0', 'O15269', 'P32929', 'P54687', 'O15382', 'O94903', 'P00505', 'P11216', 'P11217', 'P20711', 'Q2TU84', 'Q53ET4', 'Q59FK2', 'Q59GM9', 'Q5JAM2', 'Q5VZ30', 'Q6IBS8', 'Q6YP21', 'Q6ZQY3', 'Q96I15', 'Q6WRI0', 'Q8IUZ5', 'Q8IVA8', 'P34897', 'P22557', 'Q8TD30', 'Q96EN8', 'Q96GA7', 'Q9BXA1', 'Q9GZT4', 'Q9HD40', 'Q9NUV7', 'Q9UGI5', 'Q9UJX1']"
91,Cyanocobalamin,DB00115,70678590,46509031,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,"['Methionine synthase', 'Methylmalonyl-CoA mutase, mitochondrial', 'Methionine synthase reductase', 'Methylmalonic aciduria type A protein, mitochondrial', 'Methylmalonic aciduria and homocystinuria type C protein', 'Methylenetetrahydrofolate reductase']","['Q99707', 'P22033', 'Q9UBK8', 'Q8IVH4', 'Q9Y4U1', 'P42898']"
92,Tetrahydrofolic acid,DB00116,91443,46504756,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,"['C-1-tetrahydrofolate synthase, cytoplasmic', 'Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial', 'Aminomethyltransferase, mitochondrial', 'Cytosolic 10-formyltetrahydrofolate dehydrogenase', 'Methionine synthase', 'Formimidoyltransferase-cyclodeaminase', 'Bifunctional purine biosynthesis protein PURH', 'Serine hydroxymethyltransferase, cytosolic', 'Serine hydroxymethyltransferase, mitochondrial', 'Methylenetetrahydrofolate reductase', 'Serine hydroxymethyltransferase', 'Methionyl-tRNA formyltransferase, mitochondrial']","['P11586', 'P13995', 'P48728', 'O75891', 'Q99707', 'O95954', 'P31939', 'P34896', 'P34897', 'P42898', 'Q53ET4', 'Q96DP5']"
93,Histidine,DB00117,6274,46507001,N[C@@H](CC1=CNC=N1)C(O)=O,"['Histidine decarboxylase', 'Histidine--tRNA ligase, cytoplasmic', 'Sodium-coupled neutral amino acid transporter 3', 'Histidine ammonia-lyase']","['P19113', 'P12081', 'Q99624', 'P42357']"
