Drug,Cell
Rapamycin,SK-LU-1
Tanespimycin,UACC-893
Uprosertib_1553,HCC1569
Vinorelbine,NB12
MG-132,TC-YIK
JQ1,RPMI-8402
SN-38,HSC-4
Tanespimycin,LU-65
Docetaxel_1007,KY821
MG-132,EVSA-T
Sepantronium bromide,RCC-JW
Camptothecin,MDST8
Pevonedistat,OE21
Dinaciclib,U-2-OS
Schweinfurthin A,ALL-PO
Docetaxel_1819,SUP-T1
Dinaciclib,ONS-76
Vinorelbine,NCI-H2141
Topotecan,KELLY
Telomerase Inhibitor IX,A388
SN-38,KS-1
Dactinomycin_1911,KMRC-1
Romidepsin,SK-N-AS
Trametinib,OPM-2
Camptothecin,BFTC-905
Docetaxel_1007,HA7-RCC
Camptothecin,Ca-Ski
SN-38,U-698-M
Irinotecan,JVM-3
MG-132,SK-MEL-30
Selumetinib_1062,CHP-212
Vinorelbine,SNU-175
Dactinomycin_1911,NCI-H2110
Rapamycin,SK-MEL-30
Rapamycin,A172
Dinaciclib,A388
Sepantronium bromide,Detroit562
Dactinomycin_1911,HT-3
Dinaciclib,NCI-H1793
Sorafenib,HSC-39
Trametinib,SK-MEL-30
Dactolisib,DOHH-2
OTX015,MOLT-16
Docetaxel_1819,MKN1
Sepantronium bromide,CRO-AP2
BI-2536,EC-GI-10
AZD5991,SK-MEL-2
Tanespimycin,KYSE-410
Dinaciclib,A172
Camptothecin,VA-ES-BJ
Docetaxel_1007,EMC-BAC-2
PD0325901,CAL-85-1
AZD8055,L-363
Camptothecin,GDM-1
Uprosertib_1553,NU-DUL-1
Vinorelbine,EVSA-T
Cytarabine,A549
Camptothecin,LC-1-sq
Epirubicin,RH-41
ABT737,NCI-H524
PD0325901,SK-N-FI
Rapamycin,COLO-824
MG-132,RH-1
BI-2536,SUP-B8
Daporinad,GI-1
AZD8055,MG-63
Romidepsin,HLE
AZD5991,UACC-62
Paclitaxel,SK-CO-1
Epirubicin,Hs-683
SCH772984,JURL-MK1
PD0325901,HT-144
MG-132,SK-MEL-3
Docetaxel_1007,SK-MEL-3
Epirubicin,SK-MEL-2
Wee1 Inhibitor,L-428
Tanespimycin,HCT-116
Trametinib,KU812
Epirubicin,NCI-H1666
Romidepsin,TE-12
Romidepsin,SUP-T1
Romidepsin,MDA-MB-415
JQ1,GI-1
Vinorelbine,NCI-H1915
Sepantronium bromide,HCC2218
Dactinomycin_1911,HLE
Dinaciclib,TGBC24TKB
ABT737,SK-MM-2
Docetaxel_1007,ASH-3
Daporinad,ES8
Dactinomycin_1911,BPH-1
Docetaxel_1007,HT-3
Docetaxel_1007,MSTO-211H
Paclitaxel,NB1
Bleomycin,IMR-5
Schweinfurthin A,NCI-H211
Docetaxel_1819,BFTC-905
Epirubicin,DMS-114
Epirubicin,HCC2998
Docetaxel_1007,C3A
Dinaciclib,PWR-1E
Vinorelbine,TC-YIK
Irinotecan,EW-22
Daporinad,MDA-MB-468
Dactinomycin_1911,NCI-H1793
Schweinfurthin A,SK-MM-2
Vinorelbine,KMS-11
Docetaxel_1819,RCC-JW
Epirubicin,NU-DUL-1
Schweinfurthin A,OCI-AML5
Docetaxel_1007,NCI-H1105
Docetaxel_1007,MFM-223
MG-132,TE-441-T
BI-2536,EW-22
Dihydrorotenone,WIL2-NS
Dactolisib,KNS-42
Epirubicin,NCI-H929
Romidepsin,LN-405
Paclitaxel,COLO-824
Dinaciclib,SCC-15
Daporinad,MZ7-mel
Docetaxel_1007,UM-UC-3
ABT737,MS-1
Dinaciclib,ES-2
Dihydrorotenone,NCI-H1793
Dinaciclib,NCI-H524
MG-132,VCaP
AZD7762,MOLM-16
AZD7762,T-T
BI-2536,COR-L311
Dactinomycin_1911,DoTc2-4510
Dactolisib,EN
Trametinib,HCT-116
Mycophenolic acid,KU812
Paclitaxel,BB65-RCC
Vinorelbine,A549
Telomerase Inhibitor IX,CS1
Vinorelbine,LU-65
Sepantronium bromide,SK-MEL-1
ABT737,RS4-11
Docetaxel_1819,SISO
AZD8055,NALM-6
PAK_5339,SK-N-DZ
Vinorelbine,MZ7-mel
SN-38,MDST8
Camptothecin,PC-3_[JPC-3]
Dactinomycin_1911,NCI-H2196
Dactolisib,RS4-11
Topotecan,PWR-1E
Gemcitabine,PWR-1E
Daporinad,EW-22
Pevonedistat,COR-L32
Paclitaxel,SW156
Docetaxel_1819,Calu-6
Sepantronium bromide,PWR-1E
BI-2536,5637
Sepantronium bromide,DOHH-2
Dinaciclib,PEO1
JQ1,NU-DUL-1
Docetaxel_1007,DB
Trametinib,ES-2
Dactinomycin_1911,LB373-MEL-D
SN-38,SK-MEL-5
Docetaxel_1007,NCI-H647
Wee1 Inhibitor,RCH-ACV
Vinorelbine,NCI-H524
Rapamycin,Ca-Ski
AZD5991,OCUB-M
Camptothecin,COR-L88
PD0325901,NCI-H716
Vinorelbine,NCI-H322M
Romidepsin,NCI-H211
AZD8055,A101D
Sepantronium bromide,UACC-62
MG-132,D-566MG
Romidepsin,DMS-114
Rapamycin,AU565
WEHI-539,COR-L311
Dactolisib,GAK
Topotecan,TUR
SN-38,PE-CA-PJ15
Romidepsin,COLO-824
MG-132,TK10
Dactinomycin_1911,DAN-G
Daporinad,JHU-022
Dactinomycin_1911,GP5d
Mycophenolic acid,BE2-M17
Dihydrorotenone,SW620
Telomerase Inhibitor IX,BE-13
Dactinomycin_1911,CAL-85-1
Sepantronium bromide,PANC-08-13
Sepantronium bromide,RKO
Dinaciclib,NB10
Docetaxel_1007,MIA-PaCa-2
Paclitaxel,HCC-44
Daporinad,SW156
Vinorelbine,OV-90
Gemcitabine,WM278
Epirubicin,U-2-OS
Rapamycin,LS-123
MG-132,KMRC-1
Dactinomycin_1911,A253
Paclitaxel,CHP-134
Dactolisib,NCI-H2196
SN-38,CAL-33
BI-2536,SBC-5
PD0325901,JURL-MK1
SN-38,SAS
Sepantronium bromide,BT-483
Paclitaxel,MIA-PaCa-2
Tanespimycin,TUR
Camptothecin,D-423MG
Tanespimycin,SW620
Docetaxel_1819,U251
MG-132,MG-63
Sepantronium bromide,OACp4C
Sepantronium bromide,COR-L321
AZD7762,IMR-5
Pevonedistat,NCI-H929
Tanespimycin,UACC-62
Docetaxel_1819,NCI-H2228
Tanespimycin,ALL-PO
Cytarabine,NB69
AZD8055,SK-MG-1
Docetaxel_1007,OCI-AML3
Mycophenolic acid,DG-75
AZD8055,JVM-3
MK-8776,SKM-1
Sepantronium bromide,5637
Dactolisib,PANC-10-05
Gemcitabine,JURL-MK1
Cisplatin,SK-CO-1
Camptothecin,HDLM-2
Telomerase Inhibitor IX,NB69
Sepantronium bromide,HCC-44
BI-2536,KYSE-450
Dinaciclib,NCI-H510A
Dinaciclib,MSTO-211H
Epirubicin,P31-FUJ
Romidepsin,NCI-H1666
Docetaxel_1819,A172
Docetaxel_1007,NB12
Camptothecin,RS4-11
Rapamycin,MDA-MB-361
Schweinfurthin A,IST-SL2
SN-38,NCI-H2110
AZD7762,ST486
Tanespimycin,CRO-AP2
MG-132,NCI-H2030
Trametinib,EKVX
Tanespimycin,Detroit562
Paclitaxel,HARA
Gemcitabine,EW-11
Vinorelbine,EW-22
Sepantronium bromide,PSN1
BI-2536,SW620
PD0325901,A549
Rapamycin,HAL-01
PD0325901,AM-38
Tanespimycin,CAL-85-1
Dinaciclib,DAN-G
Pevonedistat,PL-21
Dactinomycin_1911,Hs-683
Rapamycin,NCC021
AZD7762,TUR
Tanespimycin,WIL2-NS
Trametinib,BV-173
Paclitaxel,RERF-LC-Sq1
Dinaciclib,BFTC-905
JQ1,KMS-11
Docetaxel_1007,KYSE-450
BI-2536,PCI-4B
Camptothecin,CHP-212
SN-38,COR-L279
Dactinomycin_1911,FTC-133
Paclitaxel,TE-10
Tanespimycin,NCI-H2030
SN-38,OCI-AML3
Dinaciclib,RKO
Docetaxel_1007,GI-1
Cytarabine,A3-KAW
Schweinfurthin A,ES4
Tanespimycin,GI-1
Camptothecin,SK-MG-1
MG-132,NB1
Rapamycin,HDQ-P1
Dactinomycin_1911,G-361
Dactinomycin_1911,PL4
Dactolisib,RT4
Paclitaxel,GOTO
Dactinomycin_1911,SCC-4
Gemcitabine,AU565
Docetaxel_1819,D-283MED
Paclitaxel,NCI-H929
Dihydrorotenone,KARPAS-45
Vinorelbine,HCC2218
Vinorelbine,SiHa
Paclitaxel,VAL
PD0325901,NB5
Dactolisib,MG-63
Dinaciclib,HARA
Vinorelbine,HCC1428
Vinorelbine,SK-MEL-28
SCH772984,MEL-HO
Sepantronium bromide,SW626
Docetaxel_1819,DoTc2-4510
SN-38,COR-L321
SN-38,SU-DHL-10
Rapamycin,EVSA-T
Schweinfurthin A,EW-11
Romidepsin,OVCA420
Sepantronium bromide,LC-1-sq
Vinorelbine,COR-L32
MG-132,HPAC
Dactolisib,AMO-1
SN-38,SK-MEL-28
Romidepsin,DAN-G
Selumetinib_1736,LS-411N
JQ1,SU-DHL-10
Epirubicin,Detroit562
BI-2536,NCI-H720
SN-38,GB-1
Dinaciclib,NCI-H2228
OTX015,OCI-AML3
Romidepsin,KYSE-50
OTX015,NU-DUL-1
Tanespimycin,SUP-T1
MG-132,DAN-G
Daporinad,PL-21
AZD5991,HDLM-2
Paclitaxel,PCI-30
Vinorelbine,HC-1
SN-38,SK-N-DZ
Cytarabine,ES1
Talazoparib,SU-DHL-5
Wee1 Inhibitor,Jurkat
Topotecan,KYSE-510
Epirubicin,MZ7-mel
SN-38,OCI-AML5
Irinotecan,NU-DUL-1
Romidepsin,TGBC24TKB
Irinotecan,MOLT-16
Topotecan,OE33
Rapamycin,MG-63
Telomerase Inhibitor IX,NALM-6
AZD8055,RERF-LC-Sq1
AZD8055,MFE-280
Paclitaxel,EFO-21
AZD8055,EW-1
Telomerase Inhibitor IX,Farage
Dinaciclib,COR-L311
Gemcitabine,BHY
AZD7762,SW982
AZD7762,ES-2
Dinaciclib,no-11
PD0325901,OACp4C
BI-2536,BE-13
BMS-536924,HDLM-2
Daporinad,P31-FUJ
SN-38,SBC-5
OTX015,ST486
Docetaxel_1007,NCI-H2009
Sepantronium bromide,HCC-366
Camptothecin,MSTO-211H
Dihydrorotenone,ME-180
Vinorelbine,SNB75
Camptothecin,SUIT-2
Docetaxel_1007,PCI-4B
OTX015,KMS-11
Romidepsin,DB
SN-38,TE-441-T
Paclitaxel,HDLM-2
BI-2536,NCI-H1944
Vinorelbine,SUP-B8
Paclitaxel,BE-13
Epirubicin,LAN-6
Selumetinib_1062,WM278
MG-132,WM278
SN-38,TE-10
AZD6738,HSC-39
PRT062607,RCH-ACV
Selumetinib_1062,MZ7-mel
Gemcitabine,NOMO-1
Paclitaxel,PC-3_[JPC-3]
Sepantronium bromide,DMS-53
Paclitaxel,MOLT-4
Sepantronium bromide,SCC90
BI-2536,PE-CA-PJ15
Dihydrorotenone,MFE-280
Paclitaxel,HOS
Telomerase Inhibitor IX,SU-DHL-10
Schweinfurthin A,L-363
MG-132,TOV-112D
Sepantronium bromide,TE-441-T
PD0325901,LAN-6
Paclitaxel,MDA-MB-361
MG-132,LS-411N
AZD8055,ARH-77
Dactolisib,CAL-85-1
Dactolisib,MOLP-8
SN-38,A388
AZD7762,KON
Sepantronium bromide,KYAE-1
BI-2536,SUP-T1
Epirubicin,OCI-LY-19
Telomerase Inhibitor IX,CAL-72
Camptothecin,SF295
Gemcitabine,D-283MED
AZD3759,PCI-6A
Paclitaxel,5637
Epirubicin,SK-LMS-1
BI-2536,JM1
Docetaxel_1007,SF268
PD0325901,OCI-AML3
AZD7762,SW1990
Topotecan,TC-71
Tanespimycin,HC-1
Paclitaxel,NALM-6
Dactolisib,HOS
Daporinad,L-363
MG-132,NCI-H322M
Docetaxel_1007,HDQ-P1
Sepantronium bromide,769-P
Cytarabine,KELLY
Docetaxel_1007,OCI-AML5
Camptothecin,CPC-N
BI-2536,ES8
Docetaxel_1007,PCI-6A
Gemcitabine,AM-38
Sepantronium bromide,SU-DHL-5
Paclitaxel,COR-L32
Trametinib,IST-MEL1
BI-2536,RPMI-8866
Epirubicin,NOS-1
Schweinfurthin A,ES7
Daporinad,RKO
Dactinomycin_1911,VCaP
Telomerase Inhibitor IX,NU-DUL-1
Dabrafenib,UACC-62
Gemcitabine,MDA-MB-468
Sepantronium bromide,KALS-1
Paclitaxel,VA-ES-BJ
Rapamycin,HT-3
MG-132,DoTc2-4510
Docetaxel_1007,JHH-1
AZD7762,KYSE-220
Rapamycin,OACp4C
Romidepsin,JHU-022
Dactinomycin_1911,NCI-H322M
Epirubicin,EMC-BAC-2
Dinaciclib,NCI-H2029
Dinaciclib,SK-MEL-28
Tanespimycin,COLO-668
Pevonedistat,A101D
Trametinib,NCI-H322M
JQ1,NCI-H929
Topotecan,SK-N-AS
Dactinomycin_1911,COR-L311
Vinorelbine,RT4
Docetaxel_1819,IMR-5
Gemcitabine,TGBC11TKB
Telomerase Inhibitor IX,PSN1
Paclitaxel,PANC-04-03
Romidepsin,SCC-4
AZD6738,NCI-H322M
Paclitaxel,D-263MG
PD0325901,Calu-6
Dactinomycin_1911,LN-405
AZD6738,A3-KAW
Dactinomycin_1911,ST486
Paclitaxel,HLE
Dactinomycin_1911,RPMI-8226
MG-132,A3-KAW
Vinorelbine,CL-11
Paclitaxel,DG-75
ZM447439,LC4-1
Vinorelbine,RH-1
Paclitaxel,PWR-1E
Docetaxel_1007,DU-145
Trametinib,SK-LMS-1
Rapamycin,JHOS-4
Gemcitabine,RCC-JW
BI-2536,CRO-AP2
Telomerase Inhibitor IX,NKM-1
Lapatinib,HCC2218
Tanespimycin,HGC-27
MG-132,RL95-2
AZD7762,PCI-6A
Camptothecin,BE2-M17
Schweinfurthin A,IMR-5
Sepantronium bromide,SK-LMS-1
Cytarabine,MHH-CALL-2
Dactinomycin_1911,NCI-H716
Daporinad,KS-1
Vinorelbine,SU-DHL-1
Dactinomycin_1911,SK-N-DZ
SN-38,SW1990
ABT737,DMS-53
MK-8776,KELLY
Trametinib,SK-CO-1
Gemcitabine,MOLT-16
Daporinad,SF126
Vinorelbine,EW-11
Gemcitabine,JM1
Docetaxel_1007,COR-L279
Rapamycin,SKG-IIIa
Gemcitabine,HOS
Dactolisib,TGW
Camptothecin,MN-60
MG-132,BFTC-905
Dactolisib,MDA-MB-231
Entinostat,EVSA-T
Docetaxel_1007,KGN
Daporinad,NCI-H510A
Camptothecin,PE-CA-PJ15
Pevonedistat,TGBC11TKB
Pevonedistat,OPM-2
BI-2536,JVM-3
Romidepsin,WM278
Docetaxel_1819,Ramos-2G6-4C10
Dactolisib,CHP-134
Docetaxel_1007,TUR
MG-132,PCI-4B
Rapamycin,COR-L32
Rapamycin,JiyoyeP-2003
Sepantronium bromide,TE-10
Dactinomycin_1911,PCI-4B
Vinorelbine,NCI-H1993
MG-132,OE33
Docetaxel_1007,BL-41
Paclitaxel,PCI-4B
Mycophenolic acid,ARH-77
Dactolisib,COLO-668
AZD8055,SNU-407
ABT737,SIMA
Sepantronium bromide,HSC-4
Dihydrorotenone,NCI-H2029
Docetaxel_1007,GOTO
Epirubicin,COLO-668
Dactolisib,Jurkat
Paclitaxel,EW-11
AZD5991,DB
Dactolisib,ST486
Dinaciclib,RPMI-8866
Docetaxel_1007,HARA
Uprosertib_1553,OCUB-M
Docetaxel_1007,U-2-OS
Telomerase Inhibitor IX,IHH-4
SN-38,BHT-101
Buparlisib,HCC2157
BI-2536,OV-7
Pevonedistat,COLO-684
Dinaciclib,MOLP-8
Daporinad,ME-1
Topotecan,SISO
Romidepsin,A3-KAW
Schweinfurthin A,MS-1
Daporinad,D-566MG
AZD7762,NOMO-1
Epirubicin,MOLT-4
Camptothecin,NCI-H748
Epirubicin,LS-123
Romidepsin,MFE-280
Dinaciclib,AM-38
Docetaxel_1007,MOLT-4
Vinorelbine,HOS
AZD8055,U-87-MG
OTX015,IST-SL2
Sepantronium bromide,SF268
Rapamycin,DB
Epirubicin,U-698-M
Gemcitabine,COR-L32
Dactolisib,OVCA420
Cytarabine,JVM-3
SN-38,ES7
Tanespimycin,LS-513
Tanespimycin,HCC2218
Epirubicin,Ramos-2G6-4C10
Romidepsin,EW-1
Afatinib,HO-1-u-1
VE821,JURL-MK1
Dactolisib,NCI-H524
BI-2536,U-698-M
Vinorelbine,NCI-H2030
Sepantronium bromide,HSC-39
Talazoparib,A3-KAW
Schweinfurthin A,RPMI-8866
Daporinad,SK-MM-2
Tanespimycin,TE-441-T
Telomerase Inhibitor IX,SK-N-DZ
AZD8055,CAL-72
Gemcitabine,NCC021
JQ1,RPMI-8866
Docetaxel_1007,ES-2
Epirubicin,NCI-H2110
Paclitaxel,LB373-MEL-D
Fludarabine,MDA-MB-231
Dactolisib,SAT
Camptothecin,P31-FUJ
Vinorelbine,5637
Dactolisib,Farage
SN-38,SF295
Sepantronium bromide,SW1417
Dactolisib,VA-ES-BJ
Afatinib,A388
Trametinib,A3-KAW
Rapamycin,ZR-75-30
MG-132,HT-144
Vinorelbine,COLO-684
Buparlisib,KY821
Trametinib,SU8686
Dactinomycin_1911,SK-GT-4
Gemcitabine,C3A
Paclitaxel,OPM-2
OTX015,OPM-2
AZD7762,A172
AZD5991,RH-41
Daporinad,RPMI-8402
Rapamycin,KY821
PD0325901,COLO-205
Daporinad,TGW
AZD8055,NCI-H716
Dinaciclib,SCC90
Dactinomycin_1911,MFE-280
Schweinfurthin A,A549
Docetaxel_1819,LS-513
Dactinomycin_1911,KNS-81-FD
Vinorelbine,CAL-33
Schweinfurthin A,TC-71
Docetaxel_1819,KALS-1
Gemcitabine,CCK-81
Dactolisib,GDM-1
Pevonedistat,NB13
Vinorelbine,PE-CA-PJ15
Dinaciclib,U-87-MG
Romidepsin,TE-6
JQ1,BFTC-905
Docetaxel_1819,CL-11
Docetaxel_1819,SK-CO-1
Docetaxel_1007,U-87-MG
Vinorelbine,DAN-G
Vinorelbine,GP5d
Sepantronium bromide,HT-3
MG-132,CL-11
Sepantronium bromide,RCH-ACV
Entinostat,PL-21
Epirubicin,AN3-CA
Paclitaxel,769-P
Dactinomycin_1911,A101D
MG-132,OCI-M1
OTX015,SU-DHL-5
Dactinomycin_1911,TE-12
AZD8055,NCI-H929
Dinaciclib,EMC-BAC-2
Docetaxel_1007,KP-3
Romidepsin,KP-N-YN
Dactinomycin_1911,DMS-114
Talazoparib,CHP-134
MG-132,MOLM-16
Dinaciclib,PCI-6A
Afatinib,AU565
Trametinib,NCI-H1869
MG-132,CAL-85-1
Camptothecin,MFE-280
Dactinomycin_1911,Calu-6
Paclitaxel,SU-DHL-10
Dihydrorotenone,OCUB-M
Uprosertib_1553,Jurkat
Epirubicin,MIA-PaCa-2
Talazoparib,NB69
Topotecan,MSTO-211H
Talazoparib,SU-DHL-1
Dactinomycin_1911,NCI-H1781
Trametinib,23132-87
Dactolisib,MKN1
Paclitaxel,EW-16
BI-2536,JURL-MK1
JQ1,KGN
Rapamycin,KARPAS-45
Dactolisib,SK-MEL-5
Dactinomycin_1911,OACp4C
MG-132,ME-180
Dactolisib,CRO-AP2
Vinorelbine,OPM-2
Romidepsin,KS-1
Tanespimycin,BB65-RCC
Sepantronium bromide,KMRC-1
Camptothecin,UM-UC-3
PD0325901,LU-65
Dactolisib,BB65-RCC
Camptothecin,SU-DHL-10
Camptothecin,ML-1
JQ1,ALL-PO
Docetaxel_1819,TE-12
Daporinad,JM1
Romidepsin,HA7-RCC
Romidepsin,HGC-27
Docetaxel_1007,U031
Daporinad,COLO-783
Romidepsin,OE21
Camptothecin,HSC-39
Daporinad,U-698-M
Schweinfurthin A,PCI-4B
Dactinomycin_1911,IMR-5
I-BET-762,MOLM-16
AZD8055,OACp4C
Dactinomycin_1911,PCI-15A
Rapamycin,A101D
Sepantronium bromide,Farage
Sepantronium bromide,BPH-1
MG-132,SK-LMS-1
Dihydrorotenone,DMS-53
Dactinomycin_1911,JIMT-1
MG-132,SNB75
Dabrafenib,HT-144
Docetaxel_1819,HOS
Rapamycin,LS-513
JQ1,MOLM-16
MG-132,SK-MG-1
Romidepsin,NOMO-1
Vinorelbine,JVM-3
BI-2536,DOHH-2
Dinaciclib,LB373-MEL-D
Docetaxel_1007,IST-SL2
Daporinad,MKN7
Docetaxel_1007,NB69
Rapamycin,COR-L88
Paclitaxel,UACC-893
MG-132,A2058
Docetaxel_1007,SW962
BI-2536,RCH-ACV
Topotecan,PCI-4B
AZD8055,ES8
Tanespimycin,U-698-M
AZD5991,U-698-M
Epirubicin,HCT-116
Vinorelbine,SISO
AZD5991,OPM-2
PD0325901,PL-21
MG-132,NCI-H69
BEN,NCI-H2023
Docetaxel_1007,DMS-79
Camptothecin,KGN
Sepantronium bromide,HDLM-2
SN-38,ME-1
Dihydrorotenone,LN-405
AZD7762,JHU-022
AZD5991,ST486
Docetaxel_1007,D-566MG
Epirubicin,HOS
Rapamycin,SK-MEL-3
Dactinomycin_1911,PCI-6A
Romidepsin,OVCAR-5
Docetaxel_1007,MDA-MB-231
Dactinomycin_1911,KYSE-410
Telomerase Inhibitor IX,MS-1
Dactolisib,RCC-MF
Dactinomycin_1911,NCI-H1869
Epirubicin,FU97
Sepantronium bromide,MS-1
SCH772984,SAS
Talazoparib,NCI-H748
Camptothecin,DU-145
Daporinad,MG-63
AZD6738,SU-DHL-5
AZD8055,LS-123
Dactinomycin_1911,OV-7
Paclitaxel,MDA-MB-415
Axitinib,CGTH-W-1
MG-132,SK-N-AS
Telomerase Inhibitor IX,RPMI-8402
SN-38,NB69
MG-132,SIMA
Docetaxel_1007,769-P
Dactolisib,ONS-76
AZD8055,CAL-85-1
Docetaxel_1007,A549
Bleomycin,ES8
Schweinfurthin A,A3-KAW
Pevonedistat,SNU-175
Tanespimycin,23132-87
Epirubicin,HARA
SN-38,MN-60
Docetaxel_1007,OACp4C
BI-2536,NCI-H2009
Topotecan,U-87-MG
Vinorelbine,LC4-1
OTX015,SUP-B8
Camptothecin,HCC2157
Wee1 Inhibitor,JM1
Dactinomycin_1911,HC-1
Dactolisib,SNU-407
Camptothecin,SW1271
Dactolisib,BE2-M17
Topotecan,ALL-PO
Daporinad,MFM-223
AZD7762,LAN-6
Schweinfurthin A,GI-1
Docetaxel_1007,Mewo
Romidepsin,EKVX
Sepantronium bromide,RCC-FG2
Dihydrorotenone,SCC90
Dinaciclib,UACC-257
Dinaciclib,VAL
Camptothecin,OCI-AML3
SCH772984,LS-411N
Sepantronium bromide,L-428
MG-132,NCI-H1869
Rapamycin,SW1271
Dinaciclib,IHH-4
Dihydrorotenone,SCC-15
Dinaciclib,HCC-366
Telomerase Inhibitor IX,KP-4
Sepantronium bromide,JHU-022
Romidepsin,TGW
AZD8055,WIL2-NS
Camptothecin,PA-TU-8902
PD0325901,SW626
Vinorelbine,OE21
Docetaxel_1007,NCI-H510A
Pevonedistat,COR-L311
SN-38,MOLP-8
Docetaxel_1819,NB10
MG-132,KYSE-50
Sepantronium bromide,KMS-11
Sepantronium bromide,Jurkat
Gemcitabine,TUR
Romidepsin,RL95-2
SN-38,PL-21
Gemcitabine,SU-DHL-5
Docetaxel_1819,SCC90
Romidepsin,CS1
Dactinomycin_1911,KYSE-520
Dactolisib,KMS-11
Rapamycin,ASH-3
Vinorelbine,SK-MEL-30
Epirubicin,COR-L279
Epirubicin,TOV-112D
Vinorelbine,NU-DUL-1
Selumetinib_1062,COLO-783
Sepantronium bromide,HCC2157
Rapamycin,SW962
Sepantronium bromide,COR-L279
Epirubicin,HCC-366
Docetaxel_1819,KY821
Docetaxel_1007,NCC021
Paclitaxel,D-502MG
Docetaxel_1819,EMC-BAC-2
Camptothecin,ES1
BI-2536,MZ7-mel
Tanespimycin,TE-12
Selumetinib_1062,IGR-37
Dactinomycin_1911,RCC-MF
Daporinad,KYSE-220
Dactinomycin_1911,BE-13
AZD7762,COR-L279
Gemcitabine,A375
Sepantronium bromide,TGBC11TKB
BI-2536,ES4
Gemcitabine,LB647-SCLC
Vinorelbine,SKG-IIIa
SN-38,MHH-CALL-2
AZD7762,COR-L32
Daporinad,LC4-1
Rapamycin,DAN-G
AZD7762,HC-1
Paclitaxel,HSC-4
Sepantronium bromide,NCI-H322M
Camptothecin,NCI-N87
Cytarabine,VA-ES-BJ
Ulixertinib_1908,UACC-62
Telomerase Inhibitor IX,NCI-H748
Entinostat,SU-DHL-1
PD0325901,SK-CO-1
MG-132,RKO
Sepantronium bromide,MOLT-4
Pevonedistat,NCI-H524
Docetaxel_1007,TGBC24TKB
AZD7762,CAL-72
Daporinad,AMO-1
Dinaciclib,GAK
Dactolisib,GI-1
Daporinad,769-P
Pevonedistat,Hs-445
Tanespimycin,BPH-1
Vinorelbine,OE33
Vinorelbine,MS-1
Rapamycin,A3-KAW
MG-132,NCI-H2110
Rapamycin,SK-MEL-5
Romidepsin,HT-3
ABT737,CHP-134
Docetaxel_1007,SCC-4
SN-38,KNS-81-FD
Mycophenolic acid,RPMI-8402
Docetaxel_1819,DMS-114
Dactolisib,ES8
Paclitaxel,LS-411N
Sepantronium bromide,U-698-M
Dactinomycin_1911,A172
AZD8055,GI-1
Sepantronium bromide,NCI-H2009
AZD8055,UMC-11
Dinaciclib,PL4
Gemcitabine,SIMA
Gemcitabine,SF126
SCH772984,HPAC
AZD8055,BFTC-905
Paclitaxel,SF268
MG-132,Jurkat
Topotecan,IMR-5
Camptothecin,KALS-1
Dactinomycin_1911,CP66-MEL
Dihydrorotenone,U-698-M
Camptothecin,NCC021
MG-132,MFM-223
Vinorelbine,A172
AZD7762,RPMI-8402
Telomerase Inhibitor IX,TC-YIK
Paclitaxel,TE-8
