Drug,Cell
CD-437,PF-382
NVP-231,TCCSUP
ZSTK474,SK-OV-3
cytarabine hydrochloride,JK-1
obatoclax,SU-DHL-6
KHS101,NUGC-4
isoevodiamine,IMR-32
curcumin,SU.86.86
AT13387,FTC-133
entinostat,NCI-H2228
WP1130,NCI-H1339
silmitasertib,CAL-120
parbendazole,PANC-1
HBX-41108,NCI-H1563
fingolimod,SCaBER
triazolothiadiazine,SNU-489
gemcitabine,"G-292, clone A141B1"
isoevodiamine,SNU-1272
narciclasine,TT
docetaxel,KASUMI-1
fluvastatin,DMS 273
ZSTK474,COLO-320
canertinib,RI-1
LRRK2-IN-1,BL-70
mitomycin,LUDLU-1
VER-155008,SNU-387
MLN2238,HEL
YM-155,HL-60
SCH-79797,8305C
KW-2449,SU-DHL-1
pluripotin,A-375
FQI-2,KMBC-2
CD-437,U266B1
PIK-93,SCC-9
canertinib,EFO-27
axitinib,HuH-6
ABT-737,KP-2
necrostatin-7,KNS-81
CI-976,SNU-C5
SCH-79797,RCM-1
PHA-793887,HPAF-II
decitabine,PEER
KHS101,Capan-1
tanespimycin,MONO-MAC-1
cytarabine hydrochloride,ME-1
cerulenin,SNU-410
RITA,KMS-34
CD-437,LS411N
saracatinib,QGP-1
SCH-79797,HEC-251
NVP-231,DMS 454
ML239,QGP-1
PIK-93,SKM-1
BI-2536,Hs 611.T
paclitaxel,RCC10RGB
vorinostat,ACHN
gossypol,TE-11
BI-2536,SK-HEP-1
hyperforin,NCI-H2452
etoposide,PL-21
BRD-K34222889,KYSE-180
rigosertib,U-87 MG
NVP-231,U-BLC1
topotecan,697
neratinib,U-BLC1
B02,GI-1
dasatinib,G-361
salermide,MFE-319
FQI-2,HMCB
sorafenib,TE-11
B02,HCC-95
niclosamide,DND-41
CI-976,IGR-39
PHA-793887,DK-MG
phloretin,BT-20
CD-437,BT-20
WP1130,TE-8
TW-37,NCI-H1395
daporinad,U-251 MG
PF-3758309,HMCB
ETP-46464,NCI-H1651
KU-60019,MC116
YM-155,GAMG
importazole,LN-229
N9-isopropylolomoucine,SNU-61
obatoclax,COLO-800
imatinib,FU97
rigosertib,SU-DHL-1
OSI-027,VM-CUB1
parbendazole,JVM-2
gemcitabine,SJSA-1
PRIMA-1,JHH-6
cabozantinib,MHH-CALL-3
sunitinib,8505C
nakiterpiosin,HCC-56
entinostat,THP-1
NVP-231,HCC827
TPCA-1,IPC-298
fingolimod,GI-1
cyanoquinoline 11,P3HR-1
neratinib,HuCCT1
obatoclax,VM-CUB1
YM-155,JURKAT
pifithrin-mu,U-87 MG
cytarabine hydrochloride,LK-2
cerulenin,JURKAT
SCH-79797,RPMI-8402
triptolide,RH-30
SMER-3,KYSE-30
vandetanib,HCT 116
YM-155,SNU-489
N9-isopropylolomoucine,KNS-60
N9-isopropylolomoucine,NCI-H1339
niclosamide,HEC-151
rigosertib,CML-T1
CD-1530,NCI-H1395
MK-2206,GAMG
nutlin-3,SK-CO-1
TW-37,TE-6
GSK4112,OUMS-23
WP1130,NCI-H2081
etoposide,SU-DHL-4
marinopyrrole A,GDM-1
pluripotin,MONO-MAC-1
KU-55933,NCI-H2444
SCH-79797,ACC-MESO-1
dasatinib,NCI-H2087
cabozantinib,SUP-B15
B02,8305C
JW-74,EPLC-272H
nakiterpiosin,NCI-H2009
sunitinib,MEL-HO
SCH-79797,NCI-H1435
rigosertib,NCI-H1915
triptolide,HEC-1-B
vorinostat,BEN
BRD-K34222889,MHH-ES-1
docetaxel,DMS 53
bleomycin A2,BICR 16
nakiterpiosin,SNU-182
BRD-K26531177,JHH-5
paclitaxel,Set-2
tanespimycin,DND-41
HBX-41108,LS1034
paclitaxel,SK-N-AS
PHA-793887,JeKo-1
NSC632839,OCI-AML5
PHA-793887,GSS
Compound 7d-cis,RCC10RGB
barasertib,ST486
triazolothiadiazine,NCI-H2122
paclitaxel,U-2 OS
MG-132,COLO 829
isoevodiamine,BICR 22
MK-2206,SK-OV-3
etoposide,KASUMI-1
valdecoxib,RT4
KU-0063794,UACC-812
silmitasertib,LU65
nintedanib,SUP-T11
cediranib,KYM-1
bexarotene,SNU-1041
canertinib,RL95-2
narciclasine,Panc 10.05
tanespimycin,NCI-H2126
BI-2536,LN-229
PHA-793887,NCI-H1339
SCH-79797,VCaP
triazolothiadiazine,OPM-2
OSI-027,BICR 31
TW-37,DMS 454
isoevodiamine,BxPC-3
obatoclax,HCC-1833
lomeguatrib,NH-6
CHIR-99021,SU-DHL-4
fingolimod,HCC827
KHS101,RH-18
cediranib,COR-L51
daporinad,SNU-46
BI-2536,MOLM-6
KHS101,OCI-LY3
curcumin,LU65
PD 153035,SNU-61
sunitinib,SNU-46
nakiterpiosin,GOS-3
neratinib,Set-2
etoposide,U-251 MG
bleomycin A2,ONCO-DG-1
cytarabine hydrochloride,MG-63
MG-132,UACC-257
OSI-027,MDST8
DBeQ,SK-N-FI
entinostat,HH
NSC632839,TE-11
AZD6482,NCI-H1666
PHA-793887,TUHR4TKB
gemcitabine,RCM-1
pluripotin,LUDLU-1
KHS101,SNU-410
saracatinib,PK-1
gemcitabine,PF-382
cabozantinib,SNU-1196
nakiterpiosin,HUP-T3
tanespimycin,SK-MEL-24
triptolide,COR-L51
CD-1530,"G-292, clone A141B1"
B02,DMS 273
fingolimod,HEL
KW-2449,LC-1F
PHA-793887,PF-382
pluripotin,HEL
AZD6482,COLO-800
NSC23766,HCC2218
saracatinib,SCC-25
AM-580,KLE
parbendazole,BT-20
lapatinib,NUGC-4
daporinad,HCC-78
obatoclax,OCI-AML5
ABT-737,MDA-MB-415
CIL55A,CAL-62
CHIR-99021,SUP-B15
valdecoxib,TT
triazolothiadiazine,HT115
TPCA-1,HEC-1-B
TPCA-1,L-1236
bleomycin A2,LU99
COL-3,PSN1
hyperforin,SHP-77
vorinostat,KYSE-70
isoevodiamine,MOR/CPR
triazolothiadiazine,Hs 822.T
BRD-K34222889,SKM-1
NVP-TAE684,Ishikawa (Heraklio) 02 ER-
Compound 23 citrate,DMS 454
BRD-K26531177,Becker
marinopyrrole A,SNU-423
CD-437,DMS 79
PI-103,OVTOKO
KW-2449,LU99
topotecan,HCC2218
CIL55A,8505C
neratinib,HCC1419
tanespimycin,Panc 03.27
STF-31,ST486
KU-55933,OVTOKO
pluripotin,KP-N-YN
nakiterpiosin,SCC-25
ZSTK474,SNU-182
etoposide,MDA-MB-468
BRD-K33199242,JHH-6
PI-103,NCI-H1734
silmitasertib,DAN-G
indisulam,HEL
saracatinib,Hs 611.T
CD-437,SNU-685
rigosertib,SNU-5
BRD-K26531177,VCaP
Compound 23 citrate,MEL-HO
BMS-754807,"G-292, clone A141B1"
austocystin D,NH-6
cabozantinib,JeKo-1
silmitasertib,HEC-151
isoevodiamine,TE-6
mitomycin,NCI-H2228
daporinad,COLO 829
vandetanib,NCI-H1435
SCH-79797,NCI-H1693
obatoclax,SNU-46
mitomycin,GDM-1
daporinad,A-204
COL-3,TE-1
BRD-K45681478,KP-N-YN
vorinostat,HCC1954
Compound 23 citrate,HEC-50B
WP1130,COLO-800
BMS-754807,YD-38
KHS101,SCC-4
MK-2206,RI-1
rigosertib,NCI-H2452
CHIR-99021,MC116
tanespimycin,MDA-MB-361
vandetanib,YD-8
JW-74,SNU-C5
neratinib,RI-1
fluvastatin,TUHR4TKB
sunitinib,OCI-AML2
BRD-K11533227,Ishikawa (Heraklio) 02 ER-
BI-2536,HCC4006
importazole,MG-63
BRD-K11533227,BL-70
docetaxel,KASUMI-2
niclosamide,RI-1
triazolothiadiazine,IA-LM
cabozantinib,SCC-9
HBX-41108,SNU-475
KU-0063794,SNU-719
KHS101,DEL
RG-108,JHUEM-2
ABT-737,TCCSUP
FQI-2,OCI-M1
TW-37,COR-L105
SCH-79797,MG-63
triazolothiadiazine,MDA-MB-231
etoposide,DMS 273
semagacestat,COR-L105
mitomycin,RI-1
CD-437,NCI-H2081
DBeQ,MOTN-1
cerulenin,HCC827
BRD-K45681478,JHH-6
JW-74,SNU-61
nilotinib,RCM-1
paclitaxel,BL-70
STF-31,LXF-289
SMER-3,HT-29
KU-0063794,SK-CO-1
spautin-1,A-204
triazolothiadiazine,SW1417
AZD6482,SK-MEL-24
CAL-101,JVM-2
ML239,JeKo-1
narciclasine,ONS-76
tanespimycin,SUP-B15
MG-132,EN
phloretin,HOS
saracatinib,TE-8
WP1130,LN-18
PI-103,MFE-296
PF-3758309,RCC10RGB
PDMP,SNU-449
fluvastatin,HCC1419
sorafenib,GAMG
curcumin,8505C
gossypol,LK-2
isoevodiamine,KP-N-SI9s
fingolimod,OCI-LY-19
RITA,GP2d
BRD-K66532283,RMG-I
silmitasertib,FaDu
curcumin,Hs 895.T
paclitaxel,SU-DHL-4
bleomycin A2,Hs 611.T
PIK-93,SNU-182
parbendazole,HUP-T3
KU-0063794,RMG-I
parbendazole,COR-L51
TW-37,HT-144
isoevodiamine,LU65
OSI-930,WM-793
CD-437,HUP-T3
triptolide,SNU-175
BRD-A94377914,NCI-H2009
PI-103,ONS-76
AM-580,A549
neratinib,JHUEM-2
methylstat,YD-8
docetaxel,Calu-1
methylstat,AMO-1
STF-31,MDA-MB-231
triptolide,LS123
cerulenin,EN
BRD-K26531177,OCI-LY3
lapatinib,NCI-H358
topotecan,NCI-H1755
ETP-46464,U-BLC1
sunitinib,SF126
cyanoquinoline 11,HuH28
nakiterpiosin,A2058
TPCA-1,CHP-126
STF-31,KMS-34
barasertib,NCI-H2126
daporinad,LS411N
cerulenin,SHP-77
docetaxel,COLO-800
FQI-2,JL-1
NSC632839,GOS-3
dasatinib,HuCCT1
BRD-K26531177,SNU-466
DBeQ,HEL
WP1130,JHH-6
topotecan,G-361
austocystin D,SNU-478
daporinad,OCI-M1
cediranib,SNU-685
OSI-027,JK-1
NSC632839,DEL
ZSTK474,JHH-5
nakiterpiosin,PEER
sunitinib,Hs 611.T
neratinib,HMCB
RAF265,LN-18
PF-184,GSS
MLN2238,NCI-H1666
BRD-A94377914,SKM-1
RAF265,SNU-1272
KW-2449,JL-1
DBeQ,NCI-H2444
mitomycin,NCI-H2141
DBeQ,NCI-H1299
pandacostat,OV56
barasertib,HCC1954
niclosamide,ACC-MESO-1
Compound 23 citrate,EHEB
DNMDP,SW 1783
OSI-027,IGR-39
myriocin,SNU-1041
pluripotin,AMO-1
hyperforin,8505C
PI-103,Calu-6
OSI-027,RL95-2
PF-3758309,OCI-AML5
pifithrin-alpha,JL-1
CIL55A,HCT 116
triazolothiadiazine,SK-BR-3
BRD-K34222889,COV434
obatoclax,KASUMI-1
KU-60019,HuT 78
entinostat,SU-DHL-1
ML239,SF126
niclosamide,TE-5
saracatinib,BICR 16
axitinib,OCI-AML5
MG-132,Set-2
YM-155,COV362
MLN2238,HEC-251
STF-31,SK-N-DZ
AZD6482,SK-BR-3
pluripotin,A172
KU-60019,KNS-81
sunitinib,HL-60
tanespimycin,NCI-H2286
valdecoxib,HEL
mitomycin,TC-71
topotecan,U-87 MG
Ch-55,U-251 MG
KU-0063794,Hs 611.T
isoevodiamine,SNU-685
PI-103,NCI-H1915
sunitinib,SNU-387
KU-60019,KLE
paclitaxel,TE-11
tamoxifen,HCC2218
axitinib,P12-ICHIKAWA
CAL-101,ONCO-DG-1
necrosulfonamide,IGR-39
BRD-K11533227,KASUMI-1
sunitinib,SU.86.86
tamatinib,SNU-46
N9-isopropylolomoucine,JeKo-1
bleomycin A2,HEC-251
ABT-737,SCC-25
isoevodiamine,HEC-251
UNC0638,CHP-126
GANT-61,ONS-76
obatoclax,NCI-H1435
importazole,MDA-MB-361
methylstat,OPM-2
rigosertib,NCI-H1703
BRD-K26531177,NCI-H2081
cabozantinib,NCI-H2009
rigosertib,P12-ICHIKAWA
NVP-231,COLO 829
epigallocatechin-3-monogallate,SU-DHL-4
N9-isopropylolomoucine,SNU-410
triazolothiadiazine,HMCB
triazolothiadiazine,WM1799
rigosertib,TC-71
GW-405833,Hs 683
WP1130,OCI-LY3
spautin-1,BEN
KU-0063794,SK-N-FI
simvastatin,NCI-H1385
narciclasine,SNU-1272
bexarotene,HT-29
cediranib,SCC-4
OSI-027,SU-DHL-1
ABT-737,P3HR-1
triazolothiadiazine,SU-DHL-6
pluripotin,EHEB
PIK-93,VM-CUB1
silmitasertib,SW 1990
UNC0638,DMS 273
neratinib,MFE-319
isoevodiamine,HPB-ALL
isoevodiamine,HCC4006
BRD-K26531177,FU97
LRRK2-IN-1,THP-1
ABT-737,A-498
cyanoquinoline 11,DMS 79
obatoclax,NCI-H2122
dasatinib,NCI-H2444
PF-3758309,DK-MG
cytarabine hydrochloride,RL95-2
hyperforin,NCI-H1395
SCH-79797,Calu-6
importazole,LK-2
axitinib,RS4;11
CIL55A,HuH-6
PI-103,AU565
ZSTK474,EFE-184
DBeQ,DV-90
curcumin,GAMG
marinopyrrole A,UACC-62
MG-132,HCC4006
triazolothiadiazine,OCI-LY3
PF-184,LN-18
obatoclax,RCC10RGB
PD 153035,COR-L105
BRD-K11533227,Hs 895.T
rigosertib,MC116
obatoclax,MEL-HO
dasatinib,HCC-95
KW-2449,KMS-27
importazole,AU565
niclosamide,HCC-366
GW-405833,NCI-H2126
topotecan,HuT 78
sunitinib,NCI-H226
BRD-K85133207,GI-1
NVP-TAE684,NCI-H1915
tanespimycin,AU565
etoposide,GMS-10
OSI-027,SW 1990
FQI-2,MG-63
fingolimod,TM-31
MLN2238,COLO-320
vandetanib,CML-T1
BRD-K34222889,SNU-C2A
AZD6482,HCC202
STF-31,NCI-H716
AT13387,MOTN-1
ZSTK474,Calu-1
NVP-TAE684,NCI-H1581
alisertib,CHP-126
elocalcitol,U-87 MG
triazolothiadiazine,MFE-319
fluvastatin,NCI-H1395
OSI-027,HEC-50B
pluripotin,OVK18
BRD-K26531177,NCI-H1755
AZD6482,JeKo-1
triptolide,RCM-1
neratinib,PA-TU-8902
brivanib,MDA-MB-157
fingolimod,MOR/CPR
nakiterpiosin,HCT 116
LE-135,MG-63
alisertib,BxPC-3
OSI-027,QGP-1
vorinostat,NCI-H2405
neratinib,SNU-5
MLN2238,KNS-60
barasertib,GSS
SMER-3,BICR 16
BRD1835,SNU-886
PIK-93,JVM-2
vorinostat,HCC1419
paclitaxel,EFO-27
FQI-2,SW48
BRD-K34222889,DV-90
MG-132,SNU-387
obatoclax,RPMI-8402
mitomycin,Set-2
BMS-754807,OVTOKO
curcumin,B-CPAP
rigosertib,HT115
daporinad,SNU-478
YM-155,Calu-1
DNMDP,BICR 31
mitomycin,SHP-77
PIK-93,RVH-421
vorinostat,GDM-1
hyperforin,NCI-H1155
sunitinib,JeKo-1
WP1130,SNU-182
linsitinib,SCC-4
spautin-1,LS123
EX-527,COR-L51
vorinostat,8305C
SCH-79797,697
niclosamide,NCI-H1299
KU-0063794,SNU-478
RAF265,RT4
nilotinib,NCI-H1385
curcumin,MDA-MB-157
nintedanib,AsPC-1
isoevodiamine,TUHR4TKB
MLN2238,Becker
indisulam,JURKAT
isoevodiamine,LS123
NSC23766,DND-41
NVP-231,NCI-H1734
imatinib,EOL-1
ABT-737,NCI-H1915
PDMP,NCI-H2126
PIK-93,NCI-H2342
obatoclax,MONO-MAC-1
triazolothiadiazine,MDA-MB-157
AM-580,OS-RC-2
canertinib,DAN-G
B02,YD-38
paclitaxel,KASUMI-2
dasatinib,8305C
MGCD-265,ACC-MESO-1
sunitinib,HEC-1-B
NVP-TAE684,JHUEM-2
PRIMA-1,NCI-H1385
CD-437,MM1-S
daporinad,OV-90
neratinib,SKM-1
DBeQ,LK-2
CIL55A,LN-229
Ch-55,Hs 895.T
austocystin D,SNU-61
vorinostat,LS411N
valdecoxib,NCI-H1563
obatoclax,KE-39
COL-3,LS1034
UNC0638,Hs 822.T
PHA-793887,EB1
STF-31,DK-MG
topotecan,HEC-151
niclosamide,KNS-81
docetaxel,AU565
AT13387,SCC-9
IPR-456,SW 1783
paclitaxel,DMS 454
paclitaxel,JIMT-1
triazolothiadiazine,SF126
DBeQ,HMCB
austocystin D,MDA-MB-415
cerulenin,8305C
entinostat,HCC1569
Compound 7d-cis,TE-5
valdecoxib,SNU-1272
alisertib,SNU-685
rigosertib,IGR-39
dasatinib,SK-LMS-1
pluripotin,HCC827
gemcitabine,KNS-81
dasatinib,SKM-1
canertinib,DV-90
entinostat,JeKo-1
axitinib,YD-8
fingolimod,HCC-1438
TPCA-1,P31/FUJ
ZSTK474,DMS 79
topotecan,UACC-62
COL-3,NCI-H1563
NVP-TAE684,SK-HEP-1
CD-1530,NCI-H358
NSC23766,SNU-410
ETP-46464,SW1417
bexarotene,NCI-H2342
paclitaxel,RVH-421
TW-37,SNU-387
PHA-793887,LS 180
sunitinib,BC-3C
triazolothiadiazine,SNU-869
NVP-TAE684,Panc 03.27
neopeltolide,JURKAT
importazole,EFO-27
tanespimycin,KMS-27
nakiterpiosin,SNU-489
HBX-41108,HuT 78
nutlin-3,DMS 454
barasertib,EN
DBeQ,KASUMI-1
SCH-79797,NCI-H1563
CD-437,SK-OV-3
RAF265,SNU-1196
KU-60019,CAL-62
necrosulfonamide,RMG-I
NSC23766,PA-TU-8902
BRD-K26531177,KYSE-30
triazolothiadiazine,HGC-27
PF-3758309,BT-20
BRD-K34222889,GOS-3
axitinib,RPMI-8402
CIL55A,HT-1376
obatoclax,NH-6
entinostat,MV-4-11
STF-31,NCI-H1693
hyperforin,COLO-320
BI-2536,KYM-1
neratinib,RH-30
PIK-93,NCI-H358
neratinib,OCI-LY-19
MGCD-265,CML-T1
CD-437,NCI-H1373
cerulenin,MDST8
NSC632839,SCC-25
austocystin D,NUGC-4
fluvastatin,SJSA-1
CHIR-99021,SK-LMS-1
canertinib,SK-OV-3
BMS-754807,GAMG
tamatinib,HCC-1833
CIL55A,PL-21
TGX-221,SNU-410
lapatinib,YD-8
sunitinib,GDM-1
vorapaxar,SK-MEL-3
silmitasertib,NCI-H1373
tamatinib,OCI-M1
imatinib,HT115
ifosfamide,SNU-46
MLN2238,RH-30
PF-184,NCI-H2196
NVP-TAE684,LS123
necrosulfonamide,SUP-B15
isoevodiamine,23132/87
daporinad,UACC-257
KU-0063794,SW48
PHA-793887,GDM-1
ETP-46464,LS123
pluripotin,FaDu
OSI-027,TC-71
BRD1835,EB1
LRRK2-IN-1,Hs 895.T
vandetanib,DMS 53
epigallocatechin-3-monogallate,KCL-22
pluripotin,UACC-62
bexarotene,NCI-H1915
SCH-79797,RS4;11
LRRK2-IN-1,KG-1-C
vorinostat,SW1417
niclosamide,NCI-H1755
narciclasine,KMRC-3
NSC632839,COLO-320
alisertib,JHH-5
GW-405833,MOR/CPR
HBX-41108,Hs 729
OSI-930,NCI-H322
STF-31,CML-T1
TPCA-1,SNU-478
AZD6482,WM-793
ZSTK474,PE/CA-PJ49
BRD-K34222889,8505C
DBeQ,Calu-1
narciclasine,BICR 31
manumycin A,DMS 79
PF-3758309,MDA-MB-468
KU-55933,TE-6
entinostat,RT4
OSI-027,SNU-869
parbendazole,A2058
vorinostat,KMBC-2
neopeltolide,TUHR4TKB
niclosamide,SNU-685
NVP-231,SNU-410
BRD-K11533227,NUGC-4
BRD-K26531177,NCI-H2405
thalidomide,J82
TW-37,KP-N-YN
NVP-TAE684,LU99
NVP-231,THP-1
bleomycin A2,DND-41
topotecan,SW1417
pluripotin,ZR-75-1
ZSTK474,A-498
NSC23766,OCI-LY3
tanespimycin,CML-T1
methylstat,RI-1
BRD-A94377914,LS123
pluripotin,COV362
Compound 23 citrate,SNU-719
vorapaxar,KLE
ZSTK474,NCI-H1563
TW-37,23132/87
sorafenib,OV56
salermide,JHH-5
fingolimod,G-361
BRD-K26531177,TE-1
tamoxifen,KG-1-C
PRIMA-1,VCaP
gemcitabine,SNU-478
LRRK2-IN-1,SK-N-DZ
etoposide,MONO-MAC-1
daporinad,ACHN
FQI-2,A172
ETP-46464,NCI-H2196
PHA-793887,COV362
BRD-K34222889,P3HR-1
triazolothiadiazine,AsPC-1
MG-132,TC-71
MK-2206,MDST8
isoevodiamine,OCI-AML5
marinopyrrole A,NCI-H2087
ZSTK474,SK-CO-1
myriocin,LS 180
PHA-793887,SNU-840
RAF265,TE-8
saracatinib,KP-2
MG-132,OPM-2
SRT-1720,SNU-182
bleomycin A2,KMBC-2
BRD-K80183349,RMG-I
BRD-K34222889,SHP-77
NVP-231,CML-T1
nakiterpiosin,HT-144
tanespimycin,L-1236
BI-2536,OV56
MLN2238,CADO-ES1
nutlin-3,U-2 OS
TW-37,Calu-3
N9-isopropylolomoucine,SU.86.86
fingolimod,RI-1
STF-31,NCI-H1395
Ch-55,BL-70
isoevodiamine,DK-MG
lapatinib,KMS-34
CD-1530,NCI-H1792
KHS101,COLO-800
obatoclax,KP-2
BRD-K26531177,NCI-H1395
niclosamide,NCI-H2087
COL-3,NCI-H2126
B02,HuCCT1
COL-3,SKM-1
BI-2536,KP-2
alisertib,TE-11
SMER-3,NCI-H2228
NVP-TAE684,NCI-H1155
pluripotin,NCI-H2126
narciclasine,NCI-H2009
topotecan,SW1116
topotecan,HPB-ALL
MLN2238,HuH28
neratinib,MDA-MB-157
tamatinib,NCI-H2452
PD 153035,PE/CA-PJ49
tivozanib,Hs 729
RAF265,HEC-251
bleomycin A2,JK-1
cytarabine hydrochloride,LU99
NSC23766,MDST8
PI-103,SUP-T11
docetaxel,FaDu
NSC23766,HCC1419
niclosamide,MHH-NB-11
BRD-K01737880,OCI-AML5
BI-2536,THP-1
paclitaxel,OVK18
epigallocatechin-3-monogallate,SU-DHL-6
Compound 7d-cis,SNU-410
KU-0063794,JeKo-1
mitomycin,COR-L88
lapatinib,ONCO-DG-1
nilotinib,THP-1
entinostat,NCI-H446
curcumin,MHH-CALL-3
paclitaxel,MHH-NB-11
gossypol,EFE-184
CIL55A,SUP-T11
alisertib,TUHR4TKB
PD 153035,NCI-H1435
B02,HCC-366
OSI-027,Hs 578T
KHS101,NCI-H1563
cerulenin,ACC-MESO-1
triptolide,BT-20
PRIMA-1,NCI-H446
CI-976,PSN1
paclitaxel,NCI-H1373
AT13387,MDA-MB-361
marinopyrrole A,SKM-1
OSI-930,MOLM-6
daporinad,MG-63
WP1130,JHH-5
Ch-55,ME-1
canertinib,MOTN-1
NSC632839,JK-1
LE-135,NCI-H2126
vandetanib,LK-2
salermide,SCC-25
CD-437,ACC-MESO-1
MG-132,NCI-H1339
importazole,SNU-719
RAF265,COR-L105
vandetanib,TE-5
mitomycin,KCL-22
WP1130,SUP-T11
chlorambucil,JHUEM-2
Repligen 136,BxPC-3
NVP-TAE684,CHP-126
pyrazolanthrone,NCI-H2122
HBX-41108,NCI-H1435
cytarabine hydrochloride,OCI-LY3
PRIMA-1,IA-LM
tanespimycin,OCI-M1
tanespimycin,EPLC-272H
KHS101,HEC-151
BRD-K26531177,TE-11
dasatinib,SNU-46
pluripotin,KMS-34
NVP-TAE684,B-CPAP
vandetanib,MONO-MAC-1
PIK-93,COLO 684
nakiterpiosin,KASUMI-1
B02,TE-11
topotecan,A-204
ZSTK474,HL-60
CIL55A,SNU-1196
bleomycin A2,NCI-H1299
PIK-93,NUGC-4
RAF265,MOR/CPR
narciclasine,KP-2
AZD6482,CAL-120
necrosulfonamide,FaDu
NSC23766,SK-MEL-24
indisulam,JHH-5
parbendazole,MOLM-6
COL-3,PK-1
importazole,KMBC-2
TW-37,PK-1
austocystin D,HT-29
sunitinib,ESS-1
BMS-754807,ZR-75-1
rigosertib,NCI-H226
curcumin,GOS-3
vandetanib,RT4
SMER-3,NCI-H209
tanespimycin,MEL-HO
PI-103,Calu-1
BI-2536,697
RAF265,NCI-H1299
phloretin,OS-RC-2
cabozantinib,SK-CO-1
BCL-LZH-4,IGR-39
NVP-231,MHH-ES-1
nutlin-3,KYSE-70
LRRK2-IN-1,SNU-61
sunitinib,Hs 729
NSC632839,OCI-LY3
CIL55A,HCC-78
TGX-221,DBTRG-05MG
rigosertib,MHH-CALL-3
rigosertib,HUP-T4
pluripotin,COR-L105
NSC23766,SNU-1041
NSC23766,SNU-182
TPCA-1,NCI-H1650
KHS101,KE-39
NVP-231,OCI-LY-19
BI-2536,42-MG-BA
NVP-TAE684,DND-41
HBX-41108,SK-MEL-2
niclosamide,IPC-298
TW-37,LU65
DNMDP,NCI-H2286
dasatinib,LCLC-103H
MK-2206,MDA-MB-361
triptolide,A2058
linsitinib,SK-N-FI
fingolimod,TE-5
obatoclax,HCC4006
triptolide,OVTOKO
paclitaxel,Capan-1
OSI-027,HEC-251
obatoclax,NCI-H1563
necrosulfonamide,NCI-H446
curcumin,OCI-LY-19
bleomycin A2,RL95-2
Compound 23 citrate,HPAF-II
PDMP,RCM-1
sorafenib,EB1
NVP-TAE684,PL-21
niclosamide,8305C
cytarabine hydrochloride,GP2d
nakiterpiosin,ACHN
Ch-55,NCI-H2228
marinopyrrole A,HuH-6
vandetanib,SNU-489
narciclasine,TOV-21G
MG-132,BICR 31
PIK-93,DK-MG
GW-405833,LC-1F
NSC23766,EHEB
TW-37,WM-793
AT13387,GI-1
tacrolimus,RI-1
BRD-K26531177,EN
DBeQ,LCLC-103H
curcumin,THP-1
AZD6482,SNU-387
tanespimycin,NUGC-4
AM-580,A-204
KW-2449,ST486
LRRK2-IN-1,EOL-1
entinostat,U-251 MG
nutlin-3,NCI-H1581
PHA-793887,MDST8
AZD6482,KASUMI-2
etoposide,JK-1
BRD-K26531177,SCaBER
saracatinib,RH-18
