DRUG_NAME,CELL_LINE_NAME
Docetaxel,MHH-CALL-2
Osimertinib,CRO-AP2
Motesanib,D-392MG
Ibrutinib,SW1271
MK-2206,YKG-1
Afatinib,SW948
Tanespimycin,NCI-H661
Bosutinib,SW1271
Afatinib,NCI-H810
Vinorelbine,NCI-H1781
Dabrafenib,SCC-15
Venetoclax,GR-ST
Bromosporine,HSC-4
Motesanib,Becker
Refametinib,D-392MG
Savolitinib,PCI-6A
Motesanib,SW1463
Docetaxel,CADO-ES1
Bortezomib,MEL-HO
Buparlisib,U-266
Savolitinib,TE-12
Lapatinib,COR-L32
Methotrexate,CAL-62
Dasatinib,MFM-223
Lapatinib,LC-1-sq
Afatinib,SK-MEL-3
Pictilisib,SK-MM-2
Ribociclib,KP-3
Palbociclib,SK-OV-3
Tanespimycin,BICR78
Dasatinib,CW-2
Sapitinib,MSTO-211H
Docetaxel,TE-5
Pictilisib,HLE
MK-2206,KYSE-50
Selumetinib,HeLa
Refametinib,LU-135
Ipatasertib,UACC-62
Trametinib,IST-SL2
Paclitaxel,ECC12
Lapatinib,SKN
Paclitaxel,PA-TU-8902
Tanespimycin,BT-483
Irinotecan,MFM-223
Taselisib,PANC-10-05
Ipatasertib,SISO
Paclitaxel,SNU-423
Ribociclib,ES4
Docetaxel,SU8686
Afatinib,KNS-62
Paclitaxel,SIMA
Selumetinib,MFE-319
Afatinib,SNU-423
Dabrafenib,OVCAR-4
Methotrexate,U-266
Ipatasertib,NCI-H441
Dasatinib,RH-1
Trametinib,ST486
Afatinib,SK-MG-1
Docetaxel,HuH-7
Sinularin,SNU-61
Vorinostat,HCC-15
Savolitinib,JHH-1
Ipatasertib,NCI-H2172
Pictilisib,PCI-6A
Ibrutinib,EW-22
Afatinib,NB5
Sapitinib,ECC12
Talazoparib,TGBC1TKB
Irinotecan,YH-13
Sapitinib,HuH-7
Tanespimycin,JHH-6
Bortezomib,NCI-H28
Trametinib,NCI-H1341
MK-2206,Mo-T
Dihydrorotenone,KP-3
Ibrutinib,EW-11
Taselisib,DMS-114
Irinotecan,SW962
Paclitaxel,KNS-81-FD
Selumetinib,KARPAS-1106P
Trametinib,NCI-H211
Ipatasertib,HCC-15
Osimertinib,KP-N-YN
Teniposide,NCI-H2141
Ipatasertib,CAL-27
Ibrutinib,NCI-H1563
MK-2206,TK10
Motesanib,HLE
Palbociclib,MS-1
Irinotecan,NUGC-4
Selumetinib,NCI-H835
Refametinib,KARPAS-1106P
Taselisib,KM-H2
Docetaxel,DBTRG-05MG
Sapitinib,NCI-H1792
Palbociclib,42-MG-BA
Ribociclib,JHH-6
Docetaxel,COR-L105
Trametinib,EVSA-T
Paclitaxel,DSH1
Methotrexate,GI-1
Irinotecan,KYSE-50
Buparlisib,BICR78
Taselisib,DEL
Dihydrorotenone,HCC1806
Savolitinib,TOV-112D
Refametinib,SUP-T1
Selumetinib,PEO1
Palbociclib,KYSE-140
Ribociclib,TGBC1TKB
Talazoparib,Hey
Selumetinib,HCC1428
Dasatinib,DMS-79
Venetoclax,OVK-18
Teniposide,NCI-H226
Sapitinib,SW620
Methotrexate,MS751
Pictilisib,EW-24
Cediranib,ES4
Dasatinib,MDA-MB-157
Sapitinib,SK-MG-1
Docetaxel,NCI-H226
Vinorelbine,CCK-81
Irinotecan,no-11
Savolitinib,SK-LU-1
Tanespimycin,MDA-MB-157
Vinorelbine,no-11
Dabrafenib,no-10
Bortezomib,YAPC
Palbociclib,SN12C
Teniposide,SNU-423
Trametinib,DBTRG-05MG
Sinularin,SK-CO-1
Selumetinib,TK10
Methotrexate,BONNA-12
Docetaxel,KMOE-2
Dasatinib,SIMA
Osimertinib,HuH-7
Vinorelbine,JHH-2
Ipatasertib,SBC-3
Irinotecan,ML-1
Venetoclax,HCC2998
Tretinoin,SW620
Savolitinib,SN12C
Bosutinib,TGBC1TKB
Venetoclax,MKN45
Venetoclax,KM-H2
Dabrafenib,SUP-T1
Methotrexate,LB373-MEL-D
Bromosporine,SIMA
Buparlisib,CP66-MEL
Cediranib,YKG-1
Afatinib,UACC-62
Pictilisib,EW-16
Trametinib,PCI-30
Buparlisib,SW156
Sapitinib,GAMG
Refametinib,EFM-192A
Selumetinib,NCI-H226
Paclitaxel,CAL-78
Afatinib,JHH-1
Sinularin,TE-12
Osimertinib,MPP-89
Irinotecan,OSC-20
Palbociclib,LU-135
Cediranib,HCC2218
Trametinib,SN12C
Ibrutinib,M14
Vorinostat,SK-LU-1
Teniposide,GAK_cell
Ipatasertib,SK-N-FI
Trametinib,TE-5
Osimertinib,DAN-G
Afatinib,BICR31
Tanespimycin,FU97
Vorinostat,CAL-120
Buparlisib,EW-16
Bortezomib,HT55
Selumetinib,SNU-398
Venetoclax,LXF-289
Paclitaxel,A253
Bosutinib,BICR78
Ipatasertib,CW-2
Taselisib,SW780
Sinularin,NCI-H2228
MK-2206,L-428
Refametinib,PANC-08-13
Ibrutinib,HCT-15
Refametinib,DOV13
Selumetinib,NCI-H209
Bromosporine,OACM5-1
MK-2206,HuO-3N1
Ipatasertib,NCI-H2291
Buparlisib,NCC010
Motesanib,KP-3
Motesanib,NUGC-4
Selumetinib,CRO-AP2
Dihydrorotenone,KYSE-140
Dabrafenib,COR-L321
Ipatasertib,GB-1
Selumetinib,TE-6
Osimertinib,IPC-298
MK-2206,HCC1806
Venetoclax,NCI-H2291
Docetaxel,BxPC-3
Vinorelbine,TYK-nu
Motesanib,WM-115
Methotrexate,JHH-2
Sinularin,SW1417
Docetaxel,OV-56
MK-2206,NCI-H28
Pictilisib,NUGC-4
Paclitaxel,WM278
Irinotecan,NCI-H2085
Selumetinib,SK-OV-3
Osimertinib,G-MEL
Talazoparib,KYSE-410
Trametinib,RCC-AB
Dabrafenib,A704
Dihydrorotenone,LB996-RCC
Dabrafenib,KMRC-1
Motesanib,ASH-3
Docetaxel,TYK-nu
Osimertinib,MDA-MB-157
Refametinib,LOU-NH91
Tanespimycin,U-266
Osimertinib,DMS-79
Vinorelbine,ASH-3
Vorinostat,KNS-62
Buparlisib,C3A
Dabrafenib,KYSE-70
Tanespimycin,NB10
Bosutinib,KYSE-410
Bromosporine,GB-1
Talazoparib,MDA-MB-157
Buparlisib,NCI-H1869
Sinularin,SNU-C1
Docetaxel,EW-24
Dihydrorotenone,PANC-10-05
Docetaxel,LS-1034
Irinotecan,SCC90
Venetoclax,IGROV-1
Irinotecan,NCI-H64
Sinularin,EW-13
Refametinib,NCI-H211
Motesanib,SK-MM-2
Buparlisib,SNU-C1
Pictilisib,PANC-04-03
Afatinib,A673
Cediranib,LC-1-sq
Palbociclib,WM35
Venetoclax,NCI-H1703
Osimertinib,EJM
Bromosporine,OVK-18
Docetaxel,SAT
Motesanib,OVK-18
Dabrafenib,NUGC-4
Selumetinib,NCI-H1563
Osimertinib,NCI-H841
Venetoclax,CHSA0011
Afatinib,TE-8
Palbociclib,NCI-H226
Selumetinib,BT-483
Lapatinib,HuH-7
Ipatasertib,HuCCT1
Motesanib,CAL-78
Irinotecan,T98G
Palbociclib,GB-1
Tanespimycin,HSC-4
Lapatinib,SNG-M
Buparlisib,HPAC
Teniposide,KYSE-520
Dasatinib,KNS-81-FD
Irinotecan,HT-144
Vinorelbine,RERF-LC-KJ
Sinularin,PC-14
Pictilisib,CAL-78
Lapatinib,FLO-1
Vorinostat,YAPC
Tanespimycin,KNS-81-FD
Ipatasertib,KYSE-70
Sapitinib,NCI-H2141
Palbociclib,KYSE-450
Sinularin,SU8686
Sapitinib,MHH-NB-11
Afatinib,NCI-H660
Dabrafenib,PCI-6A
Palbociclib,KMRC-1
Bortezomib,J82
Dasatinib,A253
Savolitinib,CCK-81
Venetoclax,NCI-H226
Lapatinib,TE-5
Selumetinib,OE19
Bortezomib,NCI-H2196
Tanespimycin,EW-11
MK-2206,HCC2218
Docetaxel,NCI-H747
Cediranib,NCI-H2023
Sapitinib,L-428
Paclitaxel,OVCAR-5
Sapitinib,PSN1
Vinorelbine,ML-1
Dabrafenib,MDA-MB-231
Dihydrorotenone,CAL-120
Bosutinib,NCI-H841
Docetaxel,PEO1
Bosutinib,OVCAR-3
Cediranib,SU8686
Bosutinib,NCI-H1623
Pictilisib,RCC-AB
Ipatasertib,OV-56
Docetaxel,NCI-H835
Venetoclax,DSH1
Sinularin,KP-1N
Pictilisib,C3A
Docetaxel,SCC90
Ipatasertib,GI-1
Talazoparib,PANC-10-05
Cediranib,NCI-H226
Selumetinib,SISO
Ibrutinib,UACC-62
Motesanib,SW948
Osimertinib,KP-2
Refametinib,OAW-28
Dihydrorotenone,NB(TU)1-10
Ribociclib,NCI-H2342
Motesanib,NCI-H2023
Dasatinib,LS-513
Palbociclib,NUGC-4
Taselisib,SUP-M2
MK-2206,MFE-319
Ibrutinib,8-MG-BA
Dihydrorotenone,KU-19-19
Dihydrorotenone,NOMO-1
Refametinib,SBC-3
Ipatasertib,no-11
Savolitinib,KNS-62
Venetoclax,HCC-44
Lapatinib,NCI-H2085
Ibrutinib,ML-1
Venetoclax,NCI-H292
Ribociclib,DMS-79
Cediranib,NCI-H441
Tanespimycin,NALM-6
Vorinostat,SK-MG-1
Vorinostat,KYSE-410
Bromosporine,NUGC-3
Dihydrorotenone,OACM5-1
Palbociclib,EPLC-272H
Talazoparib,U-87-MG
Docetaxel,SK-LU-1
MK-2206,HPAC
Bosutinib,RCC-AB
Selumetinib,CADO-ES1
Ibrutinib,MPP-89
Osimertinib,SNU-398
Irinotecan,PANC-03-27
Selumetinib,TK
Lapatinib,SW626
Paclitaxel,SK-MM-2
Irinotecan,HPAC
Teniposide,HCC1806
Motesanib,SK-MEL-1
Selumetinib,NCI-H2405
Taselisib,KELLY
Vorinostat,TE-6
Osimertinib,MG-63
Buparlisib,MPP-89
Vorinostat,PCI-30
Venetoclax,HLE
Ribociclib,MFM-223
Paclitaxel,SK-MG-1
Dasatinib,NCI-H250
Paclitaxel,NCI-H810
Pictilisib,DK-MG
Palbociclib,CAL-33
Irinotecan,NCI-H810
Irinotecan,C3A
Cediranib,NCI-H1944
Trametinib,KP-1N
Teniposide,SNU-1040
Selumetinib,KARPAS-1106P
Pictilisib,NCI-H2342
Osimertinib,NCI-H3122
Savolitinib,SW1463
Osimertinib,KY821
Taselisib,NCI-H2085
Selumetinib,PCI-30
Savolitinib,no-11
Buparlisib,H3255
Lapatinib,NCI-H660
Ibrutinib,SKN
Dasatinib,A101D
Tretinoin,OVK-18
Talazoparib,KMRC-20
Docetaxel,KP-3
Ribociclib,RF-48
Irinotecan,769-P
Bosutinib,ES4
Selumetinib,EVSA-T
Afatinib,SW962
Bortezomib,SNU-C1
Cediranib,PEO1
Docetaxel,Mo-T
Savolitinib,EW-16
MK-2206,KYSE-180
Lapatinib,TGBC1TKB
Vorinostat,JIMT-1
Dihydrorotenone,DMS-79
Ibrutinib,42-MG-BA
Palbociclib,SK-MM-2
Tanespimycin,NCI-H345
Vorinostat,TE-12
Savolitinib,SUP-T1
Sapitinib,NCI-H2023
Tanespimycin,ML-1
Buparlisib,SAT
Paclitaxel,KMRC-1
Taselisib,JSC-1
Trametinib,HeLa
Pictilisib,PSN1
Ipatasertib,NB14
Ribociclib,NCI-H345
Bosutinib,NCI-H1688
Sapitinib,EW-24
Dasatinib,KYAE-1
Vorinostat,FADU
Irinotecan,HCT-15
Talazoparib,TE-8
Docetaxel,SNU-C1
Bromosporine,786-0
Taselisib,NCI-H2347
Motesanib,CTB-1
Vorinostat,C32
Dabrafenib,EW-7
Ipatasertib,GAMG
Osimertinib,TOV-21G
Ribociclib,IGR-37
Methotrexate,HLE
Vinorelbine,HCC-827
Sapitinib,Mo-T
Vinorelbine,T84
Paclitaxel,ML-1
Vinorelbine,NB(TU)1-10
Trametinib,CRO-AP2
Bromosporine,KP-2
Trametinib,LNZTA3WT4
Vinorelbine,KYSE-140
Pictilisib,SK-N-AS
Methotrexate,MDA-MB-231
Taselisib,HCC1395
Taselisib,RH-1
Docetaxel,HCC2218
Bromosporine,KP-3
Paclitaxel,ESO51
Trametinib,BICR78
Venetoclax,ML-1
Pictilisib,OE19
Bortezomib,FU-OV-1
Dasatinib,MHH-CALL-4
Dasatinib,UACC-62
Afatinib,MFM-223
Bortezomib,HCC1428
Trametinib,786-0
Ibrutinib,CCRF-CEM
Docetaxel,TK10
MK-2206,BICR78
Bosutinib,KURAMOCHI
Dasatinib,MOLT-16
Vorinostat,FU-OV-1
Motesanib,CAS-1
Buparlisib,SK-MEL-3
Lapatinib,HeLa
Talazoparib,HOS
MK-2206,MFH-ino
Dasatinib,SJSA-1
Afatinib,D-392MG
Selumetinib,TE-8
Buparlisib,SW1417
Docetaxel,PSN1
Pictilisib,SK-MEL-1
Buparlisib,PEO1
Ribociclib,FADU
Ribociclib,639-V
Bromosporine,TK10
Docetaxel,KP-2
Dabrafenib,EW-3
Paclitaxel,HCC1428
MK-2206,639-V
Talazoparib,L-363
Pictilisib,SKN
Sapitinib,SW948
Afatinib,JIMT-1
Refametinib,no-10
Vorinostat,HCC1395
Bortezomib,NCI-H2228
Refametinib,SW962
Lapatinib,OVCAR-3
Venetoclax,NCI-H841
Ribociclib,NCI-H2347
Taselisib,SNU-61
Vorinostat,HCT-15
Taselisib,IPC-298
Selumetinib,YAPC
MK-2206,SKG-IIIa
Vorinostat,DOV13
Sinularin,KM-H2
Lapatinib,YH-13
Bortezomib,SW1417
Docetaxel,JHH-2
Lapatinib,NCI-H1436
Venetoclax,SCC-15
Sapitinib,TC-YIK
Dihydrorotenone,NUGC-4
Refametinib,SBC-5
Irinotecan,CAL-78
Bromosporine,NCI-H2228
Afatinib,KNS-81-FD
MK-2206,no-11
Vinorelbine,NCI-H1435
Trametinib,FU-OV-1
Pictilisib,SW1463
Refametinib,HCC-827
Taselisib,NCI-H810
Venetoclax,639-V
Lapatinib,CAPAN-1
Selumetinib,NCI-H1341
Docetaxel,YAPC
Dabrafenib,SNU-387
Selumetinib,KYSE-410
Talazoparib,HTC-C3
Bosutinib,A253
Buparlisib,SK-MEL-5
Palbociclib,BxPC-3
Motesanib,JHH-2
Dasatinib,ML-2
Ibrutinib,KMOE-2
Motesanib,HCC1428
Refametinib,NCI-H841
Dabrafenib,HCC1428
Vorinostat,HCC70
Bosutinib,DMS-79
Dasatinib,EJM
Teniposide,RERF-LC-KJ
Ipatasertib,RCC-AB
Taselisib,CAMA-1
MK-2206,HOS
Ibrutinib,MZ2-MEL
Bortezomib,EW-13
Cediranib,OV-56
Talazoparib,MKN45
Pictilisib,SNU-61
Refametinib,Jurkat
Dabrafenib,OACM5-1
Dihydrorotenone,SW1271
Bortezomib,NCI-H1792
Methotrexate,COR-L321
Vorinostat,no-11
Dihydrorotenone,NCI-H1435
Irinotecan,BxPC-3
Trametinib,NCI-H2085
Dasatinib,RPMI-8226
MK-2206,D-392MG
Teniposide,MFM-223
Selumetinib,NCI-H841
Ibrutinib,C3A
Vorinostat,SU8686
Docetaxel,PSN1
Dihydrorotenone,UACC-62
Talazoparib,MDA-MB-231
MK-2206,SW13
Methotrexate,FU97
Pictilisib,TK
Teniposide,RCM-1
Afatinib,LXF-289
Selumetinib,NCI-H1563
Palbociclib,NCI-H2141
Afatinib,HCC70
Vinorelbine,DBTRG-05MG
Docetaxel,IST-SL2
Afatinib,HSC-4
Ribociclib,WM-115
Ribociclib,TE-6
Sapitinib,L-363
Cediranib,NCI-H661
MK-2206,OVCA420
Palbociclib,639-V
Savolitinib,OE19
Motesanib,HPAC
Irinotecan,HCC-15
Vorinostat,CAPAN-1
Teniposide,EN
Teniposide,HCC-827
Dasatinib,NCI-H211
Trametinib,OACM5-1
Irinotecan,SK-MEL-30
Osimertinib,CAPAN-1
Pictilisib,LB373-MEL-D
Osimertinib,DMS-114
Selumetinib,LU-135
Bortezomib,NCI-H1436
Sinularin,OVCAR-3
Bortezomib,NCI-H1581
Buparlisib,MSTO-211H
Selumetinib,BB65-RCC
Vinorelbine,HuCCT1
Lapatinib,SBC-5
Talazoparib,KU-19-19
Bosutinib,SBC-5
Dihydrorotenone,SAT
Teniposide,D-392MG
Pictilisib,no-11
Ribociclib,PANC-04-03
Ipatasertib,TK
Sinularin,D-392MG
Afatinib,Becker
Afatinib,WM278
Docetaxel,HCC-827
Savolitinib,SK-MM-2
Trametinib,NCI-H23
Venetoclax,PANC-03-27
Dabrafenib,SU8686
Selumetinib,BEN
Tretinoin,NCI-H292
Tanespimycin,JHH-4
Ribociclib,Hey
Cediranib,ChaGo-K-1
Methotrexate,NCI-H2141
Tanespimycin,SK-N-AS
Lapatinib,TE-8
Buparlisib,DOV13
Tanespimycin,KYSE-70
Motesanib,HuCCT1
Motesanib,SK-MEL-30
Sapitinib,KY821
Bosutinib,JIMT-1
Selumetinib,NCI-H810
Ribociclib,NCI-H2405
Vinorelbine,769-P
Vinorelbine,OVCAR-4
Bromosporine,NCI-H226
Bosutinib,JHH-1
Venetoclax,GB-1
Ribociclib,OV-7
Pictilisib,YAPC
Savolitinib,BICR78
Talazoparib,NUGC-4
Dasatinib,EW-16
Vorinostat,ESO51
Dabrafenib,MS751
Venetoclax,SK-OV-3
Sinularin,HCC1428
Taselisib,SKN
Vinorelbine,BEN
Cediranib,IGR-37
Dihydrorotenone,DAN-G
Ibrutinib,KU-19-19
Paclitaxel,CAL-120
Docetaxel,NCI-H2228
Tanespimycin,IGR-37
Lapatinib,HCC1428
Sapitinib,NCI-H441
Ibrutinib,MFE-319
Ribociclib,SCC90
Venetoclax,SJSA-1
Motesanib,TK10
Dabrafenib,PANC-08-13
Pictilisib,TOV-21G
Afatinib,FU-OV-1
Irinotecan,EFM-192A
Buparlisib,MDA-MB-157
Bromosporine,FLO-1
Irinotecan,MFE-319
Teniposide,Ca9-22
Vorinostat,JHH-2
Savolitinib,DoTc2-4510
Cediranib,NCI-H1623
Osimertinib,GB-1
Sinularin,Mo-T
Trametinib,OE19
Talazoparib,786-0
Ribociclib,RPMI-6666
Talazoparib,OVCAR-5
Irinotecan,OVCA420
Dihydrorotenone,NCC010
Selumetinib,KYSE-140
Venetoclax,OACM5-1
Venetoclax,HCC1428
Selumetinib,NCI-H810
Paclitaxel,OV-56
Talazoparib,Ca9-22
MK-2206,YAPC
Dasatinib,NCI-H841
Osimertinib,A101D
Venetoclax,SKN
Tanespimycin,BT-20
Vorinostat,SCC-15
Refametinib,T98G
Sapitinib,NCI-H2085
Bosutinib,COR-L95
Irinotecan,OVCAR-5
Ipatasertib,HCC1428
Dasatinib,EW-24
Ribociclib,OE19
Venetoclax,KU-19-19
Vorinostat,NCI-N87
Bromosporine,SK-CO-1
Teniposide,C3A
Methotrexate,NCI-H841
Ribociclib,CAPAN-1
Talazoparib,NCI-H1435
Dabrafenib,PC-14
Teniposide,OSC-20
Docetaxel,BxPC-3
Lapatinib,OVCAR-5
Ibrutinib,MKN1
Vinorelbine,SW1271
MK-2206,KNS-62
Ibrutinib,SU-DHL-1
Sapitinib,WM-115
Sinularin,IGR-37
Methotrexate,OSC-20
Pictilisib,CAPAN-1
Vinorelbine,NCI-H2228
Savolitinib,RCM-1
Vorinostat,RERF-LC-KJ
Sapitinib,COR-L32
Docetaxel,NCI-H1781
Bromosporine,NCI-H345
Refametinib,SIG-M5
Palbociclib,KURAMOCHI
Bromosporine,C3A
Selumetinib,KYSE-180
Pictilisib,CHP-134
Docetaxel,MSTO-211H
Dabrafenib,BT-483
Palbociclib,ASH-3
Trametinib,NCI-H226
Teniposide,KYSE-50
Lapatinib,NCI-H1563
Methotrexate,BB65-RCC
Selumetinib,OV-56
Refametinib,EW-13
Dabrafenib,786-0
Teniposide,KP-1N
Refametinib,COR-L321
Docetaxel,SW962
Refametinib,TE-6
Motesanib,RERF-LC-KJ
Taselisib,LOU-NH91
Sapitinib,CRO-AP2
Irinotecan,SNU-423
Methotrexate,NCI-H2405
Pictilisib,PANC-08-13
Irinotecan,OVCAR-4
Vorinostat,JHH-4
Afatinib,VA-ES-BJ
Motesanib,PANC-04-03
Ibrutinib,KM-H2
Afatinib,SK-LU-1
Buparlisib,IPC-298
Bortezomib,WM-115
Bromosporine,CaR-1
Tanespimycin,LB373-MEL-D
Ribociclib,PA-TU-8902
Ribociclib,SW156
Cediranib,EFM-192A
Bosutinib,CAL-27
Lapatinib,BxPC-3
Selumetinib,NCI-H661
Motesanib,NCI-H2291
Motesanib,HCC-44
Dasatinib,CP50-MEL-B
Taselisib,NCI-H2405
