+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
| Rank |                                                                                                                                                     Drug Name                                                                                                                                                      | Target Name | Interaction | Probability |
|  39  |                                                                                                               (5Z)-2-[(2-bromophenyl)methylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                               |    PCBD1    |     YES     |     1.00    |
|  40  |                                                                                                                                                      Ixazomib                                                                                                                                                      |     CYBA    |     YES     |     1.00    |
|  41  |                                                                                                                                                      Ixazomib                                                                                                                                                      |    LITAF    |     YES     |     1.00    |
|  42  |                                                                                                                                                     Lovastatin                                                                                                                                                     |  TNFRSF12A  |     YES     |     1.00    |
|  43  |                                                                                                                                                     Dinaciclib                                                                                                                                                     |    LITAF    |     YES     |     1.00    |
|  44  |                                                                                                                                           Bisindolylmaleimide deriv. 42                                                                                                                                            |   IGLV1-44  |     YES     |     1.00    |
|  45  |                                                                                                                                               Pharmakon1600-01504008                                                                                                                                               |    MB21D2   |     YES     |     1.00    |
|  46  |                                                                                                               (5Z)-2-[(2-bromophenyl)methylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                               |    SGMS2    |     YES     |     1.00    |
|  47  |                                                                                                                                                    Avagacestat                                                                                                                                                     |    ELOVL5   |     YES     |     1.00    |
|  48  |                                                                                                                     6-(3-Aminopropyl)-5,11-dioxo-11H-i ndeno[1,2-c]isoquinoline Hydrochloride                                                                                                                      |    HMGCR    |     YES     |     1.00    |
|  49  |                                                                                                                        iH-Pyrano[3',7]indolizino[1,2-b]quinoline,4-aminobenzoic acid deriv.                                                                                                                        |    ZNF512   |     YES     |     1.00    |
|  50  |                                                                                                                                                      Ixazomib                                                                                                                                                      |   ADAMTS1   |     YES     |     1.00    |
|  51  |                                                                                                                   N-(3-bromophenyl)-6,7-dimethoxyquinazolin-4-amine;2-hydroxyethanesulfonic acid                                                                                                                   |     MAL2    |     YES     |     1.00    |
|  52  |                                                                                                                                                  M2698 free base                                                                                                                                                   |    ZNF512   |     YES     |     1.00    |
|  53  |                                                                                                                                                  Cep-28122 (alk)                                                                                                                                                   |    BACE2    |     YES     |     1.00    |
|  54  |                                                                                                                             6-(3-Azidopropyl)5,11-dioxo-11H-i ndeno[1,2-c]isoquinoline                                                                                                                             |     BAX     |     YES     |     1.00    |
|  55  |                                                                                                 6-(2,4-Difluorophenoxy)-8-(2-methanesulfonyl-ethyl)-2-(tetrahydro-pyran-4-ylamino)-8H-pyrido[2,3-d]pyrimidin-7-one                                                                                                 |    SGMS2    |     YES     |     1.00    |
|  56  |                                                                                                                             6-(3-Azidopropyl)5,11-dioxo-11H-i ndeno[1,2-c]isoquinoline                                                                                                                             |   SLC43A3   |     YES     |     1.00    |
|  57  |                                                                                                                                                    Daniquidone                                                                                                                                                     |    RPS4Y1   |     YES     |     1.00    |
|  58  |                                                                                                                                                    Simvastatin                                                                                                                                                     |  TNFRSF12A  |     YES     |     1.00    |
|  59  |                                                                                                                                                     Alectinib                                                                                                                                                      |    TMEM47   |     YES     |     1.00    |
|  60  |                                                                                                                            1H-Pyrano[3',7]indolizino[1,2-b]quinoline,tryptophan deriv.                                                                                                                             |    ZNF512   |     YES     |     1.00    |
|  61  |                                                                                                                                             Camptothecin lysinate HCl                                                                                                                                              |    ZNF512   |     YES     |     1.00    |
|  62  |                                                                                                                    5-(2-Chlorophenyl)-7-nitro-2,10-dihydrobenzo[e]pyrazolo[4,3-b][1,4]diazepine                                                                                                                    |    LITAF    |     YES     |     1.00    |
|  63  |                                                                                                                                                     Tretinoin                                                                                                                                                      |   ALDH1A1   |     YES     |     1.00    |
|  64  |                                                                                                                                       2-Methylellipticinium methanesulfonate                                                                                                                                       |     SDC4    |     YES     |     1.00    |
|  65  |                                                                                                                                               bisindolylmaleimide IX                                                                                                                                               |    LITAF    |     YES     |     1.00    |
|  66  |                                                                                                                                                     Brigatinib                                                                                                                                                     |    TMEM47   |     YES     |     1.00    |
|  67  |                                                                                                     2-((2-fluoro-4-iodophenyl)amino)-N-(2-hydroxyethoxy)-1,5-dimethyl-6-oxo-1,6-dihydropyridine-3-carboxamide                                                                                                      |     SDC4    |     YES     |     1.00    |
|  68  |                                                                                                                                                     Lovastatin                                                                                                                                                     |    GPR39    |     YES     |     1.00    |
|  69  |                                                                                                                                          cyclo(-(R)-b2hPhe-D-Pro-Lys-Phe)                                                                                                                                          |    SGMS2    |     YES     |     1.00    |
|  70  |                                                                                                                                                   Ridaforolimus                                                                                                                                                    |    MB21D2   |     YES     |     1.00    |
|  71  |                                                                                                                                                     Sunitinib                                                                                                                                                      |    TMEM47   |     YES     |     1.00    |
|  72  |                                                                                                                                          42-O-(2-hydroxyethyl)rapamycin)                                                                                                                                           |    MB21D2   |     YES     |     1.00    |
|  73  |                                                                                                              6-bromo-3-(1-methyl-1H-pyrazol-4-yl)-5-(piperidin-3-yl)pyrazolo[1,5-a]pyrimidin-7-amine                                                                                                               |     BAX     |     YES     |     1.00    |
|  74  |                                                                                                                                                  PharmaGSID_48505                                                                                                                                                  |    LITAF    |     YES     |     1.00    |
|  75  |                                                                                                                                          cyclo(-(R)-b2hPhe-D-Pro-Lys-Phe)                                                                                                                                          |     LSR     |     YES     |     1.00    |
|  76  |                                                                                                                                           Bisindolylmaleimide deriv. 9a                                                                                                                                            |     SDC4    |     YES     |     1.00    |
|  77  |                                                                                                                                                     Defactinib                                                                                                                                                     |    HMGCR    |     YES     |     1.00    |
|  78  |                                                                                                                             6-(3-Azidopropyl)5,11-dioxo-11H-i ndeno[1,2-c]isoquinoline                                                                                                                             |    HMGCR    |     YES     |     1.00    |
|  79  |                                                                                                                                          cyclo(-(R)-b2hPhe-D-Pro-Lys-Phe)                                                                                                                                          |    ABLIM1   |     YES     |     1.00    |
|  80  |                                                                                                                                                     Bms-911543                                                                                                                                                     |  TNFRSF10A  |     YES     |     1.00    |
|  81  |                                                                                                                                                    Onametostat                                                                                                                                                     |   CRACR2A   |     YES     |     1.00    |
|  82  |                                                                                                                       6-(3-Iodopropyl)-9-methoxy-3-nitroindeno[1,2-c]isoquinoline-5,11-dione                                                                                                                       |     SPP1    |     YES     |     1.00    |
|  83  |                                                                                    3-(1-Methyl-1H-indol-3-yl)-4-[[6,7,8,9-tetrahydro-12-methyl-7beta,8alpha-(methaniminomethano)pyrido[1,2-a]indol]-10-yl]-1H-pyrrole-2,5-dione                                                                                    |    ENDOD1   |     YES     |     1.00    |
|  84  |                                                                                                                                         (Phenylindolyl)maleimide deriv. 77                                                                                                                                         |    TGFBI    |     YES     |     1.00    |
|  85  |                                                                                                                                                  Zoledronic acid                                                                                                                                                   |    TEAD1    |     YES     |     1.00    |
|  86  |                                                                                                                                           Bisindolylmaleimide deriv. 40                                                                                                                                            |    TIMP2    |     YES     |     1.00    |
|  87  |                                                                                                           N-(3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide                                                                                                            |   SLC43A3   |     YES     |     1.00    |
|  88  |                                                                                                                                           Bisindolylmaleimide deriv. 40                                                                                                                                            |    PYGO1    |     YES     |     1.00    |
|  89  |                                                                                                                                                    Avagacestat                                                                                                                                                     |    ENDOD1   |     YES     |     1.00    |
|  90  |                                                                                                              1-[3-[3-[4-(1-Methylindol-3-yl)-2,5-dioxopyrrol-3-yl]indol-1-yl]propyl]-2-nitroguanidine                                                                                                              |    LITAF    |     YES     |     1.00    |
|  91  |                                                                                         4-{[(7r)-8-Cyclopentyl-7-Ethyl-5-Methyl-6-Oxo-5,6,7,8-Tetrahydropteridin-2-Yl]amino}-3-Methoxy-N-(1-Methylpiperidin-4-Yl)benzamide                                                                                         |     NRN1    |     YES     |     1.00    |
|  92  |                                                                                                                                                    Spiromustine                                                                                                                                                    |    HMGCR    |     YES     |     1.00    |
|  93  |                                                                                                                                                    Fenretinide                                                                                                                                                     |     NRN1    |     YES     |     1.00    |
|  94  |                                                                                                 6-(2,4-Difluorophenoxy)-8-(2-methanesulfonyl-ethyl)-2-(tetrahydro-pyran-4-ylamino)-8H-pyrido[2,3-d]pyrimidin-7-one                                                                                                 |    AJUBA    |     YES     |     1.00    |
|  95  |                                                                                                                   N-(3-bromophenyl)-6,7-dimethoxyquinazolin-4-amine;2-hydroxyethanesulfonic acid                                                                                                                   |     RPL3    |     YES     |     1.00    |
|  96  |                                                                                                                   3-(1,5-Dimethyl-1H-indol-3-yl)-4-(1-methyl-1H-indol-3-yl)-1H-pyrrole-2,5-dione                                                                                                                   |     CD24    |     YES     |     1.00    |
|  97  |                                                                                             4-(carboxymethyl)-2-((R)-1-(2-(2,5-dichlorobenzamido)acetamido)-3-methylbutyl)-6-oxo-1,3,2-dioxaborinane-4-carboxylic acid                                                                                             |    SGMS2    |     YES     |     1.00    |
|  98  |                                                                                                                                                     Mivebresib                                                                                                                                                     |    RBM24    |     YES     |     1.00    |
|  99  |                                                                                                                N-(2-aminophenyl)-4-[3-(3-methyl-2,5-dioxoimidazolidin-1-yl)prop-1-en-2-yl]benzamide                                                                                                                |    LITAF    |     YES     |     1.00    |
| 100  |                                                                                                                                               Bisindolylmaleimide 13                                                                                                                                               |    TMEM47   |     YES     |     1.00    |
| 101  |                                                                                                                                                     Alpelisib                                                                                                                                                      |    HMGCR    |     YES     |     1.00    |
| 102  |                                                                                                          5-(5,6-Dimethoxy-1-benzimidazolyl)-3-[[2-(trifluoromethyl)phenyl]methoxy]-2-thiophenecarboxamide                                                                                                          |    HMGCR    |     YES     |     1.00    |
| 103  |                                                                                               1-methyl-5-[2-[5-(trifluoromethyl)-1H-imidazol-2-yl]pyridin-4-yl]oxy-N-[4-(trifluoromethyl)phenyl]benzimidazol-2-amine                                                                                               |     BRAF    |     YES     |     1.00    |
| 104  |                                                                                         (R)-5-(6-((4-methylpiperazin-1-yl)methyl)-1H-benzo[d]imidazol-1-yl)-3-(1-(2-(trifluoromethyl)phenyl)ethoxy)thiophene-2-carboxamide                                                                                         |    LITAF    |     YES     |     1.00    |
| 105  |                                                                                                                                                     Volasertib                                                                                                                                                     |     BAX     |     YES     |     1.00    |
| 106  |                                                                                                                                                    Avagacestat                                                                                                                                                     |     MIF     |     YES     |     1.00    |
| 107  |                                                                                                                                                     Sunitinib                                                                                                                                                      |    LITAF    |     YES     |     1.00    |
| 108  |                                                                                                                                               PF-00562271 free base                                                                                                                                                |  TNFRSF10A  |     YES     |     1.00    |
| 109  |                                                                                                                                               Bisindolylmaleimide 7                                                                                                                                                |    ALCAM    |     YES     |     1.00    |
| 110  |                                                                                                                                                     Trametinib                                                                                                                                                     |     MIF     |     YES     |     1.00    |
| 111  |                                                                                                                    4-N-(3-bromophenyl)pyrido[4,3-d]pyrimidine-4,7-diamine;methanesulfonic acid                                                                                                                     |    PCBD1    |     YES     |     1.00    |
| 112  |                                                                                                                                                     Ribociclib                                                                                                                                                     |    LITAF    |     YES     |     1.00    |
| 113  |                                                                                                                                                    Vemurafenib                                                                                                                                                     |     NRN1    |     YES     |     1.00    |
| 114  |                                                                                                                          3-(1,7-Dimethylindol-3-yl)-4-(3-methoxyphenyl)pyrrole-2,5-dione                                                                                                                           |    LITAF    |     YES     |     1.00    |
| 115  |                                                                                                                                                     Xevinapant                                                                                                                                                     |    NCKAP1   |     YES     |     1.00    |
| 116  |                                                                                    3-(1-Methyl-1H-indol-3-yl)-4-[[6,7,8,9-tetrahydro-12-methyl-7beta,8alpha-(methaniminomethano)pyrido[1,2-a]indol]-10-yl]-1H-pyrrole-2,5-dione                                                                                    |    ELOVL5   |     YES     |     1.00    |
| 117  |                                                                                    3-(1-Methyl-1H-indol-3-yl)-4-[[6,7,8,9-tetrahydro-12-methyl-7beta,8alpha-(methaniminomethano)pyrido[1,2-a]indol]-10-yl]-1H-pyrrole-2,5-dione                                                                                    |    ELOVL5   |     YES     |     1.00    |
| 118  |                                                                                                                                                     Lovastatin                                                                                                                                                     |    FXYD5    |     YES     |     1.00    |
| 119  |                                                                                                                                                     Alectinib                                                                                                                                                      |   APBB1IP   |     YES     |     1.00    |
| 120  |                                                                                                                        N-(2-amino-phenyl)-4-(1-{[benzyl(methyl)amino]methyl}vinyl)benzamide                                                                                                                        |    LITAF    |     YES     |     1.00    |
| 121  |                                                                                                                                                     Nazartinib                                                                                                                                                     |    RAB32    |     YES     |     1.00    |
| 122  |                                                                                                                                          (Arylindolyl)maleimide deriv. 15                                                                                                                                          |    RPS4Y1   |     YES     |     1.00    |
| 123  |                                                                                                           N-(3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide                                                                                                            |     BRAF    |     YES     |     1.00    |
