,Term,Adjusted P-value,Genes,drug
14,Estrogen Response Late,0.0425254638363837,RET;CA2;PGR;HPRT1,762
16,Glycolysis,0.0425254638363837,CDK1;MERTK;EGFR;AURKA,762
0,Epithelial Mesenchymal Transition,0.0015112236873581,SFRP4;POSTN;COL3A1;MMP1;MGP;MMP3;BGN,1390
1,Allograft Rejection,0.0058308430166208,CD8B;SIT1;CD7;CD3E;CD3D;ELANE,1390
2,Angiogenesis,0.0058893572575995,POSTN;COL3A1;PRG2,1390
0,Allograft Rejection,0.0016426344427806,CD8B;SIT1;IL1B;CD7;CD3E;CD3D;ELANE,1895
1,KRAS Signaling Up,0.0415477681092269,SERPINA3;ABCB1;FCER1G;IL1B;IGF2,1895
0,Allograft Rejection,0.0019054559536255,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,3053
1,Epithelial Mesenchymal Transition,0.0481954110067032,SFRP4;COL3A1;MMP1;MGP;MMP3,3053
0,Complement,2.4673931979253548e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,3088
1,UV Response Up,2.4904378188792658e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,3088
2,Allograft Rejection,0.0008541699102459143,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,3088
3,PI3K/AKT/mTOR  Signaling,0.001791033052569,MAP2K3;LCK;CDK1;RAF1;EGFR,3088
4,E2F Targets,0.0032956938789596,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,3088
5,Xenobiotic Metabolism,0.0032956938789596,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,3088
6,UV Response Dn,0.0043737185597244,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,3088
7,Apical Junction,0.0144032262778653,KCNH2;SYK;CDH11;MAPK14;EGFR,3088
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,3088
0,Complement,2.530659690179851e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,6396
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,6396
2,E2F Targets,0.0006570537771122417,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,6396
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,6396
4,UV Response Dn,0.0062802112652453,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,6396
5,PI3K/AKT/mTOR  Signaling,0.0127423536819,LCK;CDK1;RAF1;EGFR,6396
6,G2-M Checkpoint,0.0132952857949526,CHEK1;CDK1;NEK2;TTK;MAPK14,6396
7,Apical Junction,0.0132952857949526,KCNH2;SYK;CDH11;MAPK14;EGFR,6396
8,Xenobiotic Metabolism,0.0132952857949526,ALDH2;CA2;AKR1C3;HPRT1;ESR1,6396
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,6396
10,Spermatogenesis,0.017172122705206,CDK1;NEK2;TTK;HSPA2,6396
11,DNA Repair,0.0227726054065545,POLE4;LIG1;HPRT1;ADA,6396
12,IL-2/STAT5 Signaling,0.0481955256812349,CA2;PIM1;AHR;HIPK2,6396
13,Estrogen Response Late,0.0481955256812349,RET;CA2;PGR;HPRT1,6396
14,Inflammatory Response,0.0481955256812349,AXL;LCK;AHR;RAF1,6396
0,Complement,2.554295198850529e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,8806
1,UV Response Up,2.554295198850529e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,8806
2,PI3K/AKT/mTOR  Signaling,0.0001932373848462474,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,8806
3,E2F Targets,0.0005256430216897934,WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,8806
4,Allograft Rejection,0.0005256430216897934,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,8806
5,G2-M Checkpoint,0.0028973133001842,CDK4;CHEK1;CDK1;TTK;MAPK14;AURKA,8806
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,8806
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,8806
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,8806
8,Apical Junction,0.0132952857949526,KCNH2;SYK;CDH11;MAPK14;EGFR,8806
10,Spermatogenesis,0.017172122705206,CDK1;TTK;HSPA2;AURKA,8806
11,Androgen Response,0.0401629380676957,STK39;PTK2B;MERTK,8806
12,Mitotic Spindle,0.0401629380676957,CDK1;TTK;MARK4;AURKA,8806
13,TNF-alpha Signaling via NF-kB,0.0401629380676957,MAP2K3;PLK2;SIK1;PTGS2,8806
14,Estrogen Response Late,0.0401629380676957,RET;CA2;PGR;HPRT1,8806
15,Myc Targets V1,0.0401629380676957,HDAC2;CDK4;RUVBL2;HPRT1,8806
16,Inflammatory Response,0.0401629380676957,AXL;LCK;AHR;RAF1,8806
17,Glycolysis,0.0401629380676957,CDK1;MERTK;EGFR;AURKA,8806
0,Complement,1.4854568298941343e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,9706
1,E2F Targets,1.4854568298941343e-05,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,9706
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,9706
3,G2-M Checkpoint,0.0005387840972320382,PLK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,9706
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,9706
5,Spermatogenesis,0.0040055331988307,CDK1;NEK2;TTK;HSPA2;AURKA,9706
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,9706
7,PI3K/AKT/mTOR  Signaling,0.0097956843929607,LCK;CDK1;RAF1;EGFR,9706
11,KRAS Signaling Up,0.0113563899498553,MAP4K1;CA2;PTGS2;EPHB2;CTSS,9706
10,Xenobiotic Metabolism,0.0113563899498553,ALDH2;CA2;AKR1C3;HPRT1;ESR1,9706
8,Estrogen Response Late,0.0113563899498553,PLK4;RET;CA2;PGR;HPRT1,9706
9,Apical Junction,0.0113563899498553,KCNH2;SYK;CDH11;MAPK14;EGFR,9706
12,DNA Repair,0.0215463881923554,POLE4;LIG1;HPRT1;ADA,9706
15,Inflammatory Response,0.0435886004322933,AXL;LCK;AHR;RAF1,9706
13,Mitotic Spindle,0.0435886004322933,CDK1;NEK2;TTK;AURKA,9706
14,IL-2/STAT5 Signaling,0.0435886004322933,CA2;PIM1;AHR;HIPK2,9706
16,Glycolysis,0.0435886004322933,CDK1;MERTK;EGFR;AURKA,9706
0,Complement,0.0002908385759771635,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,14229
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,14229
2,E2F Targets,0.0006570537771122417,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,14229
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,14229
4,Xenobiotic Metabolism,0.0040562386202579,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,14229
5,UV Response Dn,0.0052335093877044,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,14229
6,Apical Junction,0.0166191072436907,KCNH2;SYK;CDH11;MAPK14;EGFR,14229
7,KRAS Signaling Up,0.0166191072436907,MAP4K1;CA2;PTGS2;EPHB2;CTSS,14229
8,DNA Repair,0.030363473875406,POLE4;LIG1;HPRT1;ADA,14229
0,Allograft Rejection,0.001774045198203,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,19893
1,Epithelial Mesenchymal Transition,0.0068449026716853,POSTN;COL3A1;MMP1;MGP;MMP3;BGN,19893
2,Angiogenesis,0.0069135933023994,POSTN;COL3A1;PRG2,19893
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,24559
1,E2F Targets,0.0008760717028163224,POLE4;WEE1;MELK;CHEK1;CDK1;DCK;AURKA,24559
2,Allograft Rejection,0.0008760717028163224,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,24559
3,UV Response Up,0.0014288761876125,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,24559
4,PI3K/AKT/mTOR  Signaling,0.001469565581595,MAP2K3;LCK;CDK1;RAF1;EGFR,24559
5,G2-M Checkpoint,0.0028973133001842,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,24559
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,24559
7,Spermatogenesis,0.0029308779503639,CDK1;NEK2;TTK;HSPA2;AURKA,24559
8,UV Response Dn,0.0034890062584696,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,24559
9,Apical Junction,0.0120866234499569,KCNH2;SYK;CDH11;MAPK14;EGFR,24559
10,KRAS Signaling Up,0.0120866234499569,MAP4K1;CA2;PTGS2;EPHB2;CTSS,24559
11,Androgen Response,0.0451833053261577,STK39;PTK2B;MERTK,24559
12,Mitotic Spindle,0.0451833053261577,CDK1;NEK2;TTK;AURKA,24559
13,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,24559
14,Estrogen Response Late,0.0451833053261577,RET;CA2;PGR;HPRT1,24559
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,24559
0,Complement,0.0002908385759771635,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,25154
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,25154
2,E2F Targets,0.0006570537771122417,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,25154
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,25154
4,Xenobiotic Metabolism,0.0040562386202579,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,25154
5,UV Response Dn,0.0052335093877044,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,25154
6,PI3K/AKT/mTOR  Signaling,0.0109220174416286,MAP2K3;LCK;CDK1;EGFR,25154
7,G2-M Checkpoint,0.0132952857949526,CHEK1;CDK1;NEK2;TTK;MAPK14,25154
8,Apical Junction,0.0132952857949526,KCNH2;SYK;CDH11;MAPK14;EGFR,25154
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,25154
10,Spermatogenesis,0.017172122705206,CDK1;NEK2;TTK;HSPA2,25154
11,DNA Repair,0.0227726054065545,POLE4;LIG1;HPRT1;ADA,25154
12,IL-2/STAT5 Signaling,0.0481955256812349,CA2;PIM1;AHR;HIPK2,25154
13,TNF-alpha Signaling via NF-kB,0.0481955256812349,MAP2K3;PLK2;SIK1;PTGS2,25154
14,Estrogen Response Late,0.0481955256812349,RET;CA2;PGR;HPRT1,25154
0,Allograft Rejection,0.0001915163481819208,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,26271
1,Angiogenesis,0.0099863014367991,POSTN;COL3A1;PRG2,26271
2,Epithelial Mesenchymal Transition,0.0216048394167979,POSTN;COL3A1;MMP1;MMP3;BGN,26271
3,KRAS Signaling Up,0.0216048394167979,SERPINA3;IL1B;TSPAN7;IGF2;IL2RG,26271
4,IL-6/JAK/STAT3 Signaling,0.0493538259332646,IL1B;PLA2G2A;IL2RG,26271
0,Complement,0.0002835676115777344,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,26980
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,26980
2,E2F Targets,0.0006406274326844358,POLE4;WEE1;MELK;CHEK1;CDK1;DCK;AURKA,26980
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,26980
4,PI3K/AKT/mTOR  Signaling,0.0014328264420552,MAP2K3;LCK;MKNK1;CDK1;EGFR,26980
5,G2-M Checkpoint,0.0024717704092197,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,26980
6,Apical Junction,0.0024717704092197,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,26980
7,Xenobiotic Metabolism,0.0024717704092197,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,26980
8,Spermatogenesis,0.0025400942236487,CDK1;NEK2;TTK;HSPA2;AURKA,26980
9,UV Response Dn,0.0030616029918071,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,26980
10,KRAS Signaling Up,0.0117844578637079,MAP4K1;CA2;PTGS2;EPHB2;CTSS,26980
11,Androgen Response,0.0440537226930038,STK39;PTK2B;MERTK,26980
12,Mitotic Spindle,0.0440537226930038,CDK1;NEK2;TTK;AURKA,26980
13,TNF-alpha Signaling via NF-kB,0.0440537226930038,MAP2K3;PLK2;SIK1;PTGS2,26980
14,Estrogen Response Late,0.0440537226930038,RET;CA2;PGR;HPRT1,26980
15,Glycolysis,0.0440537226930038,CDK1;MERTK;EGFR;AURKA,26980
0,Epithelial Mesenchymal Transition,0.0008213172213903023,SFRP4;POSTN;COL3A1;MMP1;MGP;MMP3;BGN,27640
1,Allograft Rejection,0.0008213172213903023,CD8B;SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,27640
2,Angiogenesis,0.0064014752799994,POSTN;COL3A1;PRG2,27640
0,Allograft Rejection,0.0116616860332417,CD8B;SIT1;CD7;CD3E;CD3D;ELANE,32065
0,Complement,0.00014363726113644063,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,34462
1,E2F Targets,0.00014363726113644063,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,34462
2,Allograft Rejection,0.0008541699102459143,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,34462
3,UV Response Up,0.0013931542829222,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,34462
4,G2-M Checkpoint,0.0028248804676796,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,34462
5,Apical Junction,0.0028248804676796,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,34462
6,Xenobiotic Metabolism,0.0028248804676796,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,34462
7,Spermatogenesis,0.0028576060016048,CDK1;NEK2;TTK;HSPA2;AURKA,34462
8,UV Response Dn,0.0034017811020079,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,34462
9,PI3K/AKT/mTOR  Signaling,0.0074542769039115,MAP2K3;LCK;CDK1;EGFR,34462
10,Mitotic Spindle,0.0108024197083989,CDK1;NEK2;TTK;MARK4;AURKA,34462
11,KRAS Signaling Up,0.0108024197083989,MAP4K1;CA2;PTGS2;EPHB2;CTSS,34462
12,DNA Repair,0.020495344865899,POLE4;LIG1;HPRT1;ADA,34462
13,Androgen Response,0.0385034682475777,STK39;PTK2B;MERTK,34462
14,TNF-alpha Signaling via NF-kB,0.0414623272404741,MAP2K3;PLK2;SIK1;PTGS2,34462
15,Estrogen Response Late,0.0414623272404741,RET;CA2;PGR;HPRT1,34462
16,Glycolysis,0.0414623272404741,CDK1;MERTK;EGFR;AURKA,34462
0,Allograft Rejection,0.0136898053433707,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,38721
0,Allograft Rejection,0.0019054559536255,CD8B;SIT1;IL1B;CD7;CD3E;CD3D;ELANE,45388
1,KRAS Signaling Up,0.0481954110067032,SERPINA3;ABCB1;FCER1G;IL1B;TSPAN7,45388
0,E2F Targets,2.898452351012945e-05,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,51143
1,Complement,0.0001473202678322468,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,51143
2,G2-M Checkpoint,0.0006570537771122417,PLK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,51143
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,51143
4,UV Response Up,0.00114310095009,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,51143
5,Xenobiotic Metabolism,0.0033495748004159,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,51143
6,Spermatogenesis,0.0033495748004159,CDK1;NEK2;TTK;HSPA2;AURKA,51143
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,51143
8,PI3K/AKT/mTOR  Signaling,0.0084949024546,MAP2K3;LCK;CDK1;EGFR,51143
9,Estrogen Response Late,0.0110794048291271,PLK4;RET;CA2;PGR;HPRT1,51143
10,Apical Junction,0.0110794048291271,KCNH2;SYK;CDH11;MAPK14;EGFR,51143
11,KRAS Signaling Up,0.0110794048291271,MAP4K1;CA2;PTGS2;EPHB2;CTSS,51143
12,DNA Repair,0.0210208665291272,POLE4;LIG1;HPRT1;ADA,51143
13,Mitotic Spindle,0.0451833053261577,CDK1;NEK2;TTK;AURKA,51143
14,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,51143
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,51143
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,56410
1,PI3K/AKT/mTOR  Signaling,0.0002971024792011053,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,56410
2,E2F Targets,0.0006734801215400478,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK,56410
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,56410
4,UV Response Up,0.0011716784738422,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,56410
5,Xenobiotic Metabolism,0.0034647038214703,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,56410
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,56410
7,G2-M Checkpoint,0.0136276679398264,CDK4;CHEK1;CDK1;TTK;MAPK14,56410
8,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,56410
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,56410
10,Androgen Response,0.0463128879593117,STK39;PTK2B;MERTK,56410
11,IL-2/STAT5 Signaling,0.0463128879593117,CA2;PIM1;AHR;HIPK2,56410
12,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,56410
13,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,56410
14,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,56410
15,Inflammatory Response,0.0463128879593117,AXL;LCK;AHR;RAF1,56410
0,Allograft Rejection,0.00020624837496514552,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,63878
1,Epithelial Mesenchymal Transition,0.0070984175854514,SFRP4;COL3A1;MMP1;MGP;MMP3;BGN,63878
2,KRAS Signaling Up,0.031022333521556,SERPINA3;ABCB1;IL1B;ALDH1A2;IL2RG,63878
0,Complement,2.554295198850529e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,63984
1,UV Response Up,2.554295198850529e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,63984
2,E2F Targets,9.821351188816454e-05,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,63984
3,PI3K/AKT/mTOR  Signaling,0.00014492803863468554,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,63984
4,G2-M Checkpoint,0.0004380358514081612,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,63984
5,Allograft Rejection,0.0004380358514081612,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,63984
6,Spermatogenesis,0.0033495748004159,CDK1;NEK2;TTK;HSPA2;AURKA,63984
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,63984
8,Mitotic Spindle,0.0110794048291271,CDK1;NEK2;TTK;MARK4;AURKA,63984
9,Apical Junction,0.0110794048291271,KCNH2;SYK;CDH11;MAPK14;EGFR,63984
10,Xenobiotic Metabolism,0.0110794048291271,ALDH2;CA2;AKR1C3;HPRT1;ESR1,63984
11,KRAS Signaling Up,0.0110794048291271,MAP4K1;CA2;PTGS2;EPHB2;CTSS,63984
12,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,63984
13,Estrogen Response Late,0.0451833053261577,RET;CA2;PGR;HPRT1,63984
14,Myc Targets V1,0.0451833053261577,HDAC2;CDK4;RUVBL2;HPRT1,63984
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,63984
0,E2F Targets,2.9709136597882687e-05,POLE4;PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK,71261
1,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,71261
2,Allograft Rejection,0.0008979734953867304,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,71261
3,UV Response Up,0.0014645980923028,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,71261
4,PI3K/AKT/mTOR  Signaling,0.0015063047211349,MAP2K3;CDK4;LCK;CDK1;EGFR,71261
5,G2-M Checkpoint,0.0034647038214703,PLK4;CDK4;CHEK1;CDK1;TTK;MAPK14,71261
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,71261
7,Estrogen Response Late,0.0123887890362058,PLK4;RET;CA2;PGR;HPRT1,71261
8,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,71261
9,Xenobiotic Metabolism,0.0123887890362058,ALDH2;CA2;AKR1C3;HPRT1;ESR1,71261
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,71261
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,71261
12,Androgen Response,0.0435916977793088,STK39;PTK2B;MERTK,71261
13,TNF-alpha Signaling via NF-kB,0.0494004138232658,MAP2K3;PLK2;SIK1;PTGS2,71261
14,Myc Targets V1,0.0494004138232658,HDAC2;CDK4;RUVBL2;HPRT1,71261
0,Complement,2.4904378188792658e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,71795
1,UV Response Up,2.4904378188792658e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,71795
2,Allograft Rejection,0.0008541699102459143,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,71795
3,PI3K/AKT/mTOR  Signaling,0.001791033052569,MAP2K3;LCK;CDK1;RAF1;EGFR,71795
4,E2F Targets,0.0032956938789596,WEE1;MELK;CHEK1;CDK1;DCK;AURKA,71795
5,Xenobiotic Metabolism,0.0032956938789596,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,71795
6,UV Response Dn,0.0043737185597244,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,71795
7,G2-M Checkpoint,0.0129629036500787,CHEK1;CDK1;TTK;MAPK14;AURKA,71795
8,Apical Junction,0.0129629036500787,KCNH2;SYK;CDH11;MAPK14;EGFR,71795
9,KRAS Signaling Up,0.0129629036500787,MAP4K1;CA2;PTGS2;EPHB2;CTSS,71795
10,Spermatogenesis,0.0167428196375758,CDK1;TTK;HSPA2;AURKA,71795
11,TNF-alpha Signaling via NF-kB,0.046990637539204,MAP2K3;PLK2;SIK1;PTGS2,71795
12,Estrogen Response Late,0.046990637539204,RET;CA2;PGR;HPRT1,71795
13,Inflammatory Response,0.046990637539204,AXL;LCK;AHR;RAF1,71795
14,Glycolysis,0.046990637539204,CDK1;MERTK;EGFR;AURKA,71795
