,NSC,drug,gene,num,rank,dti_existed,predicted_positive,drug_gene,pubmed_hit,top5,key,MECHANISM
27,1390,Allopurinol,PLS3,0,2,0,0,1390_PLS3,False,True,1390_PLS3,DNA
28,1390,Allopurinol,TEAD1,0,4,0,0,1390_TEAD1,False,True,1390_TEAD1,DNA
29,1895,Guanazole,ZBTB38,0,4,0,0,1895_ZBTB38,False,True,1895_ZBTB38,DNA
30,1895,Guanazole,APBB1IP,0,1,0,0,1895_APBB1IP,False,True,1895_APBB1IP,DNA
31,1390,Allopurinol,IL6ST,0,5,0,0,1390_IL6ST,False,True,1390_IL6ST,DNA
32,1895,Guanazole,IGLV1-44,0,3,0,0,1895_IGLV1-44,False,True,1895_IGLV1-44,DNA
33,1895,Guanazole,PLS3,0,2,0,0,1895_PLS3,False,True,1895_PLS3,DNA
34,1895,Guanazole,IGLC1,0,5,0,0,1895_IGLC1,False,True,1895_IGLC1,DNA
35,3053,Dactinomycin D,EPAS1,0,3,0,0,3053_EPAS1,False,True,3053_EPAS1,DNA
36,3053,Dactinomycin D,PRAME,0,2,0,0,3053_PRAME,False,True,3053_PRAME,DNA
37,3053,Dactinomycin D,ZBTB38,0,1,0,0,3053_ZBTB38,False,True,3053_ZBTB38,DNA
38,3053,Dactinomycin D,MCTP1,0,5,0,0,3053_MCTP1,False,True,3053_MCTP1,DNA
39,3053,Dactinomycin D,LOC100128816,0,4,0,0,3053_LOC100128816,False,True,3053_LOC100128816,DNA
40,3061,Pyrimethamine,LOC100128816,0,1,0,0,3061_LOC100128816,False,True,3061_LOC100128816,Other
41,3061,Pyrimethamine,SPP1,0,3,0,0,3061_SPP1,False,True,3061_SPP1,Other
42,3061,Pyrimethamine,ITGB5,0,4,0,0,3061_ITGB5,False,True,3061_ITGB5,Other
43,3061,Pyrimethamine,IFI16,0,5,0,0,3061_IFI16,False,True,3061_IFI16,Other
44,3088,Chlorambucil,BST2,0,5,0,0,3088_BST2,False,True,3088_BST2,DNA
45,3088,Chlorambucil,RPS4Y1,2,3,0,1,3088_RPS4Y1,True,True,3088_RPS4Y1,DNA
46,3088,Chlorambucil,SLC43A3,0,2,0,0,3088_SLC43A3,False,True,3088_SLC43A3,DNA
47,3088,Chlorambucil,SPP1,0,4,0,0,3088_SPP1,False,True,3088_SPP1,DNA
48,6396,Thiotepa,IGLV1-44,0,1,0,0,6396_IGLV1-44,False,True,6396_IGLV1-44,DNA
49,3088,Chlorambucil,APBB1IP,0,1,0,0,3088_APBB1IP,False,True,3088_APBB1IP,DNA
50,6396,Thiotepa,PLS3,0,3,0,0,6396_PLS3,False,True,6396_PLS3,DNA
51,6396,Thiotepa,CAV1,0,4,0,0,6396_CAV1,False,True,6396_CAV1,DNA
52,3061,Pyrimethamine,APBB1IP,0,2,0,0,3061_APBB1IP,False,True,3061_APBB1IP,Other
53,6396,Thiotepa,IGLC1,0,2,0,0,6396_IGLC1,False,True,6396_IGLC1,DNA
54,8806,Melphalan hydrochloride,RPS4Y1,0,3,0,0,8806_RPS4Y1,False,True,8806_RPS4Y1,DNA
55,8806,Melphalan hydrochloride,HMGCR,0,4,0,0,8806_HMGCR,False,True,8806_HMGCR,DNA
56,8806,Melphalan hydrochloride,BST2,0,5,0,0,8806_BST2,False,True,8806_BST2,DNA
57,8806,Melphalan hydrochloride,SPP1,0,2,0,0,8806_SPP1,False,True,8806_SPP1,DNA
58,9706,Triethylenemelamine,IGLV1-44,0,1,0,0,9706_IGLV1-44,False,True,9706_IGLV1-44,DNA
59,8806,Melphalan hydrochloride,APBB1IP,0,1,0,0,8806_APBB1IP,False,True,8806_APBB1IP,DNA
60,6396,Thiotepa,ANXA2P2,0,5,0,0,6396_ANXA2P2,False,True,6396_ANXA2P2,DNA
61,9706,Triethylenemelamine,IGLC1,0,2,0,0,9706_IGLC1,False,True,9706_IGLC1,DNA
62,9706,Triethylenemelamine,IGLL5,0,3,0,0,9706_IGLL5,False,True,9706_IGLL5,DNA
63,9706,Triethylenemelamine,SERPINB4,0,4,0,0,9706_SERPINB4,False,True,9706_SERPINB4,DNA
64,9706,Triethylenemelamine,PLS3,0,5,0,0,9706_PLS3,False,True,9706_PLS3,DNA
65,12198,Drostanolone propionate,BAX,0,3,0,0,12198_BAX,False,True,12198_BAX,Ho
66,12198,Drostanolone propionate,LOC100128816,0,1,0,0,12198_LOC100128816,False,True,12198_LOC100128816,Ho
67,12198,Drostanolone propionate,ANXA6,0,4,0,0,12198_ANXA6,False,True,12198_ANXA6,Ho
68,14229,Quinacrine hydrochloride,SLC43A3,0,1,0,0,14229_SLC43A3,False,True,14229_SLC43A3,DNA
69,14229,Quinacrine hydrochloride,APBB1IP,0,2,0,0,14229_APBB1IP,False,True,14229_APBB1IP,DNA
70,14229,Quinacrine hydrochloride,BST2,0,4,0,0,14229_BST2,False,True,14229_BST2,DNA
71,23162,Nandrolone phenpropionate,AR,4,1,1,1,23162_AR,True,True,23162_AR,Ho
72,14229,Quinacrine hydrochloride,HMGCR,0,3,0,0,14229_HMGCR,False,True,14229_HMGCR,DNA
73,19893,Fluorouracil,IGLC1,0,2,0,0,19893_IGLC1,False,True,19893_IGLC1,DNA
74,14229,Quinacrine hydrochloride,FAR2,0,5,0,0,14229_FAR2,False,True,14229_FAR2,DNA
75,19893,Fluorouracil,IGLV1-44,0,1,0,0,19893_IGLV1-44,False,True,19893_IGLV1-44,DNA
76,12198,Drostanolone propionate,CRACR2A,0,2,0,0,12198_CRACR2A,False,True,12198_CRACR2A,Ho
77,19893,Fluorouracil,APBB1IP,0,3,0,0,19893_APBB1IP,False,True,19893_APBB1IP,DNA
78,19893,Fluorouracil,SLC38A5,0,5,0,0,19893_SLC38A5,False,True,19893_SLC38A5,DNA
79,19893,Fluorouracil,AFAP1-AS1,1,4,0,1,19893_AFAP1-AS1,True,True,19893_AFAP1-AS1,DNA
80,23162,Nandrolone phenpropionate,SGMS2,0,3,0,0,23162_SGMS2,False,True,23162_SGMS2,Ho
81,23162,Nandrolone phenpropionate,MAL2,0,2,0,0,23162_MAL2,False,True,23162_MAL2,Ho
82,23162,Nandrolone phenpropionate,ARHGAP29,0,5,0,0,23162_ARHGAP29,False,True,23162_ARHGAP29,Ho
83,23162,Nandrolone phenpropionate,SDC4,0,4,0,0,23162_SDC4,False,True,23162_SDC4,Ho
84,23759,Testolactone,LOC100128816,0,1,0,0,23759_LOC100128816,False,True,23759_LOC100128816,Ho
85,23759,Testolactone,CRACR2A,0,2,0,0,23759_CRACR2A,False,True,23759_CRACR2A,Ho
86,12198,Drostanolone propionate,PSMB8,0,5,0,0,12198_PSMB8,False,True,12198_PSMB8,Ho
87,23759,Testolactone,TMEM47,0,4,0,0,23759_TMEM47,False,True,23759_TMEM47,Ho
88,23759,Testolactone,LITAF,0,3,0,0,23759_LITAF,False,True,23759_LITAF,Ho
89,23759,Testolactone,ANXA6,0,5,0,0,23759_ANXA6,False,True,23759_ANXA6,Ho
90,24559,Mitramycin,TNFRSF12A,0,2,0,0,24559_TNFRSF12A,False,True,24559_TNFRSF12A,DNA
91,24559,Mitramycin,F11R,0,3,0,0,24559_F11R,False,True,24559_F11R,DNA
92,25154,Pipobroman,IGLV1-44,0,1,0,0,25154_IGLV1-44,False,True,25154_IGLV1-44,DNA
93,24559,Mitramycin,VAMP8,0,5,0,0,24559_VAMP8,False,True,24559_VAMP8,DNA
94,24559,Mitramycin,PTPRF,0,1,0,0,24559_PTPRF,False,True,24559_PTPRF,DNA
95,25154,Pipobroman,CAV1,0,4,0,0,25154_CAV1,False,True,25154_CAV1,DNA
96,25154,Pipobroman,PLS3,0,3,0,0,25154_PLS3,False,True,25154_PLS3,DNA
97,25154,Pipobroman,IGLC1,0,2,0,0,25154_IGLC1,False,True,25154_IGLC1,DNA
98,25154,Pipobroman,ANXA2P2,0,5,0,0,25154_ANXA2P2,False,True,25154_ANXA2P2,DNA
99,24559,Mitramycin,GPR39,0,4,0,0,24559_GPR39,False,True,24559_GPR39,DNA
100,26271,Cyclophosphamide,APBB1IP,0,1,0,0,26271_APBB1IP,False,True,26271_APBB1IP,DNA
101,26980,mitomycin C,APBB1IP,0,2,0,0,26980_APBB1IP,False,True,26980_APBB1IP,DNA
102,26980,mitomycin C,SLC43A3,0,3,0,0,26980_SLC43A3,False,True,26980_SLC43A3,DNA
103,26271,Cyclophosphamide,LCP1,1,2,0,1,26271_LCP1,True,True,26271_LCP1,DNA
104,26980,mitomycin C,HMGCR,0,1,0,0,26980_HMGCR,False,True,26980_HMGCR,DNA
105,26271,Cyclophosphamide,TBX18,0,5,0,0,26271_TBX18,False,True,26271_TBX18,DNA
106,26271,Cyclophosphamide,LOC100128816,0,4,0,0,26271_LOC100128816,False,True,26271_LOC100128816,DNA
107,26980,mitomycin C,CDK1,6,5,0,1,26980_CDK1,True,True,26980_CDK1,DNA
108,26980,mitomycin C,BAX,70,4,0,1,26980_BAX,True,True,26980_BAX,DNA
109,27640,5-Fluoro-2'-deoxyuridine,LCP1,0,5,0,0,27640_LCP1,False,True,27640_LCP1,DNA
110,27640,5-Fluoro-2'-deoxyuridine,APBB1IP,0,1,0,0,27640_APBB1IP,False,True,27640_APBB1IP,DNA
111,27640,5-Fluoro-2'-deoxyuridine,HMGCR,0,4,0,0,27640_HMGCR,False,True,27640_HMGCR,DNA
112,27640,5-Fluoro-2'-deoxyuridine,BST2,0,2,0,0,27640_BST2,False,True,27640_BST2,DNA
113,27640,5-Fluoro-2'-deoxyuridine,RPS4Y1,0,3,0,0,27640_RPS4Y1,False,True,27640_RPS4Y1,DNA
114,32065,Hydroxyurea,IGLV1-44,0,1,0,0,32065_IGLV1-44,False,True,32065_IGLV1-44,DNA
115,32065,Hydroxyurea,IGLL5,0,3,0,0,32065_IGLL5,False,True,32065_IGLL5,DNA
116,32065,Hydroxyurea,SERPINB4,0,4,0,0,32065_SERPINB4,False,True,32065_SERPINB4,DNA
117,32065,Hydroxyurea,PLS3,0,5,0,0,32065_PLS3,False,True,32065_PLS3,DNA
118,32982,Curcumin,IGLV1-44,0,1,0,0,32982_IGLV1-44,False,True,32982_IGLV1-44,Apoptosis
119,32982,Curcumin,IGLC1,0,2,0,0,32982_IGLC1,False,True,32982_IGLC1,Apoptosis
120,26271,Cyclophosphamide,RPS4Y1,0,3,0,0,26271_RPS4Y1,False,True,26271_RPS4Y1,DNA
121,32982,Curcumin,ZBTB38,0,3,0,0,32982_ZBTB38,False,True,32982_ZBTB38,Apoptosis
122,32982,Curcumin,ITGB5,0,4,0,0,32982_ITGB5,False,True,32982_ITGB5,Apoptosis
123,32982,Curcumin,SRPX,0,5,0,0,32982_SRPX,False,True,32982_SRPX,Apoptosis
124,32065,Hydroxyurea,IGLC1,0,2,0,0,32065_IGLC1,False,True,32065_IGLC1,DNA
125,33410,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",CD24,0,1,0,0,33410_CD24,False,True,33410_CD24,TUBB
126,34521,Dexamethasone,ANXA1,39,1,1,1,34521_ANXA1,True,True,34521_ANXA1,Ho
127,33410,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",SGMS2,0,4,0,0,33410_SGMS2,False,True,33410_SGMS2,TUBB
128,33410,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",PRDX1,0,2,0,0,33410_PRDX1,False,True,33410_PRDX1,TUBB
129,33410,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",KRT8P2,0,3,0,0,33410_KRT8P2,False,True,33410_KRT8P2,TUBB
130,34462,Uracil mustard,SRPX,0,4,0,0,34462_SRPX,False,True,34462_SRPX,DNA
131,34462,Uracil mustard,HEG1,0,1,0,0,34462_HEG1,False,True,34462_HEG1,DNA
132,33410,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",PPIC,0,5,0,0,33410_PPIC,False,True,33410_PPIC,TUBB
133,34521,Dexamethasone,PCBD1,0,4,0,0,34521_PCBD1,False,True,34521_PCBD1,Ho
134,34521,Dexamethasone,SGMS2,0,3,0,0,34521_SGMS2,False,True,34521_SGMS2,Ho
135,34462,Uracil mustard,SPP1,0,5,0,0,34462_SPP1,False,True,34462_SPP1,DNA
136,38721,Mitotane,AR,4,1,1,1,38721_AR,True,True,38721_AR,DNA
137,38721,Mitotane,FDX1,1,2,1,1,38721_FDX1,True,True,38721_FDX1,DNA
138,34521,Dexamethasone,KRT8P2,0,5,0,0,34521_KRT8P2,False,True,34521_KRT8P2,Ho
139,36405,Chelerythrine chloride,LOC100128816,0,1,0,0,36405_LOC100128816,False,True,36405_LOC100128816,Apoptosis
140,36405,Chelerythrine chloride,SPP1,2,2,0,1,36405_SPP1,True,True,36405_SPP1,Apoptosis
141,36405,Chelerythrine chloride,CRACR2A,0,3,0,0,36405_CRACR2A,False,True,36405_CRACR2A,Apoptosis
142,34462,Uracil mustard,ZBTB38,0,2,0,0,34462_ZBTB38,False,True,34462_ZBTB38,DNA
143,34462,Uracil mustard,LOC100128816,0,3,0,0,34462_LOC100128816,False,True,34462_LOC100128816,DNA
144,36405,Chelerythrine chloride,TMEM47,0,5,0,0,36405_TMEM47,False,True,36405_TMEM47,Apoptosis
145,34521,Dexamethasone,CD24,11,2,0,1,34521_CD24,True,True,34521_CD24,Ho
146,36405,Chelerythrine chloride,LITAF,0,4,0,0,36405_LITAF,False,True,36405_LITAF,Apoptosis
147,38721,Mitotane,MAL2,0,5,0,0,38721_MAL2,False,True,38721_MAL2,DNA
148,38721,Mitotane,PRKAG2,0,4,0,0,38721_PRKAG2,False,True,38721_PRKAG2,DNA
149,45388,DTIC-Dome,POLA2,0,1,1,0,45388_POLA2,False,True,45388_POLA2,DNA
150,38721,Mitotane,RBM24,0,3,0,0,38721_RBM24,False,True,38721_RBM24,DNA
151,45388,DTIC-Dome,AHNAK,0,3,0,0,45388_AHNAK,False,True,45388_AHNAK,DNA
152,45388,DTIC-Dome,APP,0,2,0,0,45388_APP,False,True,45388_APP,DNA
153,45388,DTIC-Dome,SGMS2,0,4,0,0,45388_SGMS2,False,True,45388_SGMS2,DNA
154,49842,Vinblastine sulfate,PRKAG2,0,1,0,0,49842_PRKAG2,False,True,49842_PRKAG2,TUBB
155,49842,Vinblastine sulfate,MAN1A1,0,3,0,0,49842_MAN1A1,False,True,49842_MAN1A1,TUBB
156,49842,Vinblastine sulfate,COL12A1,0,2,0,0,49842_COL12A1,False,True,49842_COL12A1,TUBB
157,45388,DTIC-Dome,SDC4,0,5,0,0,45388_SDC4,False,True,45388_SDC4,DNA
158,49842,Vinblastine sulfate,MAL2,0,4,0,0,49842_MAL2,False,True,49842_MAL2,TUBB
159,49842,Vinblastine sulfate,SNAI2,1,5,0,1,49842_SNAI2,True,True,49842_SNAI2,TUBB
160,51143,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",IL6ST,0,3,0,0,51143_IL6ST,False,True,51143_IL6ST,DNA
161,51143,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",TNFRSF12A,0,4,0,0,51143_TNFRSF12A,False,True,51143_TNFRSF12A,DNA
162,51143,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",PLS3,0,2,0,0,51143_PLS3,False,True,51143_PLS3,DNA
163,51143,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",TEAD1,0,5,0,0,51143_TEAD1,False,True,51143_TEAD1,DNA
164,51143,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",CAV1,0,1,0,0,51143_CAV1,False,True,51143_CAV1,DNA
165,56410,Porfiromycine,HMGCR,0,1,0,0,56410_HMGCR,False,True,56410_HMGCR,DNA
166,56410,Porfiromycine,APBB1IP,0,2,0,0,56410_APBB1IP,False,True,56410_APBB1IP,DNA
167,56410,Porfiromycine,LOC100128816,0,3,0,0,56410_LOC100128816,False,True,56410_LOC100128816,DNA
168,56410,Porfiromycine,BAX,0,4,0,0,56410_BAX,False,True,56410_BAX,DNA
169,59687,Oxyphenisatin acetate,TJP1,0,4,0,0,59687_TJP1,False,True,59687_TJP1,Acetalax
170,59687,Oxyphenisatin acetate,APP,0,2,0,0,59687_APP,False,True,59687_APP,Acetalax
171,59687,Oxyphenisatin acetate,AHNAK,0,1,0,0,59687_AHNAK,False,True,59687_AHNAK,Acetalax
172,56410,Porfiromycine,SPP1,0,5,0,0,56410_SPP1,False,True,56410_SPP1,DNA
173,59687,Oxyphenisatin acetate,SGMS2,0,3,0,0,59687_SGMS2,False,True,59687_SGMS2,Acetalax
174,59687,Oxyphenisatin acetate,AJUBA,0,5,0,0,59687_AJUBA,False,True,59687_AJUBA,Acetalax
175,63878,Cylocide,APBB1IP,0,2,0,0,63878_APBB1IP,False,True,63878_APBB1IP,DNA
176,63878,Cylocide,ELOVL5,0,3,0,0,63878_ELOVL5,False,True,63878_ELOVL5,DNA
177,63878,Cylocide,SLC43A3,0,1,0,0,63878_SLC43A3,False,True,63878_SLC43A3,DNA
178,63878,Cylocide,COL12A1,0,4,0,0,63878_COL12A1,False,True,63878_COL12A1,DNA
179,63984,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",ELOVL5,0,2,0,0,63984_ELOVL5,False,True,63984_ELOVL5,DNA
180,63878,Cylocide,MIF,0,5,0,0,63878_MIF,False,True,63878_MIF,DNA
181,63984,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",SH3BP4,0,3,0,0,63984_SH3BP4,False,True,63984_SH3BP4,DNA
182,63984,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",MIF,0,1,0,0,63984_MIF,False,True,63984_MIF,DNA
183,63984,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",TNFRSF12A,0,4,0,0,63984_TNFRSF12A,False,True,63984_TNFRSF12A,DNA
184,67574,Vincristine sulfate,CD24,7,2,0,1,67574_CD24,True,True,67574_CD24,TUBB
185,67574,Vincristine sulfate,KRT18P47,0,3,0,0,67574_KRT18P47,False,True,67574_KRT18P47,TUBB
186,67574,Vincristine sulfate,KRT8P30,0,5,0,0,67574_KRT8P30,False,True,67574_KRT8P30,TUBB
187,71261,alpha-Thiodeoxyguanosine,CRACR2A,0,3,0,0,71261_CRACR2A,False,True,71261_CRACR2A,DNA
188,71261,alpha-Thiodeoxyguanosine,LITAF,0,2,0,0,71261_LITAF,False,True,71261_LITAF,DNA
189,67574,Vincristine sulfate,KRT8P5,0,4,0,0,67574_KRT8P5,False,True,67574_KRT8P5,TUBB
190,71261,alpha-Thiodeoxyguanosine,TMEM47,0,4,0,0,71261_TMEM47,False,True,71261_TMEM47,DNA
191,71423,Megestrol acetate,PRDX1,0,1,0,0,71423_PRDX1,False,True,71423_PRDX1,Ho
192,71423,Megestrol acetate,RPL3,0,5,0,0,71423_RPL3,False,True,71423_RPL3,Ho
193,71261,alpha-Thiodeoxyguanosine,SPG20,0,5,0,0,71261_SPG20,False,True,71261_SPG20,DNA
194,71423,Megestrol acetate,TJP1,0,3,0,0,71423_TJP1,False,True,71423_TJP1,Ho
195,71423,Megestrol acetate,SGMS2,0,2,0,0,71423_SGMS2,False,True,71423_SGMS2,Ho
196,71795,Ellipticine,APBB1IP,0,1,0,0,71795_APBB1IP,False,True,71795_APBB1IP,DNA
197,71423,Megestrol acetate,ND2,0,4,0,0,71423_ND2,False,True,71423_ND2,Ho
198,71795,Ellipticine,SLC43A3,0,4,0,0,71795_SLC43A3,False,True,71795_SLC43A3,DNA
199,71795,Ellipticine,SPP1,0,2,0,0,71795_SPP1,False,True,71795_SPP1,DNA
200,71851,alpha-Thiodeoxyguanosine,SGMS2,0,1,0,0,71851_SGMS2,False,True,71851_SGMS2,DNA
201,71795,Ellipticine,LOC100128816,0,3,0,0,71795_LOC100128816,False,True,71795_LOC100128816,DNA
202,71851,alpha-Thiodeoxyguanosine,SDC4,0,2,0,0,71851_SDC4,False,True,71851_SDC4,DNA
203,71795,Ellipticine,HMGCR,0,5,0,0,71795_HMGCR,False,True,71795_HMGCR,DNA
204,71851,alpha-Thiodeoxyguanosine,TJP1,0,4,0,0,71851_TJP1,False,True,71851_TJP1,DNA
205,71851,alpha-Thiodeoxyguanosine,PRDX1,0,5,0,0,71851_PRDX1,False,True,71851_PRDX1,DNA
206,67574,Vincristine sulfate,KRT8P42,0,1,0,0,67574_KRT8P42,False,True,67574_KRT8P42,TUBB
207,73754,Fluorodopan,LITAF,0,3,0,0,73754_LITAF,False,True,73754_LITAF,DNA
208,73754,Fluorodopan,CRACR2A,0,4,0,0,73754_CRACR2A,False,True,73754_CRACR2A,DNA
209,73754,Fluorodopan,RPS17P5,0,5,0,0,73754_RPS17P5,False,True,73754_RPS17P5,DNA
210,73754,Fluorodopan,LOC100128816,0,1,0,0,73754_LOC100128816,False,True,73754_LOC100128816,DNA
211,77213,Procarbazine hydrochloride,APP,0,2,0,0,77213_APP,False,True,77213_APP,DNA
212,77213,Procarbazine hydrochloride,CAV1,1,1,0,1,77213_CAV1,True,True,77213_CAV1,DNA
213,77213,Procarbazine hydrochloride,PLS3,0,4,0,0,77213_PLS3,False,True,77213_PLS3,DNA
214,79037,Lomustine,STMN4,0,1,1,0,79037_STMN4,False,True,79037_STMN4,DNA
215,73754,Fluorodopan,SPP1,0,2,0,0,73754_SPP1,False,True,73754_SPP1,DNA
216,77213,Procarbazine hydrochloride,DST,0,5,0,0,77213_DST,False,True,77213_DST,DNA
217,79037,Lomustine,RPL3,0,3,0,0,79037_RPL3,False,True,79037_RPL3,DNA
218,79037,Lomustine,ND2,1,2,0,1,79037_ND2,True,True,79037_ND2,DNA
219,71851,alpha-Thiodeoxyguanosine,APP,0,3,0,0,71851_APP,False,True,71851_APP,DNA
220,71261,alpha-Thiodeoxyguanosine,LOC100128816,0,1,0,0,71261_LOC100128816,False,True,71261_LOC100128816,DNA
221,79037,Lomustine,ND4,0,5,0,0,79037_ND4,False,True,79037_ND4,DNA
222,63984,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",SLC43A3,0,5,0,0,63984_SLC43A3,False,True,63984_SLC43A3,DNA
223,79037,Lomustine,TUBA1B,0,4,0,0,79037_TUBA1B,False,True,79037_TUBA1B,DNA
224,77213,Procarbazine hydrochloride,CKAP4,0,3,0,0,77213_CKAP4,False,True,77213_CKAP4,DNA
225,82151,Daunoblastin,CD24,78,1,0,1,82151_CD24,True,True,82151_CD24,DNA
226,82151,Daunoblastin,PCBD1,0,4,0,0,82151_PCBD1,False,True,82151_PCBD1,DNA
227,82151,Daunoblastin,SGMS2,1,3,0,1,82151_SGMS2,True,True,82151_SGMS2,DNA
228,83142,Daunoblastin,SLC43A3,0,4,0,0,83142_SLC43A3,False,True,83142_SLC43A3,DNA
229,83265,Tritylcysteine,APBB1IP,0,1,0,0,83265_APBB1IP,False,True,83265_APBB1IP,TUBB
230,83142,Daunoblastin,FXYD5,0,5,0,0,83142_FXYD5,False,True,83142_FXYD5,DNA
231,83142,Daunoblastin,HMGCR,8,1,0,1,83142_HMGCR,True,True,83142_HMGCR,DNA
232,83142,Daunoblastin,BAX,300,3,0,1,83142_BAX,True,True,83142_BAX,DNA
233,83265,Tritylcysteine,IGLV1-44,0,2,0,0,83265_IGLV1-44,False,True,83265_IGLV1-44,TUBB
234,83265,Tritylcysteine,IGLC1,0,3,0,0,83265_IGLC1,False,True,83265_IGLC1,TUBB
235,82151,Daunoblastin,KRT8P2,0,2,0,0,82151_KRT8P2,False,True,82151_KRT8P2,DNA
236,83265,Tritylcysteine,PLS3,0,4,0,0,83265_PLS3,False,True,83265_PLS3,TUBB
237,83265,Tritylcysteine,ANXA2P2,0,5,0,0,83265_ANXA2P2,False,True,83265_ANXA2P2,TUBB
238,85998,Zanosar,SGMS2,0,1,0,0,85998_SGMS2,False,True,85998_SGMS2,DNA
239,85998,Zanosar,TJP1,9,2,0,1,85998_TJP1,True,True,85998_TJP1,DNA
240,85998,Zanosar,AJUBA,0,3,0,0,85998_AJUBA,False,True,85998_AJUBA,DNA
241,85998,Zanosar,APP,46,4,0,1,85998_APP,True,True,85998_APP,DNA
242,83142,Daunoblastin,LOC100128816,0,2,0,0,83142_LOC100128816,False,True,83142_LOC100128816,DNA
243,87877,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,SGMS2,0,2,0,0,87877_SGMS2,False,True,87877_SGMS2,Other
244,85998,Zanosar,PCBD1,1,5,0,1,85998_PCBD1,True,True,85998_PCBD1,DNA
