NSC #,Drug name,FDA status,Mechanism of action,PubChem SID
1199,"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE",-,-,219648
1338,N-DECYL-2-IODOACETAMIDE,-,-,219690
1390,Allopurinol,FDA approved,AM|XDH,-
1393,Pyrazoloadenine,-,-,75420
1433,"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE",-,-,219760
1460,tryptazan,-,-,95318
1482,2-(2-METHYL-2-NITROPROPOXY)BORNANE,-,-,-
1507,"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE",-,-,219799
1760,"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE",-,-,219939
1771,Thiram,-,-,-
1797,o-Aminoazotoluene,-,-,-
1895,GUANAZOLE,-,A7,15078
1906,pmp (van),-,-,-
1910,Alkarsodyl,-,-,-
1945,"GLUCONIC ACID, BARIUM SALT",-,-,5351603
2012,1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE,-,-,24180869
2013,declid,-,-,-
2039,oxin,-,-,-
2053,TRIS(4-BIPHENYLYL)METHANOL,-,-,219999
2061,3-(2-furyl)acrolein,-,-,-
2186,thymophthalein,-,-,31316
2384,"2,6-dibenzylidenecyclohexanone",-,-,-
2604,D.b.t.c.,-,-,12688
2626,Propyl Gallate,-,-,4947
2724,phenyl p-tolyl sulfone,-,-,-
2755,avlon,-,-,-
2785,QAICTYKDANKDKI-UHFFFAOYSA-N,-,-,135399288
2805,"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl",-,-,220284
2829,vetol,-,-,-
3039,SODIUM PHENYLACETATE,-,-,-
3053,Actinomycin D,FDA approved,Db,-
3055,puromycin,-,-,-
3060,Potassium arsenite,-,-,-
3061,malacid,FDA approved,DHFR,-
3062,Etoprine,-,-,29142
3073,facid,-,-,-
3074,Chlorazin,-,-,-
3077,D 54,-,-,-
3080,d 69,-,-,-
3081,-,-,-,-
3082,x 49,-,-,-
3083,"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride",-,-,24180956
3088,Chlorambucil,FDA approved,A7|AlkAg,-
3090,badil,FDA approved,-,-
3091,Methyl green,-,-,-
3093,crude pyronine b,-,-,-
3094,PDMT,-,-,23654
3262,"2,5-Bis(ethylamino)hydroquinone",-,-,94797
3265,-,-,-,-
3284,wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2,-,-,-
3298,"Phenol, 2-methoxy-4-(2-nitropropenyl)-",-,-,-
3424,quinacrine mustard,-,-,-
3531,clioquinol,-,-,-
3618,"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine",-,-,220625
3628,-,-,-,-
3799,AI3-08904,-,-,6436750
3808,"2,4-dinitrobromobenzene",-,-,11441
3840,Chloro-(5-chlorothiophen-2-yl)mercury,-,-,407288
3847,1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one,-,-,220712
3852,Hydron III,-,-,19103
3877,-,-,-,-
3905,tripyridyl,-,-,-
3907,"Benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)...",-,-,142766
3927,thiolutin,-,-,6870
3941,-,-,-,-
3970,pyrod,-,-,-
4045,auramin,-,-,-
4060,urson,-,-,64945
4112,Fenticlor,-,-,-
4114,Morpholine-N-dithiocarbamate,-,-,72675
4170,kipca,-,-,-
4184,"p,p'-Dihydroxystilbene",-,-,5282363
4232,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid",-,-,220828
4236,4m2o,-,-,668053
4238,2m2m,-,-,-
4239,4m2m,-,-,-
4265,Phenanthroline hydrochloride,-,-,-
4272,5-methylphenanthroline,-,-,72791
4280,neocuproin,-,-,65237
4281,"4,7-Dimethyl-o-phenanthroline",-,-,72792
4285,STK862428,-,-,14161
4290,1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide,-,-,24181037
4291,Masoprocol,FDA approved,-,-
4320,strophanthin,-,-,-
4375,Hydroxychloroquine Sulfate,FDA approved,Immunomodulatory,-
4378,1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride,-,-,24181064
4432,genacryl pink g,-,-,6433371
4434,nabor orange r,-,-,-
4483,omadine sodium,-,-,-
4512,2-Iodo-3-(phenylsulfonyl)propanenitrile,-,-,220946
4518,Bis(4-amino-3-bromophenyl)methanone,-,-,220951
4582,"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one",-,-,54603154
4623,"1H-Imidazole-4,5-dicarboxylic acid, 2-phenyl- (9CI)",-,-,221007
4644,Betulin,-,-,-
4681,2-[4-(Carboxymethoxy)phenoxy]acetic acid,-,-,24181093
4698,-,-,-,-
4722,aloin,FDA approved,-,221037
4728,Aminothiadiazole,-,-,19909
4810,-,-,-,-
4844,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate",-,-,24181101
4857,dedc,-,-,-
4896,quinalizarin,-,-,-
4911,Thioinosine,-,-,-
4962,p-Toluhydroquinol,-,-,-
4972,tbhq,-,-,16043
5006,C.I. 42510 acetate,-,-,-
5011,Brilliant Green,-,-,-
5019,violet bnp,-,-,-
5031,"D-Glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd...",-,-,16129878
5048,magneson ii,-,-,79174
5053,tptz,-,-,9283
5062,allyliodourotropine,-,-,-
5066,"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene",-,-,69095
5113,POMIFERIN,-,-,4871
5159,chartreusin,-,-,-
5192,"5,6-Chrysenedione",-,-,16317
5200,py 40,-,-,135403411
5206,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride",-,-,24181145
5278,olpizan,-,-,17584
5283,chlorotriethyltin,-,-,13820
5332,pan (van),-,-,6825
5337,vancide 26,-,-,79411
5347,(o-carboxyphenylthio)acetic acid,-,-,-
5355,Berberal,-,-,-
5364,cinchonidine,FDA approved,-,-
5366,Noscapine,FDA approved,-,-
5417,"1-Naphthalenol, 4-nitroso- (9CI)",-,-,-
5418,"p-Nitroso-N,N-diethylaniline",-,-,67115
5425,"9,10-Phenanthrenedione, 2-nitro- (9CI)",-,-,-
5485,"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol",-,-,221231
5491,Ethyl red,-,-,-
5550,Malachite green oxalate,-,-,407450
5551,wln: t b566 ck esj c1 d1u1r dn1&1 &i,-,-,6433478
5620,"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid",-,-,221258
5639,phenylbenzophenone,-,-,407452
5648,thonzide,-,-,-
5703,"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline",-,-,221307
5705,"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate",-,-,221309
5816,wln: gr dmyus&mvr,-,-,701011
5889,l-Usnic acid,-,-,-
5890,D-Usnic acid,-,-,-
5896,Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol,-,-,135436503
5907,Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline,-,-,16682406
5908,"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine",-,-,221375
5920,"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine",-,-,407487
6145,"1,2-Dibenzoylbenzene",-,-,70875
6152,Chrysarobin,-,-,-
6171,cineol,-,-,-
6176,cinchonine,-,-,-
6266,dibenzoylmethane,-,-,8433
6278,2-aminonaphthiazole,-,-,94880
6386,bialamicol,-,-,-
6396,Thiotepa,FDA approved,A7|AlkAg,-
6477,nf 23,-,-,899314
6777,ALBB-024793,-,-,221765
6814,erucic acid,-,-,-
6883,72I9A2I712,-,-,221812
6891,"N-(4-Bromophenyl)-3,4-dichlorobenzamide",-,-,221819
6926,-,-,-,-
7215,tetraaminoditolylmethane,-,-,-
7223,chrome black t,-,-,-
7233,"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione",-,-,222032
7354,6-hydrazinopurine,-,-,94902
7359,xylosyl a,-,-,-
7364,ddmp,-,-,-
7365,Diazooxonorleucine,-,-,-
7376,-,-,-,-
7389,phenanthraquinone,-,-,-
7390,-,-,-,-
7420,5-Bromo-3-cyclohexyl-2-hydroxybenzamide,-,-,222105
7436,"Sulfanilanilide, 4'-tert-butyl-",-,-,222114
7519,"BUPHANIDRINE, PERCHLORATE",-,-,457798
7521,simeon,-,-,-
7525,transvaalin,-,-,222156
7529,digimed,-,-,-
7530,strophanthoside-k,-,-,-
7532,Adigal,-,-,-
7533,Allocor,-,-,-
7534,"SCILLIROSIDIN, GLYCOSIDE",-,-,222160
7535,lanatoside b,-,-,-
7606,Alantan,-,-,-
7757,Bornyl cinnamate,-,-,-
7801,mauve,-,-,407617
7811,Bindschedler's green,-,-,73516
7813,Brilliant Cresyl Blue,-,-,24181324
7821,capri blue,-,-,102162
7833,krisolamine,-,-,-
7853,"2,6-Dichloro-7-methylpurine",-,-,75281
8101,Inosite,-,-,-
8117,erycorbin,-,-,-
8120,mycoin,-,-,-
8174,Phenylbiguanide mbt-salt,-,-,3034162
8179,-,-,-,-
8360,"N-(6-Chloro-2-methoxyacridin-9-yl)-N',N'-diethyl-1-(4-fluorophenyl)butane-1,4-diamine",-,-,222439
8552,9-Chlorophenanthrene,-,-,13694
8643,gallamine blue,-,-,135436514
8672,hofmann's violet,-,-,24181402
8673,iodine green,-,-,54605107
8675,ethyl violet,-,-,16955
8704,dyodin,-,-,-
8786,diacetoxybutyltin,-,-,16682740
8806,Melphalan,FDA approved,A7|AlkAg,-
8974,Bis(4-bromophenyl)iodanium;hydroiodide,-,-,54609012
8982,"Diphenyliodanium;2,4,6-trinitrophenol",-,-,24181416
8985,Di-p-tolyliodinium bromide,-,-,-
8994,Bis(4-tert-butylphenyl)iodanium;hydrochloride,-,-,54602012
8995,rot c,-,-,-
9037,"3H-Xanthen-3-one, 2,6,7-trihydroxy-9-(o-hydroxy-phenyl)-",-,-,72722
9168,fumidil,-,-,-
9170,thiocolciran,-,-,17649
9291,naphthol blue (van),-,-,101929
9358,pada,-,-,81528
9403,methylene green (van),-,-,-
9404,safranin bluish,-,-,-
9594,safranin bluish,-,-,-
9598,Azur I,-,-,68275
9605,methylene blue nn,-,-,-
9608,"1-(naphthalen-2-yl)-9,10-dioxo-9,10-dihydroanthracene-2-...",-,-,222760
9609,janus red,-,-,-
9610,janus black,-,-,135436529
9612,nile blue bb,-,-,20520
9665,gelcohol,-,-,222778
9667,"N-Ethyl-N,N-dimethyl-2-[2-(4-octylphenoxy)ethoxy]ethan-1-aminium dodecane-1-sulfonate",-,-,24181516
9704,lutex,-,-,-
9706,Triethylenemelamine,FDA approved,A7|AlkAg,5799
9768,"2,4-Dichloro-6-[(5-chloro-2-hydroxyphenyl)methyl]phenol",-,-,222840
9771,"2,6-Bis[(3,5-dichloro-2-hydroxyphenyl)methyl]-4-pentan-2-ylphenol",-,-,222841
9853,orange y,-,-,-
9855,phenosafranin,-,-,-
9856,red oil,-,-,445639
9858,new fuchsin,-,-,-
9921,pentamide,-,-,4735
9936,kutizon,-,-,-
9951,decyltrimethylammonium bromide,-,-,16388
10010,"N,N-Bis(2-methyl-6-methoxy-4-quinaldyl)-1,9-diamino- non...",-,-,-
10018,"benzimidazole, 1-dodecyl-2-methyl-, hydrobromide",-,-,-
10036,"2-(4-Chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-diethylbutane-1,4-diamine",-,-,222938
10037,"N-(7-Chloroquinolin-4-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine",-,-,222939
10438,resazoin,-,-,-
10460,p-Fuchsin,-,-,-
10466,Basic Fuchsin,-,-,-
10483,Desoximetasone,-,-,5754
10492,"2-(4-chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-dieth...",-,-,-
10517,2m2pm,-,-,-
10520,2-[(Z)-2-(4-Chlorophenyl)ethenyl]-1-methylquinolin-1-ium iodide,-,-,54598850
10526,-,-,-,-
10534,"1,3,3-Trimethyl-2-[(1Z,3E)-4-phenylbuta-1,3-dienyl]indol-1-ium;iodide",-,-,54609031
10535,-,-,-,-
10587,"1-Naphthalenemethanol, .alpha.-[2-(dibutylamino)-1,1-dim...",-,-,24181636
10594,"N-(2,3-Dimethoxy-6-nitroacridin-9-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine;hydrochloride",-,-,24181641
10641,1-(5-Chloro-2-methoxyphenyl)-2-(dipentylamino)ethanol;hydrochloride,-,-,24181655
10660,1-(4-Chloronaphthalen-1-yl)-2-(dipentylamino)ethanol;hydrochloride,-,-,24181664
10667,"phenothiazin-5-ium (9ci), 7-(dibutylamino)-3-(diethylami...",-,-,24181669
10721,Cortef fluid,-,-,223253
10848,ALBB-015765,-,-,223320
11051,-,-,-,-
11216,"Indophenol, 2,6-dibromo-, monosodium salt",-,-,-
11225,klot,-,-,-
11232,sudan r,-,-,-
11235,thioflavine,-,-,16953
11240,basic blue k,-,-,16599
11241,sudan red,-,-,11980862
11420,"3-(Dipentylamino)-1-(4-methoxynaphthalen-1-yl)-2,2-dimethylpropan-1-ol",-,-,223647
11452,ANTINEOPLASTIC-11452,-,-,223660
11461,Usaf Sn-31,-,-,6967
11511,NIOSH/GY7277500,-,-,223673
11590,9AD2B660I3,-,-,20684
11624,Maybridge3_001738,-,-,223719
11663,"1-Phenyl-4-propoxy-6-(propylsulfanyl)-1h-pyrazolo[3,4-d]pyrimidine",-,-,223750
11667,"1H-Pyrazolo[3,4-d]pyrimidine, 4,6-bis(p-bromoanilino)-1-...",-,-,223752
11668,"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyr...",-,-,223753
11713,c.i. pigment red 64 (8ci),-,-,80753
11773,mida,-,-,20441
11841,TimTec1_005460,-,-,223821
11881,benzoylleukomethylene blue,-,-,94975
11897,Phthiocol,-,-,10221
11905,lapachol,-,-,-
11926,tardolyt,-,-,-
11963,2-Benzyl-6-[[2-[(3-benzyl-5-chloro-2-hydroxyphenyl)methylamino]ethylamino]methyl]-4-chlorophenol;hydrochloride,-,-,24181851
11969,"3,4,6-Trichloro-2-[[2-[(2,3,5-trichloro-6-hydroxyphenyl)methylamino]ethylamino]methyl]phenol",-,-,223883
11981,"3-Methyl-8-(pentyliminomethyl)-5-propan-2-yl-2-[1,6,7-trihydroxy-3-methyl-8-(pentyliminomethyl)-5-propan-2-ylnaphthalen-2-yl]naphthalene-1,6,7-triol",-,-,223889
11991,REGID_for_CID_223899,-,-,223899
12097,Resorufin,-,-,69462
12113,"1,2-Dimethoxy-4-(2-nitropropenyl)benzene",-,-,-
12129,7-Hydroxy-8-[[4-[4-[(2-hydroxy-8-sulfonaphthalen-1-yl)diazenyl]phenyl]sulfonylphenyl]diazenyl]naphthalene-1-sulfonic acid,-,-,223984
12150,"Decanediamide, N,N'-bis(4-amino-2-methyl-6-quinolyl)-, d...",-,-,-
12161,Crotonosid,-,-,-
12174,isoflupredone,-,-,-
12181,3-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)-1-phenyl-2-naphthoic acid,-,-,408250
12198,Dromostanolone Propionate,FDA approved,Ho,224004
12455,beacon red,-,-,-
12516,4-(6-Chloro-2-methoxyacridin-9-ylamino)-2-(pyrrolidin-1-...,-,-,24181914
12517,"N-Benzyl-1-methyl-7-propan-2-yl-3,4,4a,9,10,10a-hexahydro-2H-phenanthren-1-amine;hydrochloride",-,-,24181915
12650,ANTINEOPLASTIC-12650,-,-,224279
12825,NCIMech_000116,-,-,224423
12865,"Quinine, hydrobromide, hydrate",-,-,11068
12969,c.i. 37511,-,-,-
13002,win 1701,-,-,25926
13003,wln: t c666 bnj eo1 fo1 im1yq1n2&2 mnw &gh 2,-,-,-
13006,"Ethanol, 2-[(2-[(2-methoxy-9-acridinyl)amino]ethyl)amino...",-,-,24181963
13051,4-[(6-Chloro-2-methoxyacridin-9-yl)amino]-5-methyl-2-propan-2-ylphenol,-,-,224524
13052,-,-,-,-
13055,TCMDC-142279,-,-,459702
13119,l-trp,-,-,-
13128,nicota,-,-,-
13151,J-501875,-,-,5354553
13162,Cadmium;4-chlorobenzenesulfonic acid,-,-,54603804
13204,AK-38589,-,-,95001
13239,NCI-13239,-,-,224604
13248,-,-,-,-
13275,"5,6-Dimethoxy-N-(2-piperidin-2-ylethyl)quinolin-8-amine;hydroiodide",-,-,24182013
13300,-,-,-,-
13307,"9-Phenanthrenemethanol, 6-bromo-.alpha.-[(diheptylamino)...",-,-,45049470
13314,-,-,-,-
13316,(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol,-,-,224644
13317,"N-[(7-Chloro-2-phenylquinolin-4-yl)methyl]-N',N'-diethylpropane-1,3-diamine;sulfuric acid",-,-,54609285
13318,"N',N'-Diethyl-N-[(2-phenylquinolin-4-yl)methyl]propane-1,3-diamine;sulfuric acid",-,-,54602013
13378,-,-,-,-
13380,2-(6-Methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole,-,-,224687
13397,Triamcinolone,-,-,31307
13477,"4-N-(7-Chloro-3-phenylquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;hydroiodide",-,-,24182056
13479,"1-N,1-N-Diethyl-4-N-(7-phenoxyquinolin-4-yl)pentane-1,4-diamine;2-hydroxypropane-1,2,3-tricarboxylic acid",-,-,224741
13480,-,-,-,-
13483,A821143,-,-,224743
13484,"1-N,1-N-Diethyl-4-N-(7-methoxy-2-phenylquinolin-4-yl)pentane-1,4-diamine",-,-,498042
13502,echinomycin,-,-,3197
13597,-,-,-,-
13598,7-Chloro-N-[2-[2-(diethylamino)ethylsulfonyl]ethyl]quinolin-4-amine;phosphoric acid,-,-,54603830
13616,"2-N-Cyclohexyl-1-N-(6-methoxyquinolin-8-yl)butane-1,2-di...",-,-,224810
13625,"4-[(Z)-2-(4,6-Dimethylquinolin-2-yl)ethenyl]-N,N-diethylaniline",-,-,54605076
13628,"N-(4-Benzylsulfanylquinolin-8-yl)-N',N'-diethylpropane-1,3-diamine",-,-,224815
13699,Petcm,-,-,224859
13713,-,-,-,-
13724,"N-(7-Chloro-3-methylquinolin-4-yl)-2-(4-chlorophenyl)-N',N'-diethylbutane-1,4-diamine",-,-,224873
13801,"2-mercapto-o-acetanisidide, carbamate",-,-,224935
13831,Probes1_000354,-,-,224958
13835,1-Tetradecylpyridin-1-ium-3-carboxamide;bromide,-,-,24182122
13973,basic yellow k,-,-,-
13977,Alizarin Blue S,-,-,-
13981,5-benzamido-1-aminoanthraquinone,-,-,67011
13984,SC-33007,-,-,224978
13986,janus green v,-,-,76123
14006,-,-,-,-
14009,"2,4-Dimethoxy-1-[(Z)-2-nitrobut-1-enyl]benzene",-,-,49791635
14022,Bis(methylthio)maleonitrile,-,-,5929688
14034,IMKHPTXYFMGMDE-UHFFFAOYSA-N,-,-,225001
14040,"[5-(4-Methoxybenzoyl)-2,6-dioxa-1,3-diazabicyclo[3.1.0]hex-3-en-4-yl]-(4-methoxyphenyl)methanone",-,-,225006
14050,arolen,-,-,-
14071,"Ethanol, 2-[[3-[(6-chloro-2-methoxy-9-acridinyl)amino]pr...",-,-,-
14073,1-[2-[(2-Methoxyacridin-9-yl)amino]ethylamino]propan-2-ol;hydrochloride,-,-,54609322
14079,"Acridine, 9-[(4-diethylamino-1-methylbutyl)amino]-2-meth...",-,-,54602016
14186,Maybridge1_003613,-,-,137805
14229,Acrichine,FDA approved,Db|AP,-
14380,"1,3,7-Trimethyl-8-(2-methylpropoxy)purine-2,6-dione",-,-,225223
14548,Benzylidenanthron,-,-,225328
14657,"1-[3-[(2,3-Dimethoxy-6-nitroacridin-9-yl)amino]propylamino]-2-methylpropan-2-ol;chloride",-,-,24182209
14659,"3-[2-[(6-Chloro-2-methoxyacridin-9-yl)amino]ethylamino]propane-1,2-diol;hydrochloride",-,-,24182211
14666,adenin,-,-,-
14711,-,-,-,-
14741,8-[5-(Propan-2-ylamino)pentylamino]quinolin-6-ol;hydrochloride,-,-,54605112
14864,ceprim,-,-,-
14973,N-(p-Carboxyphenyl)glycine,-,-,225483
14974,Glaucarubol,-,-,225484
14975,glarubin,-,-,-
14977,9-Hydrazinoacridinhydrochlorid,-,-,54609366
15013,ANQI,-,-,-
15078,"Malononitrile, (.beta.-pentylcinnamylidene)-",-,-,6271803
15193,Ba 2758,-,-,-
15200,gallium nitrate,-,-,-
15309,Phlorone,-,-,-
15372,p-oxinozon,-,-,-
15609,"Gluconic acid, cyclic antimonate(III), sodium salt",-,-,24182331
15623,-,-,-,-
15628,rozex,-,-,5280954
15785,-,-,-,-
15791,"Thioxanthen-9-one, 4-methyl-1-(2-piperidinoethylamino)-,...",-,-,21144135
15795,6-Chloro-1-[2-[ethyl-(2-hydroxy-2-methylpropyl)amino]ethylamino]-4-methylthioxanthen-9-one;hydrochloride,-,-,24182355
15812,"N,N-Dihexylquinoline-4-carboximidamide",-,-,408791
15813,(Z)-5-[Benzyl(methyl)amino]-2-(4-chlorophenyl)-1-phenylpent-1-en-3-one,-,-,5897951
15830,DCVC,-,-,-
15886,Q2806562,-,-,225968
15975,light orange r,-,-,18981
16034,CBDivE_011978,-,-,226033
16116,Trimethyl-[2-[pyridin-2-yl(thiophen-2-ylmethyl)amino]ethyl]azanium;iodide,-,-,5351669
16165,Azure C (VAN),-,-,135421845
16166,Azure B bromide,-,-,13797451
16219,OAM5T44TSB,-,-,226107
16222,"Phenazinium (8CI), 3-(diethylamino)-7-[(2-hydroxy-1-naph...",-,-,135421850
16239,p-anisylchloromercury,-,-,408835
16258,2-Nitro-1-phenylpropan-1-ol,-,-,226118
16520,"N,N-Diethyl-4-[(E)-2-(4-methylquinolin-2-yl)ethenyl]aniline",-,-,5912102
16685,-,-,-,-
16729,(Z)-3-(3-Methoxy-4-phenylmethoxyphenyl)prop-2-enoic acid,-,-,5354670
16865,-,-,-,-
16876,-,-,-,-
17061,"1-((3,4-Dimethoxybenzylidene)amino)-2-naphthol",-,-,226514
17065,(2-Benzamidophenyl) benzoate,-,-,226518
17245,"[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-Dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] cyclopentanecarboxylate",-,-,226609
17257,"actidione, benzoylacetate",-,-,226619
17273,Propyl quinacrine mustard,-,-,-
17275,2-[Bis(2-chloroethyl)aminomethyl]-4-[3-[bis(2-chloroethyl)aminomethyl]-4-hydroxy-5-prop-2-enylphenyl]-6-prop-2-enylphenol;hydrochloride,-,-,24182498
17473,siquil,-,-,-
17551,"1,3-Propanedione, 1-(3-pyridinyl)-3-(2,4,6-trimethyl- ph...",-,-,226783
17647,-,-,-,-
17652,"N-methyl-N-(4-(3-(pyrrolidin-1-yl)propoxy)benzyl)-4-(2,6...",-,-,-
17744,"4,4-Dimethyl-2-pentadecyl-1-(propan-2-yl)-4,5-dihydro-1h-imidazole",-,-,226857
17759,"1-[2-[(E)-Heptadec-8-enyl]-5,5-dimethyl-4H-imidazol-3-yl]propan-2-ol",-,-,5354710
17762,"2-(2-Heptadecyl-4,4-dimethyl-4,5-dihydro-1h-imidazol-1-yl)-2-methylpropan-1-ol",-,-,226869
18286,"1-Ethoxy-5-fluoro-2,4-dinitrobenzene",-,-,227098
18298,-,-,-,-
18300,-,-,-,-
18335,cinerubin b,-,-,-
18451,"Fluoren-9-one, 2-[bis(p-bromobenzyl)amino]-",-,-,227150
18460,n-(7-Nitro-9h-fluoren-2-yl)formamide,-,-,227158
18613,"Trimethyl-[2-[(1-methyl-3,4-dihydro-2H-quinolin-1-ium-1-yl)amino]ethyl]azanium;iodide",-,-,5351688
18719,-,-,-,-
18727,-,-,-,-
18758,"2,2'-Biphenyl-4,4'-diyldiguanidine sulfate(1:1)",-,-,227281
18804,hinokitol,-,-,3611
18805,"thujaplicin, alpha",-,-,-
18877,"3,4-di(benzo[b]thiophene-3-carbonyl)-1,2,5-oxadiazole 2-...",-,-,227331
18880,Phenoxathiine-4-carbohydrazide,-,-,227334
18883,"2-(12H-Benzo[a]phenothiazin-12-yl)-N,N-diethylethanamine",-,-,227337
18891,NCIMech_000665,-,-,227345
18894,valerolactim,-,-,-
19048,"Racemic gossypol, acetate salt",-,-,-
19139,A842338,-,-,227530
19147,"2-chloro-N-phenethyl-9-phenyl-9H-purin-6-amine, hydrochl...",-,-,-
19441,fda 0283,-,-,95122
19502,-,-,-,-
19509,yohimbine,-,-,-
19630,"(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl propionate",-,-,227681
19637,2-(m-Nitrostyryl)pyridine,-,-,-
19639,m-Dimaleimidobenzene,-,-,18156
19645,Nitrochin,-,-,5955
19646,WLN: T66 BNJ BO C1 ENW,-,-,-
19727,A818196,-,-,227746
19728,[(E)-(4-Hexoxyphenyl)methylideneamino]thiourea,-,-,9555790
19760,N-Phthaloyl-Phe-OH,-,-,227754
19781,"Phenol, 4,4'-(1,6-hexanediyl)bis-",-,-,90481
19802,rhamnetin,-,-,5281691
