,drug,gene,dti_existed,pubmed_hit,MECHANISM,deeppurpose,binary_deeppurpose
72,Fluorouracil,APBB1IP,0.0,0.0,DNA,0.0010904506780207157,0
73,Fluorouracil,SLC38A5,0.0,0.0,DNA,0.012228459119796753,0
74,Nandrolone phenpropionate,SGMS2,0.0,0.0,Ho,0.9917628765106201,1
75,Nandrolone phenpropionate,MAL2,0.0,0.0,Ho,0.9773174524307251,1
76,Nandrolone phenpropionate,ARHGAP29,0.0,0.0,Ho,0.9507350325584412,1
77,Nandrolone phenpropionate,SDC4,0.0,0.0,Ho,0.9498841166496277,1
78,Testolactone,CRACR2A,0.0,0.0,Ho,0.7743940949440002,1
79,Drostanolone propionate,PSMB8,0.0,0.0,Ho,0.7988001108169556,1
80,Testolactone,TMEM47,0.0,0.0,Ho,0.9022536873817444,1
81,Testolactone,LITAF,0.0,0.0,Ho,0.9817436933517456,1
82,Testolactone,ANXA6,0.0,0.0,Ho,0.6543686389923096,1
83,Mitramycin,TNFRSF12A,0.0,0.0,DNA,0.9144956469535828,1
84,Mitramycin,F11R,0.0,0.0,DNA,0.004199979826807976,0
85,Pipobroman,IGLV1-44,0.0,0.0,DNA,0.006205399055033922,0
86,Mitramycin,VAMP8,0.0,0.0,DNA,0.06886155158281326,0
87,Mitramycin,PTPRF,0.0,0.0,DNA,0.009394439868628979,0
88,Pipobroman,CAV1,0.0,0.0,DNA,0.008996054530143738,0
89,Pipobroman,PLS3,0.0,0.0,DNA,0.006042837630957365,0
90,Pipobroman,IGLC1,0.0,0.0,DNA,0.004160084296017885,0
91,Pipobroman,ANXA2P2,0.0,0.0,DNA,0.013958282768726349,0
92,Mitramycin,GPR39,0.0,0.0,DNA,0.3517730236053467,0
93,Cyclophosphamide,APBB1IP,0.0,0.0,DNA,0.9436606168746948,1
94,mitomycin C,APBB1IP,0.0,0.0,DNA,0.4438207447528839,0
95,mitomycin C,SLC43A3,0.0,0.0,DNA,0.1339702010154724,0
96,Cyclophosphamide,LCP1,0.0,1.0,DNA,0.22662289440631866,0
97,mitomycin C,HMGCR,0.0,0.0,DNA,0.7315849661827087,1
98,Cyclophosphamide,TBX18,0.0,0.0,DNA,0.9698716402053833,1
99,mitomycin C,CDK1,0.0,1.0,DNA,0.3062117397785187,0
100,mitomycin C,BAX,0.0,1.0,DNA,0.5166146159172058,1
101,5-Fluoro-2'-deoxyuridine,LCP1,0.0,0.0,DNA,0.5961083173751831,1
102,5-Fluoro-2'-deoxyuridine,APBB1IP,0.0,0.0,DNA,0.935991108417511,1
103,5-Fluoro-2'-deoxyuridine,HMGCR,0.0,0.0,DNA,0.9885644316673279,1
104,5-Fluoro-2'-deoxyuridine,BST2,0.0,0.0,DNA,0.8971843123435974,1
105,5-Fluoro-2'-deoxyuridine,RPS4Y1,0.0,0.0,DNA,0.9523035883903503,1
106,Hydroxyurea,IGLV1-44,0.0,0.0,DNA,0.012160297483205795,0
107,Hydroxyurea,IGLL5,0.0,0.0,DNA,0.02938842587172985,0
108,Hydroxyurea,SERPINB4,0.0,0.0,DNA,0.07856906950473785,0
109,Hydroxyurea,PLS3,0.0,0.0,DNA,0.17384833097457886,0
110,Curcumin,IGLV1-44,0.0,0.0,Apoptosis,0.803115725517273,1
111,Curcumin,IGLC1,0.0,0.0,Apoptosis,0.3349076807498932,0
112,Cyclophosphamide,RPS4Y1,0.0,0.0,DNA,0.9863508343696594,1
113,Curcumin,ZBTB38,0.0,0.0,Apoptosis,0.9168055057525635,1
114,Curcumin,ITGB5,0.0,0.0,Apoptosis,0.7469491958618164,1
115,Curcumin,SRPX,0.0,0.0,Apoptosis,0.12373135983943939,0
116,Hydroxyurea,IGLC1,0.0,0.0,DNA,0.016181427985429764,0
117,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",CD24,0.0,0.0,TUBB,0.4283875524997711,0
118,Dexamethasone,ANXA1,1.0,1.0,Ho,0.8016735911369324,1
119,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",SGMS2,0.0,0.0,TUBB,0.6184347867965698,1
120,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",PRDX1,0.0,0.0,TUBB,0.42426756024360657,0
121,Uracil mustard,SRPX,0.0,0.0,DNA,0.9416055083274841,1
122,Uracil mustard,HEG1,0.0,0.0,DNA,0.9966622591018677,1
123,"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",PPIC,0.0,0.0,TUBB,0.5309141278266907,1
124,Dexamethasone,PCBD1,0.0,0.0,Ho,0.5890173316001892,1
125,Dexamethasone,SGMS2,0.0,0.0,Ho,0.6673823595046997,1
126,Uracil mustard,SPP1,0.0,0.0,DNA,0.9748756289482117,1
127,Mitotane,AR,1.0,1.0,DNA,0.9906259775161743,1
128,Mitotane,FDX1,1.0,1.0,DNA,0.5958361625671387,1
129,Chelerythrine chloride,SPP1,0.0,1.0,Apoptosis,0.026124604046344757,0
130,Chelerythrine chloride,CRACR2A,0.0,0.0,Apoptosis,0.12471915036439896,0
131,Uracil mustard,ZBTB38,0.0,0.0,DNA,0.9684270620346069,1
132,Chelerythrine chloride,TMEM47,0.0,0.0,Apoptosis,0.5715433955192566,1
133,Dexamethasone,CD24,0.0,1.0,Ho,0.4905378818511963,0
134,Chelerythrine chloride,LITAF,0.0,0.0,Apoptosis,0.9781308770179749,1
135,Mitotane,MAL2,0.0,0.0,DNA,0.6305962204933167,1
136,Mitotane,PRKAG2,0.0,0.0,DNA,0.5286068320274353,1
137,DTIC-Dome,POLA2,1.0,0.0,DNA,0.7265375256538391,1
138,Mitotane,RBM24,0.0,0.0,DNA,0.5399411916732788,1
139,DTIC-Dome,AHNAK,0.0,0.0,DNA,0.8334875702857971,1
140,DTIC-Dome,APP,0.0,0.0,DNA,0.3666318356990814,0
141,DTIC-Dome,SGMS2,0.0,0.0,DNA,0.36138129234313965,0
142,Vinblastine sulfate,PRKAG2,0.0,0.0,TUBB,0.002617831574752927,0
143,Vinblastine sulfate,MAN1A1,0.0,0.0,TUBB,0.4270903468132019,0
144,Vinblastine sulfate,COL12A1,0.0,0.0,TUBB,0.09686999022960663,0
145,DTIC-Dome,SDC4,0.0,0.0,DNA,0.5477896928787231,1
146,Vinblastine sulfate,MAL2,0.0,0.0,TUBB,0.04249419644474983,0
147,Vinblastine sulfate,SNAI2,0.0,1.0,TUBB,0.5907523036003113,1
148,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",IL6ST,0.0,0.0,DNA,0.870742678642273,1
149,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",TNFRSF12A,0.0,0.0,DNA,0.9651347994804382,1
150,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",PLS3,0.0,0.0,DNA,0.6545626521110535,1
151,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",TEAD1,0.0,0.0,DNA,0.28829920291900635,0
152,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",CAV1,0.0,0.0,DNA,0.9462094902992249,1
153,Porfiromycine,HMGCR,0.0,0.0,DNA,0.4234084188938141,0
154,Porfiromycine,APBB1IP,0.0,0.0,DNA,0.17923662066459656,0
155,Porfiromycine,BAX,0.0,0.0,DNA,0.17637288570404053,0
156,Oxyphenisatin acetate,TJP1,0.0,0.0,Acetalax,0.05213753506541252,0
157,Oxyphenisatin acetate,APP,0.0,0.0,Acetalax,0.7481909990310669,1
158,Oxyphenisatin acetate,AHNAK,0.0,0.0,Acetalax,0.9409225583076477,1
159,Porfiromycine,SPP1,0.0,0.0,DNA,0.01073502004146576,0
160,Oxyphenisatin acetate,SGMS2,0.0,0.0,Acetalax,0.22252711653709412,0
161,Oxyphenisatin acetate,AJUBA,0.0,0.0,Acetalax,0.5421465039253235,1
162,Cylocide,APBB1IP,0.0,0.0,DNA,0.2709159255027771,0
163,Cylocide,ELOVL5,0.0,0.0,DNA,0.007875190116465092,0
164,Cylocide,SLC43A3,0.0,0.0,DNA,0.03278772905468941,0
165,Cylocide,COL12A1,0.0,0.0,DNA,0.19989222288131714,0
166,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",ELOVL5,0.0,0.0,DNA,0.6152781844139099,1
167,Cylocide,MIF,0.0,0.0,DNA,0.006381009705364704,0
168,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",SH3BP4,0.0,0.0,DNA,0.9653446078300476,1
169,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",MIF,0.0,0.0,DNA,0.12885990738868713,0
170,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",TNFRSF12A,0.0,0.0,DNA,0.77178555727005,1
171,Vincristine sulfate,CD24,0.0,1.0,TUBB,0.008333729580044746,0
172,alpha-Thiodeoxyguanosine,CRACR2A,0.0,0.0,DNA,0.1308073103427887,0
173,alpha-Thiodeoxyguanosine,LITAF,0.0,0.0,DNA,0.6005982160568237,1
174,alpha-Thiodeoxyguanosine,TMEM47,0.0,0.0,DNA,0.2158450186252594,0
175,Megestrol acetate,PRDX1,0.0,0.0,Ho,0.7593445181846619,1
176,Megestrol acetate,RPL3,0.0,0.0,Ho,0.7511779069900513,1
177,Megestrol acetate,TJP1,0.0,0.0,Ho,0.7526471018791199,1
178,Megestrol acetate,SGMS2,0.0,0.0,Ho,0.7751619219779968,1
179,Ellipticine,APBB1IP,0.0,0.0,DNA,0.185419499874115,0
180,Ellipticine,SLC43A3,0.0,0.0,DNA,0.5271914601325989,1
181,Ellipticine,SPP1,0.0,0.0,DNA,0.32641759514808655,0
182,alpha-Thiodeoxyguanosine,SGMS2,0.0,0.0,DNA,0.13109199702739716,0
183,alpha-Thiodeoxyguanosine,SDC4,0.0,0.0,DNA,0.20053936541080475,0
184,Ellipticine,HMGCR,0.0,0.0,DNA,0.7376338243484497,1
185,alpha-Thiodeoxyguanosine,TJP1,0.0,0.0,DNA,0.332287073135376,0
186,alpha-Thiodeoxyguanosine,PRDX1,0.0,0.0,DNA,0.10651754587888718,0
187,Fluorodopan,LITAF,0.0,0.0,DNA,0.9572117924690247,1
188,Fluorodopan,CRACR2A,0.0,0.0,DNA,0.9172229170799255,1
189,Procarbazine hydrochloride,APP,0.0,0.0,DNA,0.08575958758592606,0
190,Procarbazine hydrochloride,CAV1,0.0,1.0,DNA,0.010457582771778107,0
191,Procarbazine hydrochloride,PLS3,0.0,0.0,DNA,0.03245268389582634,0
192,Lomustine,STMN4,1.0,0.0,DNA,0.45358341932296753,0
193,Fluorodopan,SPP1,0.0,0.0,DNA,0.9637253880500793,1
194,Procarbazine hydrochloride,DST,0.0,0.0,DNA,0.055228278040885925,0
195,Lomustine,RPL3,0.0,0.0,DNA,0.5486343502998352,1
196,alpha-Thiodeoxyguanosine,APP,0.0,0.0,DNA,0.9006227254867554,1
197,"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",SLC43A3,0.0,0.0,DNA,0.7303977012634277,1
198,Lomustine,TUBA1B,0.0,0.0,DNA,0.24710579216480255,0
199,Procarbazine hydrochloride,CKAP4,0.0,0.0,DNA,0.0008266458753496408,0
200,Daunoblastin,CD24,0.0,1.0,DNA,0.00045331448200158775,0
201,Daunoblastin,PCBD1,0.0,0.0,DNA,0.004484734032303095,0
202,Daunoblastin,SGMS2,0.0,1.0,DNA,0.04930882528424263,0
203,Daunoblastin,SLC43A3,0.0,0.0,DNA,0.04557013884186745,0
204,Tritylcysteine,APBB1IP,0.0,0.0,TUBB,0.8578439354896545,1
205,Daunoblastin,FXYD5,0.0,0.0,DNA,0.000599755032453686,0
206,Daunoblastin,HMGCR,0.0,1.0,DNA,0.8407129049301147,1
207,Daunoblastin,BAX,0.0,1.0,DNA,0.6142023205757141,1
208,Tritylcysteine,IGLV1-44,0.0,0.0,TUBB,0.9517122507095337,1
209,Tritylcysteine,IGLC1,0.0,0.0,TUBB,0.514580488204956,1
210,Tritylcysteine,PLS3,0.0,0.0,TUBB,0.8730725049972534,1
211,Tritylcysteine,ANXA2P2,0.0,0.0,TUBB,0.33774635195732117,0
212,Zanosar,SGMS2,0.0,0.0,DNA,0.022170279175043106,0
213,Zanosar,TJP1,0.0,1.0,DNA,0.09117463231086731,0
214,Zanosar,AJUBA,0.0,0.0,DNA,0.1843123435974121,0
215,Zanosar,APP,0.0,1.0,DNA,0.43527424335479736,0
216,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,SGMS2,0.0,0.0,Other,0.9951099753379822,1
217,Zanosar,PCBD1,0.0,1.0,DNA,0.0009503003093414009,0
218,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,CD24,0.0,0.0,Other,0.3276708722114563,0
219,Estramustine,MAP1A,1.0,1.0,DNA,0.8275759816169739,1
220,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,PCBD1,0.0,0.0,Other,0.914629340171814,1
221,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,ABLIM1,0.0,0.0,Other,0.987204372882843,1
222,8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid,LSR,0.0,0.0,Other,0.9949060678482056,1
223,Calusterone,ELOVL5,0.0,0.0,Ho,0.7850015163421631,1
224,Calusterone,AR,1.0,0.0,Ho,0.9806947708129883,1
225,Calusterone,ARHGAP29,0.0,0.0,Ho,0.7140172123908997,1
226,Calusterone,ETS1,0.0,0.0,Ho,0.7124158143997192,1
227,Estramustine,TMEM47,0.0,0.0,DNA,0.980169951915741,1
228,Estramustine,CRACR2A,0.0,0.0,DNA,0.9548437595367432,1
229,Estramustine,ANXA6,0.0,0.0,DNA,0.02822389081120491,0
230,Vinleurosine sulfate,TPST1,0.0,0.0,TUBB,0.1112426146864891,0
231,Vinleurosine sulfate,SNAI2,0.0,0.0,TUBB,0.47392386198043823,0
232,Vinleurosine sulfate,ZNF22,0.0,0.0,TUBB,0.032386429607868195,0
233,Camptothecin,APP,0.0,1.0,DNA,0.6156485676765442,1
234,Camptothecin,PRDX1,0.0,1.0,DNA,0.6815054416656494,1
235,Vinleurosine sulfate,MB21D2,0.0,0.0,TUBB,0.8000059723854065,1
236,Camptothecin,AHNAK,0.0,0.0,DNA,0.9699263572692871,1
237,Camptothecin,SGMS2,0.0,0.0,DNA,0.8781942129135132,1
238,"Camptothecin, acetate",MSN,0.0,0.0,DNA,0.885059654712677,1
239,Daunoblastin,TJP1,0.0,1.0,DNA,0.014489219523966312,0
240,"Camptothecin, acetate",RPL3,0.0,0.0,DNA,0.9584733843803406,1
241,"Camptothecin, acetate",TUBA1B,0.0,0.0,DNA,0.3884508013725281,0
242,Semustine,CRACR2A,0.0,0.0,DNA,0.9424021244049072,1
243,Semustine,BAX,0.0,0.0,DNA,0.9802132248878479,1
244,Semustine,SPP1,0.0,1.0,DNA,0.9663742780685425,1
245,Semustine,APBB1IP,0.0,0.0,DNA,0.9582358002662659,1
246,"1-(2-Chloroethyl)-3-(2,6-dioxo-3-piperidyl)-1-nitrosourea",APP,0.0,0.0,DNA,0.39068904519081116,0
247,"1-(2-Chloroethyl)-3-(2,6-dioxo-3-piperidyl)-1-nitrosourea",RPL3,0.0,0.0,DNA,0.6341581344604492,1
248,"1-(2-Chloroethyl)-3-(2,6-dioxo-3-piperidyl)-1-nitrosourea",SGMS2,0.0,0.0,DNA,0.584356427192688,1
249,"1-(2-Chloroethyl)-3-(2,6-dioxo-3-piperidyl)-1-nitrosourea",PRDX1,0.0,0.0,DNA,0.21191205084323883,0
250,"Hydrazinecarbothioamide, 2-[(3-hydroxy-2-pyridinyl)methylene]-",ITGB5,0.0,0.0,DNA,0.5105383992195129,1
251,"Hydrazinecarbothioamide, 2-[(3-hydroxy-2-pyridinyl)methylene]-",HEXB,0.0,0.0,DNA,0.22811411321163177,0
252,"Hydrazinecarbothioamide, 2-[(3-hydroxy-2-pyridinyl)methylene]-",EDIL3,0.0,0.0,DNA,0.29353755712509155,0
253,Camptothecine sodium,APBB1IP,0.0,0.0,DNA,0.938581109046936,1
254,"Hydrazinecarbothioamide, 2-[(3-hydroxy-2-pyridinyl)methylene]-",IFI16,0.0,0.0,DNA,0.4210539758205414,0
255,Camptothecine sodium,SLC43A3,0.0,0.0,DNA,0.39959922432899475,0
256,Camptothecine sodium,SPP1,0.0,0.0,DNA,0.493211954832077,0
257,Camptothecine sodium,RPS4Y1,0.0,0.0,DNA,0.6885737776756287,1
258,Camptothecine sodium,HMGCR,0.0,0.0,DNA,0.9979828596115112,1
259,"Hydrazinecarbothioamide, 2-[(3-hydroxy-2-pyridinyl)methylene]-",DSE,0.0,0.0,DNA,0.4224686324596405,0
260,Improsulfan hydrochloride,APBB1IP,0.0,0.0,DNA,0.8137264251708984,1
261,Calusterone,MIF,0.0,0.0,Ho,0.4227310121059418,0
262,Improsulfan hydrochloride,SPP1,0.0,0.0,DNA,0.8922977447509766,1
263,Improsulfan hydrochloride,RPS4Y1,0.0,0.0,DNA,0.8436614274978638,1
264,Vinleurosine sulfate,PRKAG2,0.0,0.0,TUBB,0.0019273464567959309,0
265,Improsulfan hydrochloride,DDX3Y,0.0,0.0,DNA,0.8365286588668823,1
266,"1,3,5-Triazin-2(1H)-one, 4-amino-1-beta-D-ribofuranosyl-",APBB1IP,0.0,0.0,Methylation,0.5815526843070984,1
267,Improsulfan hydrochloride,BST2,0.0,0.0,DNA,0.8164512515068054,1
268,"1,3,5-Triazin-2(1H)-one, 4-amino-1-beta-D-ribofuranosyl-",HMGCR,0.0,1.0,Methylation,0.8258910775184631,1
269,Dibromdulcitol,IGLV1-44,0.0,0.0,DNA,0.48419830203056335,0
270,"1,3,5-Triazin-2(1H)-one, 4-amino-1-beta-D-ribofuranosyl-",SPP1,0.0,1.0,Methylation,0.18762092292308807,0
271,"1,3,5-Triazin-2(1H)-one, 4-amino-1-beta-D-ribofuranosyl-",BAX,0.0,1.0,Methylation,0.2930011451244354,0
272,Dibromdulcitol,IGLC1,0.0,0.0,DNA,0.4528501033782959,0
273,Dibromdulcitol,PLS3,0.0,0.0,DNA,0.3137984573841095,0
274,Dibromdulcitol,ANXA2P2,0.0,0.0,DNA,0.6332741379737854,1
275,5-(6-Amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol,RPL3,0.0,0.0,DNA,0.414182186126709,0
276,Dibromdulcitol,APBB1IP,0.0,0.0,DNA,0.4190804660320282,0
277,5-(6-Amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol,CD24,0.0,0.0,DNA,0.6571840047836304,1
278,5-(6-Amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol,TUBA1B,0.0,0.0,DNA,0.713141143321991,1
279,Deoxycamptothecin,MSN,0.0,0.0,DNA,0.9343351721763611,1
280,10-Hydroxycamptothecin,MSN,0.0,1.0,DNA,0.9575333595275879,1
281,Deoxycamptothecin,SLC43A3,0.0,0.0,DNA,0.1416139006614685,0
282,5-Hydroxypicolinaldehyde thiosemicarbazone,APP,0.0,0.0,DNA,0.8723733425140381,1
283,5-Hydroxypicolinaldehyde thiosemicarbazone,RPL3,0.0,0.0,DNA,0.1536293625831604,0
284,10-Hydroxycamptothecin,SLC43A3,0.0,0.0,DNA,0.7297423481941223,1
285,5-Hydroxypicolinaldehyde thiosemicarbazone,MAL2,0.0,0.0,DNA,0.03197282925248146,0
286,Ifosfamide,SLC43A3,0.0,0.0,DNA,0.6504839658737183,1
287,10-Hydroxycamptothecin,RPS4Y1,0.0,0.0,DNA,0.9363702535629272,1
288,Ifosfamide,PRKD1,0.0,0.0,DNA,1.7413883597328095e-06,0
289,"1-(2-Chloroethyl)-3-(2,6-dioxo-3-piperidyl)-1-nitrosourea",SDC4,0.0,0.0,DNA,0.820587158203125,1
290,Carbendazim,IGLV1-44,0.0,0.0,TUBB,0.720543384552002,1
291,5-Hydroxypicolinaldehyde thiosemicarbazone,PRDX1,0.0,0.0,DNA,0.06138766556978226,0
292,Carbendazim,ANXA2P2,0.0,0.0,TUBB,0.07358115166425705,0
293,Carbendazim,IGLC1,0.0,0.0,TUBB,0.3204689025878906,0
294,10-Methoxycamptothecin,APBB1IP,0.0,0.0,DNA,0.6967057585716248,1
295,Carbendazim,PLS3,0.0,0.0,TUBB,0.2430555671453476,0
296,10-Methoxycamptothecin,HMGCR,0.0,0.0,DNA,0.9837207794189453,1
297,10-Methoxycamptothecin,FXYD5,0.0,0.0,DNA,0.42295658588409424,0
298,10-Methoxycamptothecin,BST2,0.0,0.0,DNA,0.5161150097846985,1
299,Oxyphenisatin acetate,APP,0.0,0.0,Acetalax,0.7481909990310669,1
300,10-Hydroxycamptothecin,SPP1,0.0,0.0,DNA,0.8305909633636475,1
301,5-(6-Amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol,PRDX1,0.0,0.0,DNA,0.7012343406677246,1
302,10-Hydroxycamptothecin,APBB1IP,0.0,0.0,DNA,0.8986412882804871,1
303,Deoxycamptothecin,APBB1IP,0.0,0.0,DNA,0.3019172251224518,0
304,Oxyphenisatin acetate,TJP1,0.0,0.0,Acetalax,0.05213753506541252,0
305,Oxyphenisatin acetate,SGMS2,0.0,0.0,Acetalax,0.22252711653709412,0
306,Oxyphenisatin acetate,AHNAK,0.0,0.0,Acetalax,0.9409225583076477,1
