Drug,Cell
AT-7519,CAL-85-1
Dasatinib,D-247MG
Pevonedistat,SISO
Omipalisib,U-266
Refametinib_1014,CP66-MEL
AZD8055,BB65-RCC
Shikonin,KMRC-1
NSC319726,SCC-9
IMD-0354,LB831-BLC
GSK1059615,NCI-H727
NSC319726,KMOE-2
CD532,SU-DHL-10
Refametinib_1526,K2
CUDC-101,SW982
NSC319726,Ramos-2G6-4C10
Doxorubicin_1386,BB65-RCC
AT-7519,ARH-77
Doxorubicin_1386,NCI-H1975
AR-42,CCK-81
Docetaxel,BB65-RCC
GSK1059615,KU812
Refametinib_1014,A375
Doxorubicin_1386,COLO-684
Tanespimycin,SW780
MK-2206,LB2241-RCC
AR-42,GAK
Belinostat,HOP-62
Tivozanib,MOLT-13
Bleomycin (50 uM),IMR-5
IMD-0354,LB2241-RCC
CD532,HCC70
Shikonin,KU812
Vinblastine,KU812
CD532,GAK
Omipalisib,PCI-30
Docetaxel,JEG-3
PHA-793887,OC-314
BMS-754807,A101D
Vinblastine,A101D
Belinostat,KARPAS-299
Methotrexate,KM12
Apitolisib,AU565
Afatinib_1032,LU-139
QL-X-138,PL-21
Refametinib_1014,MEL-JUSO
Dabrafenib,IGR-37
GSK1059615,ME-180
Belinostat,PCI-6A
Docetaxel,SK-HEP-1
CAY10603,OCI-LY-19
Vinblastine,NCI-H929
GSK690693,SU-DHL-10
Omipalisib,KYSE-410
Ispinesib Mesylate,ES6
Docetaxel,SK-MEL-24
torin2,MZ2-MEL
Apitolisib,OPM-2
Doxorubicin_1386,DND-41
Afatinib_1032,BB65-RCC
AZD8055,SU-DHL-10
Vinblastine,SU-DHL-5
CUDC-101,RF-48
IOX2,TE-4
Etoposide,ESS-1
Afatinib_1032,EFM-192A
Tanespimycin,NCI-H82
ZSTK474,769-P
Tanespimycin,PCI-30
BAY-MPS-combo 2 (paclitaxel 1 uM),SK-ES-1
BAY-MPS-combo 2 (paclitaxel 1 uM),SBC-3
AZD4547_1135,GI-ME-N
Docetaxel,JHOS-4
Afatinib_1032,SK-MES-1
AZD8055,LB2241-RCC
CGP-60474,HA7-RCC
CAY10603,SK-N-AS
Sepantronium bromide,SW1417
Etoposide,A375
Doxorubicin_1386,MLMA
Torin 2,LN-18
Shikonin,NCI-H727
Doxorubicin_1386,CAL-33
Obatoclax Mesylate,KURAMOCHI
TW 37,SiHa
Methotrexate,MHH-PREB-1
Tivozanib,SF539
Torin 2,NB17
IMD-0354,BFTC-905
Bleomycin,EW-16
Refametinib_1526,UACC-257
CD532,UM-UC-3
BAY-MPS-combo-1 (paclitaxel 5 uM),BHT-101
GSK269962A_127,OCI-M1
JW-7-24-1,ES5
Rapamycin,THP-1
AGI-6780,SU-DHL-10
AR-42,BE-13
Torin 2,GI-ME-N
(5Z)-7-Oxozeaenol,JHOS-2
AT-7519,BHY
Vinblastine,KP-2
TW 37,OC-314
AZD8931,NCI-N87
Vinblastine,NAMALWA
WYE-125132,SW1088
Vinblastine,NCI-H2170
Vinblastine,YH-13
Doxorubicin_1386,RT4
AZD8055,COLO-205
CUDC-101,MDST8
TW 37,SISO
Ispinesib Mesylate,EPLC-272H
Doxorubicin_1386,HSC-3
TW 37,MZ1-PC
AR-42,DAN-G
TW 37,MDA-MB-468
torin2,ES8
AT-7519,COR-L321
BAY-MPS-combo 2 (paclitaxel 1 uM),OE19
ZSTK474,SLVL
(5Z)-7-Oxozeaenol,HCT-116
Shikonin,SK-MEL-30
Belinostat,RF-48
AS605240,JURL-MK1
NSC319726,ZR-75-30
Obatoclax Mesylate,MZ2-MEL
Shikonin,TOV-112D
Wee1 Inhibitor,HSC-3
Shikonin,MZ7-mel
Docetaxel,SU-DHL-16
Ponatinib,PA-TU-8988T
AST-1306,GI-ME-N
Sorafenib,KM12
Obatoclax Mesylate,DEL
Sepantronium bromide,CAL-33
Vinblastine,Calu-3
5-Fluorouracil,KARPAS-299
Apitolisib,Ramos-2G6-4C10
CUDC-101,HuP-T3
Pevonedistat,TE-12
Ponatinib,EW-16
Apitolisib,DEL
Torin 2,SKN
AZD8055,OCUB-M
Wee1 Inhibitor,HAL-01
Docetaxel,Calu-3
Vinblastine,SNU-C2B
Vinblastine,MKN28
torin2,PL4
BMS-754807,SK-N-SH
Methotrexate,U-2-OS
GSK1059615,DND-41
BAY-MPS-combo 2 (paclitaxel 1 uM),MLMA
Docetaxel,MLMA
Sepantronium bromide,P32-ISH
Tivozanib,D-566MG
JW-7-24-1,NB17
TW 37,P32-ISH
Bleomycin (50 uM),SK-MEL-24
Obatoclax Mesylate,MFE-319
FH535,EFM-192A
Docetaxel,A549
AZD8055,U-698-M
BAY-MPS-combo-1 (paclitaxel 5 uM),HOP-92
(5Z)-7-Oxozeaenol,PA-TU-8988T
CAY10603,JM1
Sepantronium bromide,MS-1
CD532,SU-DHL-16
Tanespimycin,SAS
Belinostat,23132-87
AR-42,RH-41
Ponatinib,MOLP-8
Sepantronium bromide,LC-1-sq
CGP-60474,MOLP-8
NSC319726,P30-OHK
Ponatinib,KURAMOCHI
GSK1059615,UMC-11
Shikonin,Ramos-2G6-4C10
TW 37,PC-3
Tivozanib,Ramos-2G6-4C10
Vinblastine,MDST8
Methotrexate,STS-0421
I-BET-151,SU-DHL-16
Afatinib_1032,KYSE-270
AR-42,MPP-89
Tanespimycin,SW962
Pevonedistat,A172
BAY-MPS-combo 2 (paclitaxel 1 uM),EBC-1
Cytarabine,MLMA
Entinostat,OPM-2
Apitolisib,JURL-MK1
Rapamycin,NOMO-1
JQ12,RF-48
PI-103,TOV-112D
CD532,TGBC24TKB
GSK1059615,GI-1
IOX2,NB(TU)1-10
CD532,TC-71
AZD8055,SAT
CD532,Farage
Methotrexate,SW1417
AR-42,NCI-N87
Docetaxel,TGBC11TKB
Docetaxel,Saos-2
PIK-93,OCI-AML2
Docetaxel,SK-N-SH
Shikonin,KARPAS-299
Shikonin,A673
TW 37,SK-MEL-3
BAY-MPS-combo 2 (paclitaxel 1 uM),JVM-2
Torin 2,NCI-H82
TW 37,NB17
Doxorubicin_1386,KNS-62
Vinblastine,HT-1197
Refametinib_1526,LB2518-MEL
Bosutinib,JVM-3
AR-42,NCI-H1048
Tanespimycin,Hs-578-T
BAY-MPS-combo 2 (paclitaxel 1 uM),PCI-6A
Tanespimycin,OVCAR-5
Torin 2,RCC-ER
NSC319726,DSH1
IOX2,ESS-1
GSK1059615,HCC1599
CAY10603,SBC-3
Afatinib_1032,KYSE-410
Torin 2,CHP-212
Omipalisib,KYSE-270
AR-42,KM12
Cytarabine,NCI-H23
TW 37,HH
TW 37,STS-0421
Apitolisib,MHH-PREB-1
BAY-61-3606,MOLP-8
Refametinib_1526,A549
Cytarabine,COLO-800
IOX2,STS-0421
Omipalisib,KARPAS-299
Ispinesib Mesylate,NCI-H727
Omipalisib,MOG-G-UVW
Docetaxel,HT-1197
JQ12,ST486
CD532,GI-1
(5Z)-7-Oxozeaenol,CL-11
Vinblastine,YAPC
Docetaxel,NCI-H211
Docetaxel,LP-1
Refametinib_1526,NCI-H929
Vinblastine,OCI-LY-19
Afatinib_1032,OSC-19
Methotrexate,TC-71
Torin 2,LB2241-RCC
Afatinib_1032,Calu-3
Vinblastine,DSH1
BAY-MPS-combo-1 (paclitaxel 5 uM),MOLM-13
Cytarabine,HAL-01
CUDC-101,SK-MM-2
XAV939,BHT-101
Ispinesib Mesylate,NCI-H446
Torin 2,G-MEL
Cabozantinib,ALL-PO
Refametinib_1526,OV-90
LDN-193189,GCT
Bosutinib,BV-173
NSC319726,KMRC-1
TW 37,HT-3
NSC319726,Mewo
Sepantronium bromide,HCC2157
IOX2,IMR-5
Sepantronium bromide,OCI-LY-19
Docetaxel,HEC-1
Ispinesib Mesylate,NCI-H647
AZD8055,LS-180
Ispinesib Mesylate,HH
Torin 2,GCIY
CD532,RPMI-6666
Tozasertib,SK-ES-1
ZSTK474,LB1047-RCC
A-770041,SU-DHL-16
BAY-MPS-combo 2 (paclitaxel 1 uM),ASH-3
NSC319726,OCI-AML2
PI-103,SK-ES-1
Belinostat,MHH-PREB-1
Linifanib,NKM-1
Torin 2,AN3-CA
Shikonin,OCI-AML3
Sepantronium bromide,COLO-800
NSC319726,MZ2-MEL
Belinostat,NCI-H522
NSC319726,KELLY
BAY-61-3606,HC-1
Shikonin,PL-21
BMS-754807,Hs-940-T
Obatoclax Mesylate,COLO-205
Methotrexate,23132-87
Refametinib_1526,SK-MEL-2
PHA-793887,OCI-LY-19
Cabozantinib,MOLM-13
JQ12,PA-1
Entinostat,CRO-AP2
JQ12,JEG-3
IMD-0354,TC-YIK
NSC319726,NCI-H1793
Torin 2,MDA-MB-468
Methotrexate,HCC1143
Torin 2,Farage
VX-11e,KMOE-2
Sepantronium bromide,P30-OHK
Nilotinib,LB2241-RCC
Omipalisib,EBC-1
Torin 2,A673
BAY-MPS-combo-1 (paclitaxel 5 uM),IGR-37
AZD8055,BL-41
TW 37,RH-18
Shikonin,NCI-H211
Shikonin,Hs-940-T
Obatoclax Mesylate,RMG-I
Torin 2,MOLT-13
Belinostat,HCC1599
Ispinesib Mesylate,SK-MG-1
TW 37,BB65-RCC
Methotrexate,A172
Imatinib,BE-13
CD532,DJM-1
ZM447439,LB2241-RCC
TW 37,SK-MEL-30
Doxorubicin_1386,NCI-H929
Obatoclax Mesylate,LB831-BLC
Pevonedistat,Hs-578-T
Ispinesib Mesylate,SK-N-AS
BMS-754807,5637
Obatoclax Mesylate,TK10
AZD6482_1066,HAL-01
Refametinib_1526,MDST8
CUDC-101,OVISE
AR-42,SBC-3
BAY-MPS-combo 2 (paclitaxel 1 uM),ETK-1
PF-562271,SW982
CUDC-101,UMC-11
Tipifarnib,TE-15
Sepantronium bromide,769-P
Obatoclax Mesylate,TGW
BAY-MPS-combo 2 (paclitaxel 1 uM),KELLY
Torin 2,SK-N-FI
Pevonedistat,SBC-1
Ispinesib Mesylate,COR-L23
Obatoclax Mesylate,MOLP-8
TW 37,SK-ES-1
Dabrafenib,SNG-M
Apitolisib,GI-ME-N
CD532,WM278
Belinostat,ROS-50
Bleomycin (50 uM),PA-TU-8988T
Obatoclax Mesylate,HCC1599
Docetaxel,A2058
Ispinesib Mesylate,A101D
LDN-193189,A101D
NSC319726,CAL-85-1
Sepantronium bromide,Hs-445
Ispinesib Mesylate,RPMI-6666
Shikonin,KYSE-50
TW 37,SCC-9
Docetaxel,U251
Ispinesib Mesylate,HCC2157
AR-42,23132-87
Shikonin,OCI-AML5
Vinblastine,COLO-680N
NSC319726,CP66-MEL
Omipalisib,SK-ES-1
Sepantronium bromide,A375
Pevonedistat,SAS
Methotrexate,NCI-H1963
NSC319726,CL-11
Bleomycin,NCI-H522
BAY-61-3606,QIMR-WIL
Belinostat,LP-1
CAY10603,COR-L321
Doxorubicin_1386,TK10
PHA-793887,BC-1
AZD8055,SNU-423
Tivozanib,NAMALWA
NSC319726,A549
Refametinib_1014,MDST8
Torin 2,SW962
AT-7519,HC-1
Vinblastine,KP-3
Tipifarnib,DMS-273
AT-7519,RT4
Entinostat,KS-1
Ponatinib,Hep3B2-1-7
NSC319726,Hs-578-T
Doxorubicin_1386,OCI-AML3
JW-7-24-1,KARPAS-299
AZD8055,BHY
AR-42,KMS-11
torin2,D-247MG
BAY-61-3606,SBC-3
Sepantronium bromide,FTC-133
WYE-125132,G-MEL
Vinblastine,HCC1395
Obatoclax Mesylate,RC-K8
Omipalisib,KYSE-50
IMD-0354,HOP-62
Etoposide,OCI-AML5
TW 37,JHOS-4
AT-7519,NCI-H82
AS605240,RKN
CUDC-101,MZ1-PC
NSC319726,LU-139
AT-7519,HCT-116
BAY-MPS-combo 2 (paclitaxel 1 uM),UMC-11
Doxorubicin_1386,Detroit562
GSK1059615,LB2518-MEL
Torin 2,P30-OHK
Doxorubicin_1386,MZ2-MEL
AT-7519,STS-0421
Ispinesib Mesylate,CAL-85-1
TW 37,HMV-II
Tanespimycin,NCI-H647
Vinblastine,SK-MEL-28
PI-103,MHH-NB-11
GSK269962A_127,MFH-ino
IOX2,HMV-II
Dabrafenib,SK-MEL-24
Cytarabine,5637
BAY-MPS-combo-1 (paclitaxel 5 uM),GCT
Ispinesib Mesylate,HCT-15
Doxorubicin_1386,NCI-H661
QL-X-138,SCC-9
IMD-0354,SW982
Sepantronium bromide,SU-DHL-10
(5Z)-7-Oxozeaenol,ME-180
Torin 2,MEL-JUSO
Omipalisib,COR-L311
Ispinesib Mesylate,D-392MG
Pevonedistat,SW780
Sepantronium bromide,HEC-1
PHA-793887,MOLP-8
Tipifarnib,MZ7-mel
AR-42,ES-2
torin2,HCT-15
IOX2,K2
Shikonin,U031
IMD-0354,NCI-H1048
Obatoclax Mesylate,IST-MES1
BMS-536924_1091,OCI-AML5
Tretinoin,NOMO-1
Pevonedistat,5637
Pevonedistat,PC-3
Dasatinib,KNS-42
Docetaxel,SNU-423
Obatoclax Mesylate,G-MEL
Ponatinib,SK-MEL-24
Ispinesib Mesylate,OPM-2
Omipalisib,SW1088
Ispinesib Mesylate,HMV-II
BAY-MPS-combo 2 (paclitaxel 1 uM),NB10
Torin 2,TE-4
BAY-MPS-combo 2 (paclitaxel 1 uM),ES-2
GSK1059615,CPC-N
CUDC-101,NB7
Sepantronium bromide,HCC1395
BAY-MPS-combo 2 (paclitaxel 1 uM),PEO1
BAY-MPS-combo-1 (paclitaxel 5 uM),RT4
Belinostat,MHH-NB-11
I-BET-762,SU-DHL-16
Doxorubicin_1386,MFH-ino
TW 37,CHSA8926
IMD-0354,D-566MG
WYE-125132,MFM-223
Methotrexate,DEL
CUDC-101,HCT-116
Torin 2,ME-180
Ispinesib Mesylate,RCC-AB
Refametinib_1014,EBC-1
Tozasertib,NCI-H1963
Shikonin,NCI-H1975
NSC319726,OCI-M1
QL-X-138,NCI-H446
torin2,LB771-HNC
NSC319726,SKN
GSK1059615,SCC-4
Doxorubicin_1386,OVCAR-3
Docetaxel,RT-112
CUDC-101,SNU-475
Doxorubicin_1386,JHOS-2
AZD8055,IGR-37
Rapamycin,NB1
CAY10603,EW-16
Pevonedistat,BB65-RCC
Talazoparib,Hs-445
I-BET-151,COLO-800
Apitolisib,Farage
Cytarabine,A673
TW 37,MKN28
Vinblastine,SCC-25
NSC319726,Hs-445
Obatoclax Mesylate,OVCAR-3
JW-7-24-1,P30-OHK
WYE-125132,23132-87
Dasatinib,MLMA
Docetaxel,D-566MG
MK-2206,MFM-223
JW-7-24-1,ALL-PO
AT-7519,NCI-H1648
Ponatinib,EW-13
Omipalisib,SISO
Ispinesib Mesylate,TE-12
AZD8055,HA7-RCC
MK-2206,NB1
Masitinib,D-247MG
Obatoclax Mesylate,D-566MG
Doxorubicin_1386,OVCA420
TW 37,SNU-423
Etoposide,KYSE-150
Omipalisib,no-11
Omipalisib,LS-180
NSC319726,SK-MEL-2
AZD4547_1135,SW962
Vinblastine,CPC-N
BAY-MPS-combo-1 (paclitaxel 5 uM),VMRC-LCD
Bleomycin,LS-180
BMS-754807,NCI-H1770
PI-103,SU-DHL-16
Sepantronium bromide,ST486
WYE-125132,RCC-ER
Docetaxel,PC-14
Sepantronium bromide,MDA-MB-330
CD532,TOV-112D
Obatoclax Mesylate,HA7-RCC
TW 37,KMOE-2
Methotrexate,NCI-H2170
Tanespimycin,NCI-H929
Apitolisib,NCI-H1048
Tanespimycin,TK10
TWS119,SU-DHL-5
Pevonedistat,HC-1
Vinblastine,OCI-AML5
Torin 2,SLVL
IMD-0354,NB17
I-BET-151,TC-71
CAY10603,KELLY
AR-42,IMR-5
Etoposide,NCI-H2030
Etoposide,RS4-11
CAY10603,WIL2-NS
Doxorubicin_1386,A388
NSC319726,KYSE-70
TW 37,MDST8
BAY-MPS-combo-1 (paclitaxel 5 uM),MDA-MB-468
Vinblastine,NCI-H1781
Docetaxel,PCI-38
Refametinib_1014,OVCAR-5
NSC319726,HSC-3
Vinblastine,AU565
Sepantronium bromide,NAMALWA
LDN-193189,U-2-OS
IOX2,RO82-W-1
Sepantronium bromide,PL4
Doxorubicin_1386,A253
TW 37,A375
IOX2,NCI-H1869
Omipalisib,NCI-H727
Ispinesib Mesylate,A549
Vinblastine,HSC-3
Methotrexate,DSH1
CD532,A375
Torin 2,SJRH30
Belinostat,MDA-MB-330
Tanespimycin,5637
CAY10603,DND-41
Belinostat,MOLT-13
CGP-60474,SK-N-FI
IOX2,RT4
Talazoparib,CML-T1
Talazoparib,TC-YIK
Torin 2,HCT-15
AZD8055,CP50-MEL-B
Omipalisib,MHH-PREB-1
Dabrafenib,A375
CD532,NCI-H446
WYE-125132,VAL
Vinblastine,LS-180
AZD8055,PCI-6A
Shikonin,OPM-2
Cytarabine,ES8
AT-7519,PL-21
(5Z)-7-Oxozeaenol,DMS-273
Refametinib_1526,SW962
Refametinib_1014,SCC-25
NSC319726,D-542MG
BAY-MPS-combo 2 (paclitaxel 1 uM),DB
Doxorubicin_1386,VAL
Obatoclax Mesylate,AMO-1
Bleomycin (50 uM),GI-ME-N
Torin 2,HT-144
AZD8055,Farage
BMS-754807,MZ2-MEL
Tanespimycin,LN-18
Cytarabine,BE2-M17
IMD-0354,NOMO-1
Belinostat,NCI-H1944
BMS-754807,SK-N-FI
AZD8055,L-1236
Ispinesib Mesylate,EMC-BAC-1
Methotrexate,Daudi
I-BET-151,GI-ME-N
Pevonedistat,A549
Rapamycin,JVM-2
Methotrexate,KM-H2
Etoposide,MOLP-8
AR-42,KURAMOCHI
CAY10603,AM-38
Docetaxel,SK-MEL-2
Bleomycin,STS-0421
CGP-60474,NCI-H64
Sepantronium bromide,LU-134-A
Apitolisib,MDA-MB-330
Sepantronium bromide,CAL-85-1
Doxorubicin_1386,U-118-MG
BAY-MPS-combo 2 (paclitaxel 1 uM),SAS
Cytarabine,NCI-H1944
AR-42,SW962
AT-7519,BL-41
Ispinesib Mesylate,HT-1197
Pevonedistat,NCI-H720
CAY10603,DEL
ZSTK474,A375
Sepantronium bromide,MZ7-mel
AR-42,DB
Imatinib,BV-173
Cytarabine,JHOS-2
Ispinesib Mesylate,Daudi
Bleomycin (50 uM),KYSE-220
GSK1059615,ES6
CUDC-101,NCI-H1694
Docetaxel,PCI-30
Torin 2,OCI-AML2
NSC319726,NCI-H1781
Tipifarnib,KP-2
CUDC-101,THP-1
Doxorubicin_1386,ES5
WYE-125132,NCI-H446
Tanespimycin,SK-MEL-2
Linifanib,DK-MG
WH-4-023,TE-15
Shikonin,RPMI-8226
JW-7-24-1,VAL
CAY10603,MZ7-mel
AST-1306,CCK-81
torin2,D-566MG
Sepantronium bromide,CP66-MEL
WH-4-023,KS-1
Doxorubicin_1386,SW962
Ispinesib Mesylate,SU-DHL-10
Methotrexate,EW-13
AR-42,P30-OHK
Ispinesib Mesylate,RF-48
BAY-MPS-combo-1 (paclitaxel 5 uM),KU812
GSK1059615,TOV-112D
NSC319726,K5
Tanespimycin,COLO-680N
Torin 2,U251
BAY-MPS-combo 2 (paclitaxel 1 uM),NB7
Bleomycin,H9
Omipalisib,AN3-CA
Vinblastine,KMS-11
Vinblastine,KP-1N
Rapamycin,OCI-M1
Tivozanib,QIMR-WIL
JQ12,Hep3B2-1-7
AR-42,PL-21
IOX2,MDST8
ZSTK474,NAMALWA
Sepantronium bromide,MDA-MB-231
Belinostat,UM-UC-3
Obatoclax Mesylate,GI-1
Tanespimycin,SCC-9
Methotrexate,K5
Apitolisib,DSH1
Pevonedistat,KCL-22
Refametinib_1014,SW780
Omipalisib,KCL-22
LDN-193189,DB
IMD-0354,K5
Pevonedistat,GI-ME-N
ZSTK474,COR-L303
BMS-754807,MFH-ino
Torin 2,RCC-JW
Rapamycin,RPMI-6666
Sepantronium bromide,WM278
PI-103,BC-1
AZD8055,KCL-22
Sepantronium bromide,JM1
Obatoclax Mesylate,HAL-01
Apitolisib,NCI-H211
Omipalisib,UMC-11
CAY10603,SCC-25
Torin 2,BE-13
Refametinib_1014,NOMO-1
Tivozanib,KM-H2
Docetaxel,NCI-H2085
JQ12,BB65-RCC
NSC319726,HCT-15
Bleomycin,SW13
GSK1059615,SCC-25
Vinblastine,D-423MG
(5Z)-7-Oxozeaenol,SK-N-SH
BAY-MPS-combo-1 (paclitaxel 5 uM),COR-L23
PI-103,769-P
Apitolisib,ETK-1
Obatoclax Mesylate,HH
IMD-0354,U-2-OS
Lapatinib,OCUB-M
Torin 2,BB65-RCC
WYE-125132,SUIT-2
QL-X-138,SNU-423
LDN-193189,DEL
Tanespimycin,D-263MG
CD532,BFTC-905
Docetaxel,MDA-MB-231
Vinblastine,KYSE-70
BAY-MPS-combo 2 (paclitaxel 1 uM),NAMALWA
Cytarabine,KCL-22
Doxorubicin_1386,D-542MG
IMD-0354,KU812
BAY-MPS-combo 2 (paclitaxel 1 uM),OC-314
Ispinesib Mesylate,UMC-11
Shikonin,RS4-11
Methotrexate,SUIT-2
AT-7519,RT-112
Rapamycin,OCI-AML3
AZD8055,Detroit562
Sepantronium bromide,COR-L23
Cytarabine,TE-4
Shikonin,C3A
Torin 2,SK-MEL-5
Omipalisib,Ramos-2G6-4C10
AZD6482_1066,Farage
Cisplatin_1005,RCC-JW
Cytarabine,NB10
Torin 2,HCC2157
Tivozanib,HCC1187
Tanespimycin,SCC-25
A-770041,NMC-G1
CGP-60474,HCC2157
Tivozanib,NCI-H1048
Ponatinib,NB7
Doxorubicin_1386,KM12
Talazoparib,L-540
IMD-0354,SBC-3
Etoposide,23132-87
PHA-793887,RS4-11
Apitolisib,HC-1
Omipalisib,SK-HEP-1
Bleomycin,A101D
CD532,PEO1
Refametinib_1014,GAK
Omipalisib,NAMALWA
AT-7519,COR-L311
AT-7519,MDA-MB-468
Torin 2,VCaP
Docetaxel,HSC-3
TW 37,ES8
CGP-60474,GI-1
Torin 2,THP-1
BMS-754807,LB1047-RCC
Docetaxel,MZ2-MEL
Doxorubicin_1386,VMRC-LCD
Ispinesib Mesylate,U031
Belinostat,VAL
Talazoparib,ESS-1
Torin 2,PL-21
Refametinib_1526,RKN
AZD8931,SAT
Sepantronium bromide,KYSE-50
Ispinesib Mesylate,SU8686
AZD8055,NCI-H1944
BAY-MPS-combo 2 (paclitaxel 1 uM),SK-MEL-5
GSK1059615,MDA-MB-330
Tipifarnib,MCF7
GSK1059615,Farage
Refametinib_1014,CHP-212
Methotrexate,SAT
Omipalisib,TGW
Obatoclax Mesylate,MCF7
WYE-125132,SK-MEL-2
Tanespimycin,HT-3
Apitolisib,TK10
Methotrexate,P30-OHK
GSK1059615,ST486
JW-7-24-1,SU-DHL-5
Obatoclax Mesylate,NCI-H64
GSK1059615,TC-71
CAY10603,RT4
Omipalisib,PC-3
Pevonedistat,EM-2
WYE-125132,OV-90
GSK1059615,CHSA8926
Cytarabine,NCI-H647
Docetaxel,CHSA8926
A-770041,NCI-H1975
Omipalisib,EFM-192A
QL-X-138,THP-1
CGP-60474,NCI-H446
Belinostat,MZ1-PC
CD532,DND-41
GSK1059615,NB1
QL-X-138,IMR-5
GSK1059615,PE-CA-PJ15
Cytarabine,PCI-6A
Omipalisib,NUGC-3
Docetaxel,MCF7
CD532,Hs-578-T
Omipalisib,RC-K8
Lapatinib,LB2241-RCC
Sepantronium bromide,HMV-II
Omipalisib,RT-112
LCL161,A101D
(5Z)-7-Oxozeaenol,G-MEL
Obatoclax Mesylate,ES5
Tozasertib,EW-16
CUDC-101,KYSE-450
Belinostat,L-1236
CUDC-101,HSC-3
Tanespimycin,MFH-ino
AZD8055,OPM-2
Obatoclax Mesylate,SCC-25
AR-42,KARPAS-299
AR-42,SW982
CAY10603,MOLT-13
Doxorubicin_1386,RCC-MF
WYE-125132,MHH-PREB-1
BAY-MPS-combo 2 (paclitaxel 1 uM),KMS-11
CGP-60474,D-263MG
Methotrexate,HSC-2
AT-7519,BFTC-905
Methotrexate,HMV-II
NSC319726,NCI-H446
NSC319726,RMG-I
Cisplatin_1496,GI-1
TW 37,RCC-JW
